# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 19
# run: a871abad-f1d6-4bbf-915e-ad04c4f013ba
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.33205414021	-1656.0190683280075	-1652.1276472598745	-1652.1276472598745	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1664.4172252403787,-1664.4172252403787,-1664.4172252403787,-1664.4172252403787,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1665.7308465847184,-1662.4615827603538,-1662.4615827603538,-1662.4615827603538,-1663.240007903209,-1663.240007903209,-1663.240007903209,-1663.240007903209,-1663.240007903209,-1665.8833746679957,-1661.2626951349587,-1661.2626951349587,-1661.2626951349587,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1657.2626830150496,-1656.0190683280075,-1656.0190683280075,-1657.33205414021,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1659.411996763247,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021,-1657.33205414021	0.9960270797844731	-1656.0190683280075	3	true	979
26	16	16	100	54200	325908	2607264	0	0	-1644.466951760622	-1644.466951760622	-1644.466951760622	-1644.466951760622	-Infinity,-Infinity,-Infinity,-Infinity,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1649.6948520107474,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1647.9448084749436,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1646.2247293094563,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622,-1644.466951760622	0.9958381646573722	-1644.466951760622	0	true	460
27	16	16	100	51200	316008	2528064	0	0	-1644.4812208677677	-1644.4812208677677	-1644.4812208677677	-1644.4812208677677	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1648.0984475040138,-1645.6465274354196,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677,-1644.4812208677677	0.9955956967707507	-1644.4812208677677	0	true	309
28	16	16	100	51000	314028	2512224	0	0	-1642.8300752211087	-1642.8300752211087	-1642.8300752211087	-1642.8300752211087	-Infinity,-Infinity,-Infinity,-1651.537950748054,-1648.3372720846942,-1648.3603199982626,-1648.3603199982626,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1646.46138323094,-1644.0013370070153,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087,-1642.8300752211087	0.9954268136656409	-1642.8300752211087	0	true	390
29	18	18	100	47800	310464	2483712	0	0	-1640.2656284465777	-1640.2656284465777	-1640.2656284465777	-1640.2656284465777	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777,-1640.2656284465777	0.9952702129681755	-1640.2656284465777	0	true	293
30	18	18	100	47200	304524	2436192	0	0	-875.4166994759396	-864.4637723231737	-851.310746760208	-851.9486839177031	-880.0452236202708,-880.0452236202708,-880.0452236202708,-880.0452236202708,-874.1816372127881,-864.4637723231737,-869.0134431172276,-869.0134431172276,-869.0134431172276,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396,-875.4166994759396	0.9949686359947655	-864.4637723231737	7	true	263
31	19	19	100	46200	298782	2390256	0	0	-655.8665829756571	-655.8665829756571	-650.2372877680981	-650.2372877680981	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.086446431524,-660.3424624735459,-660.3424624735459,-660.3424624735459,-660.3424624735459,-656.7267515005464,-656.7267515005464,-656.7267515005464,-656.7267515005464,-656.7267515005464,-656.7267515005464,-656.7267515005464,-656.7267515005464,-656.7267515005464,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571,-655.8665829756571	0.994524166368136	-655.8665829756571	5	true	377
32	21	21	100	43400	299178	2393424	0	0	-649.9593768237579	-649.9593768237579	-647.3133068991817	-647.3133068991817	-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-654.9127547059949,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-651.7686304089762,-649.9593768237579,-649.9593768237579,-649.9593768237579,-649.9593768237579,-649.9593768237579,-649.9593768237579,-649.9593768237579,-649.9593768237579,-649.9593768237579	0.9937941673185605	-649.9593768237579	3	true	273
33	23	23	100	69231	303534	2428272	0	0	-650.9003968834614	-650.9003968834614	-646.9735012290754	-646.9735012290754	-655.9150343667045,-655.9150343667045,-655.9150343667045,-655.9150343667045,-655.9467711480501,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-658.0222958562773,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614,-650.9003968834614	0.9931903919404012	-650.9003968834614	3	true	294
34	25	25	100	69666	307890	2463120	0	0	-640.7962633574377	-640.7962633574377	-640.7962633574377	-640.7962633574377	-654.8476043247261,-654.8476043247261,-654.8476043247261,-654.8476043247261,-654.8476043247261,-654.8476043247261,-654.8476043247261,-654.8476043247261,-654.8476043247261,-650.5244767922876,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-646.8156011534004,-644.0212614830639,-644.0212614830639,-644.0212614830639,-644.0212614830639,-644.0212614830639,-644.0212614830639,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-642.5318260828116,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377,-640.7962633574377	0.9927211016149905	-640.7962633574377	0	true	280
