# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: ab2bb105-0ec7-4813-9f62-2d29488dac55
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	13	3432	2990	23920	0	0	-1165.0640713726411	-1165.0640713726411	-1165.0640713726411	-1165.0640713726411	-1367.1331834178836,-1367.1331834178836,-1365.1421855901904,-1365.1421855901904,-1365.1421855901904,-1365.1421855901904,-1365.1421855901904,-1363.1957546717927,-1363.1957546717927,-1263.2244289812845,-1263.2244289812845,-1165.0640713726411,-1165.0640713726411	0.9960270797844731	-1165.0640713726411	0	true	207
26	15	15	1	262	230	1840	0	0	-1160.6729728027522	-1160.6729728027522	-1160.6729728027522	-1160.6729728027522	-1160.6729728027522	0.9960270797844731	-1160.6729728027522	0	true	19
27	15	15	1	256	230	1840	0	0	-1159.478684752733	-1159.478684752733	-1159.478684752733	-1159.478684752733	-1159.478684752733	0.9960270797844731	-1159.478684752733	0	true	15
28	16	16	17	4318	3910	31280	0	0	-1156.888314442747	-1156.888314442747	-1156.888314442747	-1156.888314442747	-1158.4513118532445,-1157.024731192737,-1157.024731192737,-1157.024731192737,-1157.024731192737,-1157.024731192737,-1157.024731192737,-1157.024731192737,-1157.024731192737,-1156.9347736722993,-1156.9347736722993,-1156.9037339341062,-1156.9037339341062,-1156.9037339341062,-1156.9037339341062,-1156.888314442747,-1156.888314442747	0.9956692815522626	-1156.888314442747	0	true	36
29	16	16	34	8500	7820	62560	0	0	-1156.2854317791307	-1156.2854317791307	-1156.2854317791307	-1156.2854317791307	-1207.9196207492064,-1207.9196207492064,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1207.0738455097865,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1206.2854309707805,-1156.2854317791307,-1156.2854317791307	0.9954268136656409	-1156.2854317791307	0	true	37
30	18	18	1	248	230	1840	0	0	-1155.112475989517	-1155.112475989517	-1155.112475989517	-1155.112475989517	-1155.112475989517	0.9952147228050682	-1155.112475989517	0	true	13
31	18	18	5	1200	1150	9200	0	0	-1155.514153140091	-1155.514153140091	-1155.514153140091	-1155.514153140091	-1157.1819082848185,-1156.2936010021042,-1156.2936010021042,-1155.514153140091,-1155.514153140091	0.9949686359947655	-1155.514153140091	0	true	31
32	18	18	7	1638	1610	12880	0	0	-1156.4344501839262	-1156.4344501839262	-1156.4344501839262	-1156.4344501839262	-1158.0428118716343,-1158.0428118716343,-1158.0428118716343,-1158.0428118716343,-1158.0428118716343,-1156.4344501839262,-1156.4344501839262	0.9945946805477371	-1156.4344501839262	0	true	21
33	19	19	30	6960	6900	55200	0	0	-1155.2506776231994	-1155.2506776231994	-1155.2506776231994	-1155.2506776231994	-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.4887523310008,-1155.2506776231994,-1155.2506776231994	0.9941695118474059	-1155.2506776231994	0	true	28
34	23	23	17	3910	3910	31280	0	0	-1155.7515814304375	-1155.7515814304375	-1155.7515814304375	-1155.7515814304375	-1207.4939146318493,-1207.4939146318493,-1207.4939146318493,-1207.4939146318493,-1207.4939146318493,-1207.290520079934,-1157.2905240498858,-1157.2905240498858,-1157.2905240498858,-1157.2905240498858,-1157.2905240498858,-1157.2905240498858,-1156.5205733364455,-1156.5205733364455,-1156.5205733364455,-1155.7515814304375,-1155.7515814304375	0.9931903919404012	-1155.7515814304375	0	true	17
