# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 22
# run: ad3142bb-2760-4432-aada-1747c0b5764c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	25	16016	104000	832000	0	0	-137.81719885272207	-137.81719885272207	-137.81719885272207	-137.81719885272207	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-138.09858068256827,-138.09858068256827,-138.09858068256827,-138.09858068256827,-137.8300622142574,-137.81719885272207,-137.81719885272207	0.9960270797844731	-137.81719885272207	8	false	1760
26	16	16	13	7197	54080	432640	0	0	-120.73142397669403	-120.73142397669403	-120.73142397669403	-120.73142397669403	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-120.73142397669403,-120.73142397669403	0.9958381646573722	-120.73142397669403	6	false	1175
27	16	16	17	8911	70720	565760	0	0	-123.5930325010505	-123.5930325010505	-123.5930325010505	-123.5930325010505	-Infinity,-124.66341443007552,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-124.55886878033162,-123.5930325010505,-123.5930325010505	0.9954268136656409	-123.5930325010505	7	false	1022
28	17	17	27	14269	112320	898560	0	0	-114.82413972217232	-114.82413972217232	-114.82413972217232	-114.82413972217232	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-115.38039729843999,-114.84680663903238,-114.84680663903238,-114.84680663903238,-114.84680663903238,-114.82413972217232,-114.82413972217232	0.9952876130456717	-114.82413972217232	5	false	1277
29	18	18	15	7733	62400	499200	0	0	-59.04009106275559	-59.04009106275559	-59.04009106275559	-59.04009106275559	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-59.04009106275559,-59.04009106275559	0.9952702129681755	-59.04009106275559	4	false	738
30	18	18	18	9152	74880	599040	0	0	36.87751058247045	36.87751058247045	36.87751058247045	36.87751058247045	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,36.87751058247045,36.87751058247045	0.9949686359947655	36.87751058247045	6	false	628
31	18	18	14	6981	58240	465920	0	0	33.225626415365326	33.225626415365326	33.225626415365326	33.225626415365326	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,33.225626415365326,33.225626415365326	0.9947478816502295	33.225626415365326	6	false	644
32	20	20	74	36495	307840	2462720	0	0	36.63438703366309	36.63438703366309	36.63438703366309	36.63438703366309	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,31.2012918897682,31.2012918897682,31.2012918897682,34.36241291239877,34.36241291239877,34.67134970902621,34.67134970902621,34.67134970902621,35.85857516418969,35.85857516418969,35.85857516418969,35.85857516418969,35.85857516418969,35.85857516418969,35.85857516418969,35.85857516418969,35.85857516418969,36.02178329226674,36.07309216653725,36.07309216653725,36.07309216653725,36.07309216653725,36.07309216653725,36.07309216653725,34.662385496784395,22.809628769236127,26.718473825690104,26.301020277180008,29.337178248303715,32.60230222146329,34.49296622605176,35.32826989653878,35.32826989653878,35.32826989653878,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.328405406179606,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.44137542746005,36.63438703366309,36.63438703366309	0.9940017253858359	36.63438703366309	6	false	1851
33	22	22	47	18304	195520	1564160	0	0	39.849394297774666	39.849394297774666	39.849394297774666	39.849394297774666	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,36.03949031150863,36.03949031150863,36.03949031150863,35.85282752075438,36.99641258783617,37.24183723270907,37.24183723270907,37.24183723270907,37.242318517788064,38.26960828173878,38.26960828173878,38.898530330147,38.898530330147,38.898530330147,38.898530330147,39.496913246176575,39.496913246176575,39.496913246176575,39.496913246176575,39.496913246176575,39.496913246176575,39.496913246176575,39.496913246176575,39.52970692801454,39.52970692801454,39.52970692801454,39.52970692801454,39.52970692801454,39.52970692801454,39.52970692801454,39.52970692801454,39.532844329701405,39.532844329701405,39.532844329701405,39.532844329701405,39.532844329701405,39.532844329701405,39.849394297774666,39.849394297774666	0.9933979500076767	39.849394297774666	3	true	613
34	23	22	24	8036	99840	798720	0	0	41.30553814553957	41.30553814553957	41.30553814553957	41.30553814553957	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,40.02238660346197,40.02238660346197,40.02241454592366,40.02241454592366,40.02241454592366,40.02241454592366,40.02241454592366,41.30475296004564,41.30475296004564,41.30475296004564,41.30475296004564,41.30475296004564,41.30475296004564,41.30553814553957,41.30553814553957	0.9931082533392798	41.30553814553957	4	true	333
