# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 16
# run: adfbaebb-63b1-40ec-9e32-3f22e5ff5a29
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	18	4760	9180	73440	0	0	-1654.0227848333584	-1654.0227848333584	-1654.0227848333584	-1654.0227848333584	-Infinity,-Infinity,-1756.88397389266,-1754.947035472451,-1756.9741793236258,-1753.9964195146329,-1753.9964195146329,-1753.960449899979,-1753.960449899979,-1753.960449899979,-1753.960449899979,-1655.9892197144209,-1655.0090554097117,-1655.0090554097117,-1655.0090554097117,-1655.0090554097117,-1654.0227848333584,-1654.0227848333584	0.9960270797844731	-1654.0227848333584	1	true	309
26	15	15	4	1051	2040	16320	0	0	-1647.8962450263462	-1647.8962450263462	-1647.8962450263462	-1647.8962450263462	-Infinity,-Infinity,-1647.8962450263462,-1647.8962450263462	0.9960270797844731	-1647.8962450263462	1	true	31
27	16	16	21	5322	10710	85680	0	0	-1648.3276626433012	-1648.3276626433012	-1648.3276626433012	-1648.3276626433012	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1648.3276626433012,-1648.3276626433012	0.9955956967707507	-1648.3276626433012	0	true	43
28	16	16	1	252	510	4080	0	0	-1645.4451183958447	-1645.4451183958447	-1645.4451183958447	-1645.4451183958447	-1645.4451183958447	0.9955956967707507	-1645.4451183958447	0	true	24
29	18	18	42	10166	21420	171360	0	0	-851.6471503647415	-851.6471503647415	-851.6471503647415	-851.6471503647415	-1595.669883896909,-1395.8567928065431,-1394.5883458825058,-1394.5883458825058,-1296.6888140009896,-1197.7183268449483,-1099.8578163533975,-1099.7513875450604,-1099.7513875450604,-1001.709730828264,-1001.709730828264,-1001.709730828264,-1001.709730828264,-1001.709730828264,-1001.709730828264,-1001.709730828264,-1001.709730828264,-901.6865212057991,-901.6865212057991,-901.6488467993705,-901.6488467993705,-901.6488467993705,-901.6488467993705,-901.6488467993705,-901.6488467993705,-901.6488467993705,-901.6488467993705,-901.6488467993705,-901.6471903748172,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-901.6471492380703,-851.6471503647415,-851.6471503647415	0.9952702129681755	-851.6471503647415	0	true	44
30	18	18	22	5236	11220	89760	0	0	-850.6875714975779	-850.6875714975779	-850.6875714975779	-850.6875714975779	-851.3048081001492,-851.3048081001492,-851.3048081001492,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.8690862715322,-850.6875714975779,-850.6875714975779	0.995024126157873	-850.6875714975779	0	true	29
31	18	18	18	4013	9180	73440	0	0	-853.1555929527918	-853.1555929527918	-853.1555929527918	-853.1555929527918	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-853.1555929527918,-853.1555929527918	0.9947478816502295	-853.1555929527918	0	true	28
32	20	20	29	6206	14790	118320	0	0	-850.1092916405004	-850.1092916405004	-850.1092916405004	-850.1092916405004	-852.2722749946654,-851.8825341362248,-851.8825341362248,-851.8825341362248,-851.8825341362248,-851.8825341362248,-851.8825341362248,-851.6592608643369,-851.6592608643369,-851.6592608643369,-851.6592608643369,-851.6592608643369,-851.6592608643369,-851.6592608643369,-851.6592608643369,-851.3490688668179,-851.3490688668179,-850.9570549268119,-850.9570549268119,-850.7704350940179,-850.6642231853131,-850.6642231853131,-850.6642231853131,-850.6642231853131,-850.6642231853131,-850.6642231853131,-850.6642231853131,-850.1092916405004,-850.1092916405004	0.9943563799065661	-850.1092916405004	0	true	55
33	21	21	11	2310	5610	44880	0	0	-849.4717251553092	-849.4717251553092	-849.4717251553092	-849.4717251553092	-857.4741783192763,-857.3100614618107,-857.3100614618107,-857.3100614618107,-854.5396241657314,-853.7891373718236,-851.2866507955257,-851.7893897485739,-851.7893897485739,-849.4717251553092,-849.4717251553092	0.993575679370673	-849.4717251553092	0	true	26
34	23	23	27	5562	13770	110160	0	0	-841.4679298711169	-841.4679298711169	-841.4679298711169	-841.4679298711169	-846.9094529924978,-846.0156415123703,-846.0156415123703,-846.0156415123703,-846.0156415123703,-846.0156415123703,-844.82571236843,-843.2698396337302,-843.2698396337302,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-842.1484629050061,-841.4679298711169,-841.4679298711169	0.9931903919404012	-841.4679298711169	0	true	30
