# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 19
# run: ae15d389-a4d0-4ba7-8a19-13245d7279b3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	31	8253	28272	226176	0	0	-2096.5775135847316	-2096.5775135847316	-2096.5775135847316	-2096.5775135847316	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2101.41756735898,-2102.386368254185,-2099.248873606134,-2099.248873606134,-2097.2864694025984,-2097.2864694025984,-2097.2864694025984,-2097.2864694025984,-2097.2864694025984,-2097.2864694025984,-2097.2864694025984,-2097.2864694025984,-2096.5775135847316,-2096.5775135847316	0.9960270797844731	-2096.5775135847316	1	true	402
26	16	16	19	4987	17328	138624	0	0	-2035.365427432321	-2035.365427432321	-2035.365427432321	-2035.365427432321	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2035.4470082830621,-2035.4470082830621,-2035.4470082830621,-2035.4470082830621,-2035.4470082830621,-2035.4470082830621,-2035.4470082830621,-2035.4470082830621,-2035.4470082830621,-2035.365427432321,-2035.365427432321	0.9958381646573722	-2035.365427432321	0	true	128
27	16	16	5	1275	4560	36480	0	0	-2035.7129705738487	-2035.7129705738487	-2035.7129705738487	-2035.7129705738487	-Infinity,-Infinity,-Infinity,-2035.7129705738487,-2035.7129705738487	0.9955956967707507	-2035.7129705738487	0	true	62
28	16	16	22	5423	20064	160512	0	0	-2035.4007979253422	-2035.4007979253422	-2035.4007979253422	-2035.4007979253422	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2037.4933383793536,-2037.4933383793536,-2037.4933383793536,-2037.4933383793536,-2037.4933383793536,-2037.4933383793536,-2037.4933383793536,-2037.4933383793536,-2035.496206418702,-2035.496206418702,-2035.4036659646906,-2035.4036659646906,-2035.4036659646906,-2035.4036659646906,-2035.4007979253422,-2035.4007979253422	0.9954268136656409	-2035.4007979253422	0	true	69
29	18	18	28	6514	25536	204288	0	0	-1134.214613949902	-1134.214613949902	-1134.214613949902	-1134.214613949902	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1332.980547343208,-1331.790688371446,-1331.790688371446,-1331.790688371446,-1138.335228961967,-1138.335228961967,-1138.335228961967,-1136.3665547531825,-1136.3665547531825,-1136.3665547531825,-1136.3665547531825,-1134.92564881932,-1134.92564881932,-1134.92564881932,-1134.92564881932,-1134.214613949902,-1134.214613949902	0.9952702129681755	-1134.214613949902	1	true	56
30	18	18	19	4333	17328	138624	0	0	-1130.4237439701117	-1130.4237439701117	-1130.4237439701117	-1130.4237439701117	-1133.9754153357483,-1133.360306041415,-1133.360306041415,-1133.360306041415,-1133.360306041415,-1133.360306041415,-1132.5802920721458,-1132.5802920721458,-1132.5802920721458,-1132.5802920721458,-1131.3650444775983,-1131.3650444775983,-1131.3650444775983,-1131.3650444775983,-1131.3650444775983,-1131.3650444775983,-1131.3650444775983,-1130.4237439701117,-1130.4237439701117	0.9949686359947655	-1130.4237439701117	0	true	46
31	19	19	25	5450	22800	182400	0	0	-836.9970545920748	-836.9970545920748	-836.9970545920748	-836.9970545920748	-1182.471480410462,-1182.471480410462,-1182.471480410462,-1182.471480410462,-1085.050638193086,-1084.216289295707,-1084.216289295707,-1084.216289295707,-986.9588791890402,-986.9588791890402,-986.9588791890402,-986.9588791890402,-986.0545618601296,-889.1095282308202,-889.1095282308202,-839.1095703508953,-839.1095703508953,-839.1095703508953,-839.1095703508953,-839.1095703508953,-839.1095703508953,-839.1095703508953,-839.2313224981209,-836.9970545920748,-836.9970545920748	0.994524166368136	-836.9970545920748	1	true	52
32	20	20	24	4760	21888	175104	0	0	-535.2752595696309	-535.2752595696309	-535.2752595696309	-535.2752595696309	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-634.6091995201657,-634.6091995201657,-634.6091995201657,-633.9024144526943,-633.9024144526943,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.509283095105,-535.2752595696309,-535.2752595696309	0.9940017253858359	-535.2752595696309	0	true	46
33	23	23	16	3079	14592	116736	0	0	-532.5062915089956	-532.5062915089956	-532.5062915089956	-532.5062915089956	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-533.3193495571135,-533.3193495571135,-533.3193495571135,-533.3193495571135,-533.3193495571135,-533.3193495571135,-533.3193495571135,-533.3193495571135,-532.5062915089956,-532.5062915089956	0.9931903919404012	-532.5062915089956	0	true	42
34	25	25	19	3572	17328	138624	0	0	-525.729303820052	-525.729303820052	-525.729303820052	-525.729303820052	-528.1310924756904,-528.4821348182251,-528.4821348182251,-527.2685361849736,-527.2685361849736,-527.2685361849736,-527.2685361849736,-527.2685361849736,-527.2685361849736,-527.2685361849736,-526.4980568595524,-526.4980568595524,-526.4980568595524,-526.4980568595524,-526.4980568595524,-526.4980568595524,-526.4980568595524,-525.729303820052,-525.729303820052	0.9927211016149905	-525.729303820052	0	true	44
