# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 14
# run: af4c7f5d-184d-4a01-a9b1-13808b7ff15a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	16	4243	8160	65280	0	0	-1654.184681320161	-1654.184681320161	-1654.184681320161	-1654.184681320161	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1656.1525014548731,-1656.1525014548731,-1656.1525014548731,-1655.2045451710737,-1654.184681320161,-1654.184681320161	0.9968457241868389	-1654.184681320161	1	true	279
26	15	15	32	8390	16320	130560	0	0	-1648.4374741373733	-1648.4374741373733	-1648.4374741373733	-1648.4374741373733	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.6651361161544,-1648.4374741373733,-1648.4374741373733	0.9960270797844731	-1648.4374741373733	1	true	77
27	15	15	10	2540	5100	40800	0	0	-1646.18501449433	-1646.18501449433	-1646.18501449433	-1646.18501449433	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1646.18501449433,-1646.18501449433	0.9960270797844731	-1646.18501449433	1	true	30
28	15	15	1	252	510	4080	0	0	-1644.915989438486	-1644.915989438486	-1644.915989438486	-1644.915989438486	-1644.915989438486	0.9960270797844731	-1644.915989438486	1	true	42
29	16	16	68	16332	34680	277440	0	0	-1643.5320064777688	-1643.5320064777688	-1643.5320064777688	-1643.5320064777688	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1694.3669404176146,-1694.3669404176146,-1694.3669404176146,-1694.3669404176146,-1694.3669404176146,-1694.3669404176146,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.3669409514555,-1644.334227611379,-1644.334227611379,-1644.334227611379,-1644.334227611379,-1644.334227611379,-1643.5320064777688,-1643.5320064777688	0.995805594344244	-1643.5320064777688	0	true	54
30	16	16	45	10534	22950	183600	0	0	-852.4836326847649	-852.4836326847649	-852.4836326847649	-852.4836326847649	-Infinity,-Infinity,-Infinity,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1149.0307651721948,-1148.2307547025857,-1148.2307547025857,-1148.2307547025857,-952.2313776506551,-952.2313776506551,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-950.3020071817957,-852.4838851390244,-852.4838851390244,-852.4838851390244,-852.4838851390244,-852.4836326847649,-852.4836326847649	0.9954268136656409	-852.4836326847649	0	true	35
31	17	17	17	3811	8670	69360	0	0	-851.3543825468117	-851.3543825468117	-851.3543825468117	-851.3543825468117	-Infinity,-Infinity,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-901.3543691818957,-851.3543825468117,-851.3543825468117	0.9952876130456717	-851.3543825468117	0	true	23
32	18	17	9	1962	4590	36720	0	0	-851.8917865757871	-851.8917865757871	-851.8917865757871	-851.8917865757871	-855.2567016686143,-855.2567016686143,-855.025761425946,-855.025761425946,-854.0912311808034,-852.4104136452465,-852.4104136452465,-851.8917865757871,-851.8917865757871	0.995074133103282	-851.8917865757871	0	true	21
33	18	18	9	1908	4590	36720	0	0	-850.2989058374357	-850.2989058374357	-850.2989058374357	-850.2989058374357	-851.2760382289221,-851.2760382289221,-851.2760382289221,-851.2760382289221,-851.2760382289221,-851.2760382289221,-851.2760382289221,-850.2989058374357,-850.2989058374357	0.9949686359947655	-850.2989058374357	0	true	22
34	18	18	37	7622	18870	150960	0	0	-848.0251967724013	-848.0251967724013	-848.0251967724013	-848.0251967724013	-852.7566633088076,-852.7566633088076,-852.7566633088076,-852.7566633088076,-851.9562479550898,-851.9562479550898,-851.9562479550898,-851.2714385193892,-851.2714385193892,-851.2714385193892,-851.2714385193892,-851.2714385193892,-851.2714385193892,-851.2714385193892,-851.2714385193892,-851.2714385193892,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-850.470139365178,-849.9630849769212,-849.9630849769212,-849.6057326363184,-849.6057326363184,-849.6057326363184,-849.6057326363184,-849.6057326363184,-848.0251967724013,-848.0251967724013	0.9947478816502295	-848.0251967724013	0	true	29
