# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: af8e8f7d-b74d-49f7-9bcc-f675cbc5c13d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	35	15889	32550	260400	0	0	-152.96760048031953	-152.96760048031953	-152.96760048031953	-152.96760048031953	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-302.96702316981407,-302.96702316981407,-302.96702316981407,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-152.96760048031953,-152.96760048031953	0.9960270797844731	-152.96760048031953	0	true	636
26	15	15	6	2627	5580	44640	0	0	-146.81970460157567	-146.81970460157567	-146.81970460157567	-146.81970460157567	-Infinity,-Infinity,-Infinity,-Infinity,-146.81970460157567,-146.81970460157567	0.9960270797844731	-146.81970460157567	0	true	189
27	15	15	3	1295	2790	22320	0	0	-145.14519954363007	-145.14519954363007	-145.14519954363007	-145.14519954363007	-Infinity,-145.14519954363007,-145.14519954363007	0.9960270797844731	-145.14519954363007	0	true	70
28	16	16	16	7340	14880	119040	0	0	-141.36545261464343	-141.36545261464343	-141.36545261464343	-141.36545261464343	-194.45946744798616,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-143.28859985338073,-141.36545261464343,-141.36545261464343	0.9956692815522626	-141.36545261464343	0	true	401
29	16	16	24	10455	22320	178560	0	0	-142.46804417847343	-142.46804417847343	-142.46804417847343	-142.46804417847343	-294.0804667338547,-294.0804667338547,-294.0804667338547,-244.08110835640554,-244.08110835640554,-244.08110835640554,-243.27654862606497,-243.27654862606497,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-192.46868580102418,-142.46804417847343,-142.46804417847343	0.9954268136656409	-142.46804417847343	0	true	236
30	18	18	53	22737	49290	394320	0	0	-90.77876058464823	-90.77876058464823	-90.77876058464823	-90.77876058464823	-91.43593821694688,-91.25165556221307,-91.25165556221307,-91.25165556221307,-91.25165556221307,-91.25165556221307,-91.25165556221307,-91.25165556221307,-91.25165556221307,-91.25165556221307,-91.05444130984753,-91.05444130984753,-91.05444130984753,-91.05444130984753,-91.05444130984753,-91.05444130984753,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.9148363605136,-90.77876058464823,-90.77876058464823	0.9952147228050682	-90.77876058464823	0	true	513
31	18	18	23	9643	21390	171120	0	0	7.480873196002284	7.480873196002284	7.480873196002284	7.480873196002284	-42.70892234929607,-42.70892234929607,-42.70892234929607,-42.70892234929607,-42.619726833591024,-42.619726833591024,-42.619726833591024,-42.619726833591024,-42.619726833591024,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,-42.5197776954623,7.480873196002284,7.480873196002284	0.9949686359947655	7.480873196002284	0	true	218
32	18	18	1	407	930	7440	0	0	5.780441259197937	5.780441259197937	5.780441259197937	5.780441259197937	5.780441259197937	0.9946779157923984	5.780441259197937	0	true	35
33	19	19	10	4160	9300	74400	0	0	4.233772997655991	4.233772997655991	4.233772997655991	4.233772997655991	4.012657357997306,4.012657357997306,4.012657357997306,4.012657357997306,4.012657357997306,4.012657357997306,4.012657357997306,4.012657357997306,4.233772997655991,4.233772997655991	0.9941695118474059	4.233772997655991	0	true	115
34	22	22	5	2218	4650	37200	0	0	4.414589706211717	4.414589706211717	4.414589706211717	4.414589706211717	-496.9215837398829,-196.38836892070793,-145.98906911897046,4.414589706211717,4.414589706211717	0.9933979500076767	4.414589706211717	0	true	65
