# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 9
# run: b0f4bd07-81f8-4262-baee-5352d8f542cd
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	32	8532	45952	367616	0	0	-2444.0113598163757	-2444.0113598163757	-2444.0113598163757	-2444.0113598163757	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2543.9016466912676,-2543.9016466912676,-2543.9016466912676,-2543.9016466912676,-2543.9016466912676,-2543.9016466912676,-2542.624042402322,-2542.624042402322,-2542.624042402322,-2542.624042402322,-2542.624042402322,-2542.624042402322,-2445.93138066905,-2444.9975651917416,-2444.9975651917416,-2444.9975651917416,-2444.0113598163757,-2444.0113598163757	0.9960270797844731	-2444.0113598163757	4	true	480
26	16	16	14	3681	20104	160832	0	0	-2434.7948981531713	-2434.7948981531713	-2434.7948981531713	-2434.7948981531713	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2434.7948981531713,-2434.7948981531713	0.9955956967707507	-2434.7948981531713	3	true	298
27	17	17	7	1785	10052	80416	0	0	-2424.489788835454	-2424.489788835454	-2424.489788835454	-2424.489788835454	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2424.489788835454,-2424.489788835454	0.9954564961507815	-2424.489788835454	1	true	76
28	18	18	10	2458	14360	114880	0	0	-2473.7849668166505	-2473.7849668166505	-2473.7849668166505	-2473.7849668166505	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2473.7849668166505,-2473.7849668166505	0.9951930092629826	-2473.7849668166505	1	true	86
29	18	18	22	4937	31592	252736	0	0	-2426.9185620123285	-2426.9185620123285	-2426.9185620123285	-2426.9185620123285	-Infinity,-Infinity,-Infinity,-2429.926427768082,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.832117863045,-2427.662299478201,-2426.990098933491,-2426.990098933491,-2426.990098933491,-2426.990098933491,-2426.9185620123285,-2426.9185620123285	0.994803371813337	-2426.9185620123285	0	true	81
30	18	18	11	2412	15796	126368	0	0	-1426.2434413217088	-1426.2434413217088	-1426.2434413217088	-1426.2434413217088	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1426.2434413217088,-1426.2434413217088	0.9947478816502295	-1426.2434413217088	1	true	68
31	22	22	37	7558	53132	425056	0	0	-1024.4664394463655	-1024.4664394463655	-1024.4664394463655	-1024.4664394463655	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1275.7229657472685,-1275.7229657472685,-1276.3585041730262,-1275.0403888169449,-1177.2195584546462,-1177.2195584546462,-1176.4192688870141,-1175.4519527227649,-1175.4519527227649,-1125.4520312214154,-1125.4520312214154,-1125.4520312214154,-1125.4520312214154,-1125.4520312214154,-1125.4520312214154,-1124.134608151739,-1123.6934511160848,-1122.8122692508223,-1122.8122692508223,-1122.8122692508223,-1122.8122692508223,-1122.8122692508223,-1122.8122692508223,-1122.8122692508223,-1122.8122692508223,-1025.0844389963877,-1025.0844389963877,-1024.8841789694811,-1024.4664394463655,-1024.4664394463655	0.9937227758241277	-1024.4664394463655	1	true	90
32	23	23	21	4045	30156	241248	0	0	-670.0013832829844	-670.0013832829844	-670.0013832829844	-670.0013832829844	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-770.878812308933,-770.878812308933,-770.878812308933,-769.748214746542,-769.748214746542,-770.6372155175811,-770.6372155175811,-770.6372155175811,-768.6592090291197,-768.6592090291197,-768.6592090291197,-768.393909994795,-768.393909994795,-768.393909994795,-670.0013832829844,-670.0013832829844	0.9931903919404012	-670.0013832829844	1	true	171
33	23	23	15	2747	21540	172320	0	0	-619.4658423671865	-619.4658423671865	-619.4658423671865	-619.4658423671865	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-619.4658423671865,-619.4658423671865	0.99312042608257	-619.4658423671865	1	true	61
34	25	25	15	2676	21540	172320	0	0	-615.1151902585991	-615.1151902585991	-615.1151902585991	-615.1151902585991	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-615.7071005315371,-615.7071005315371,-615.7071005315371,-615.7071005315371,-615.7071005315371,-615.7071005315371,-615.7071005315371,-615.7071005315371,-615.1151902585991,-615.1151902585991	0.9928420248426317	-615.1151902585991	1	true	64
