# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: b268737d-c7cc-4cef-a090-c8234776805c
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	7	1848	1610	12880	0	0	-1165.0288215491203	-1165.0288215491203	-1165.0288215491203	-1165.0288215491203	-1265.150126073188,-1265.150126073188,-1265.150126073188,-1263.2080444765538,-1263.2080444765538,-1165.0288215491203,-1165.0288215491203	0.9960270797844731	-1165.0288215491203	0	true	141
26	15	15	1	262	230	1840	0	0	-1160.6418776839091	-1160.6418776839091	-1160.6418776839091	-1160.6418776839091	-1160.6418776839091	0.9960270797844731	-1160.6418776839091	0	true	19
27	16	16	44	11264	10120	80960	0	0	-1157.8450173815652	-1157.8450173815652	-1157.8450173815652	-1157.8450173815652	-1159.4126819878213,-1159.4126819878213,-1159.4126819878213,-1159.4126819878213,-1159.4126819878213,-1159.4126819878213,-1159.4126819878213,-1159.4126819878213,-1159.4126819878213,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1159.3588339387893,-1157.8450173815652,-1157.8450173815652	0.9958381646573722	-1157.8450173815652	0	true	67
28	16	16	10	2540	2300	18400	0	0	-1156.8569855937994	-1156.8569855937994	-1156.8569855937994	-1156.8569855937994	-1158.445328514263,-1158.445328514263,-1158.445328514263,-1158.445328514263,-1158.445328514263,-1158.445328514263,-1157.6426277604623,-1157.6426277604623,-1156.8569855937994,-1156.8569855937994	0.9955956967707507	-1156.8569855937994	0	true	13
29	17	17	22	5500	5060	40480	0	0	-1155.492972532093	-1155.492972532093	-1155.492972532093	-1155.492972532093	-1205.5563959842534,-1205.5563959842534,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1205.4929721986969,-1155.492972532093,-1155.492972532093	0.9952876130456717	-1155.492972532093	0	true	17
30	18	18	1	246	230	1840	0	0	-1154.8774690379532	-1154.8774690379532	-1154.8774690379532	-1154.8774690379532	-1154.8774690379532	0.9952702129681755	-1154.8774690379532	0	true	11
31	18	18	9	2160	2070	16560	0	0	-1155.5214194789585	-1155.5214194789585	-1155.5214194789585	-1155.5214194789585	-1158.0021395462427,-1157.19875531344,-1157.19875531344,-1156.2995809524712,-1156.2995809524712,-1156.2995809524712,-1156.2995809524712,-1155.5214194789585,-1155.5214194789585	0.9948854007501045	-1155.5214194789585	0	true	12
32	18	18	12	2784	2760	22080	0	0	-1155.9852291913896	-1155.9852291913896	-1155.9852291913896	-1155.9852291913896	-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1156.7851468833337,-1155.9852291913896,-1155.9852291913896	0.9947478816502295	-1155.9852291913896	0	true	33
33	21	21	9	2088	2070	16560	0	0	-1154.802159459235	-1154.802159459235	-1154.802159459235	-1154.802159459235	-1155.5968196794215,-1155.5968196794215,-1155.5968196794215,-1155.5968196794215,-1155.5968196794215,-1155.5968196794215,-1155.5968196794215,-1154.802159459235,-1154.802159459235	0.9937941673185605	-1154.802159459235	0	true	11
34	23	23	13	2964	2990	23920	0	0	-1155.6155479783472	-1155.6155479783472	-1155.6155479783472	-1155.6155479783472	-1210.7797230647345,-1210.7797230647345,-1207.9662546202583,-1207.9662546202583,-1207.1536259548302,-1207.1536259548302,-1207.1536259548302,-1207.1536259548302,-1207.1536259548302,-1207.1536259548302,-1156.3833440298085,-1155.6155479783472,-1155.6155479783472	0.9931903919404012	-1155.6155479783472	0	true	13
