# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 8
# run: b2eaf198-f830-4628-bf16-52875dbd45b1
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	24	11046	22320	178560	0	0	-203.11657464839053	-203.11657464839053	-203.11657464839053	-203.11657464839053	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-203.12725523490536,-203.12725523490536,-203.12725523490536,-203.12725523490536,-203.12725523490536,-203.12725523490536,-203.12725523490536,-203.11657464839053,-203.11657464839053	0.9960270797844731	-203.11657464839053	0	true	550
26	16	16	3	1329	2790	22320	0	0	-197.73849494451684	-197.73849494451684	-197.73849494451684	-197.73849494451684	-198.543605670824,-197.73849494451684,-197.73849494451684	0.995805594344244	-197.73849494451684	0	true	71
27	16	16	7	2996	6510	52080	0	0	-196.11480460186752	-196.11480460186752	-196.11480460186752	-196.11480460186752	-196.92522990590945,-196.92522990590945,-196.92522990590945,-196.92522990590945,-196.92522990590945,-196.11480460186752,-196.11480460186752	0.9955956967707507	-196.11480460186752	0	true	123
28	17	17	10	4416	9300	74400	0	0	-94.08357088370273	-94.08357088370273	-94.08357088370273	-94.08357088370273	-94.99720449307735,-94.99720449307735,-94.99720449307735,-94.99720449307735,-94.99720449307735,-94.99720449307735,-94.99720449307735,-94.99720449307735,-94.08357088370273,-94.08357088370273	0.9952876130456717	-94.08357088370273	0	true	147
29	18	18	52	23036	48360	386880	0	0	-92.71150834494118	-92.71150834494118	-92.71150834494118	-92.71150834494118	-143.60094014096907,-143.60094014096907,-143.60094014096907,-143.60094014096907,-143.60094014096907,-143.60094014096907,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.82189290185428,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-142.7115068834919,-92.71150834494118,-92.71150834494118	0.995024126157873	-92.71150834494118	0	true	590
30	18	18	1	438	930	7440	0	0	-46.126698246233936	-46.126698246233936	-46.126698246233936	-46.126698246233936	-46.126698246233936	0.9947478816502295	-46.126698246233936	0	true	41
31	20	20	18	8102	16740	133920	0	0	-44.1956535170774	-44.1956535170774	-44.1956535170774	-44.1956535170774	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-244.19566725577693,-44.1956535170774,-44.1956535170774	0.9943563799065661	-44.1956535170774	0	true	203
32	22	22	20	8760	18600	148800	0	0	-44.18558821936177	-44.18558821936177	-44.18558821936177	-44.18558821936177	-95.93234904380436,-94.86654054855454,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-94.18558449930815,-44.18558821936177,-44.18558821936177	0.9933681213033975	-44.18558821936177	0	true	276
33	23	23	12	5376	11160	89280	0	0	-41.46004326997919	-41.46004326997919	-41.46004326997919	-41.46004326997919	-42.27356610908124,-42.27356610908124,-42.27356610908124,-42.27356610908124,-42.27356610908124,-42.27356610908124,-42.27356610908124,-42.27356610908124,-42.27356610908124,-42.27356610908124,-41.46004326997919,-41.46004326997919	0.9931903919404012	-41.46004326997919	0	true	202
34	25	25	10	4425	9300	74400	0	0	-40.346537420154384	-40.346537420154384	-40.346537420154384	-40.346537420154384	-Infinity,-Infinity,-Infinity,-Infinity,-41.97766803953077,-41.97766803953077,-41.97766803953077,-41.13880051829719,-40.346537420154384,-40.346537420154384	0.992750053004438	-40.346537420154384	0	true	146
35	26	26	2	900	1860	14880	0	0	60.97103673034805	60.97103673034805	60.97103673034805	60.97103673034805	60.97103673034805,60.97103673034805	0.9923350099794561	60.97103673034805	0	true	58
