# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 16
# run: b40efbd7-3895-4f85-82ae-82dcc807f2a4
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67904	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	1193
26	15	15	100	67699	767250	6138000	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	18	false	911
27	16	16	100	67774	750420	6003360	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	18	false	781
28	16	16	100	67832	715770	5726160	0	0	-2952.7996177835403	-2952.7996177835403	-2923.0143722216103	-2923.0143722216103	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2961.7039765265677,-2961.7039765265677,-2961.7039765265677,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2956.471099999842,-2952.7996177835403,-2952.7996177835403,-2952.7996177835403,-2952.7996177835403,-2952.7996177835403,-2952.7996177835403,-2952.7996177835403	0.9955956967707507	-2952.7996177835403	18	false	971
29	18	18	100	68640	682110	5456880	0	0	-1738.5363994205056	-1738.3288308349092	-1721.7917637363914	-1721.7851809618603	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.3288308349092,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056,-1738.5363994205056	0.9952702129681755	-1738.3288308349092	16	false	757
30	18	18	100	68326	657360	5258880	0	0	-1736.9910006871278	-1736.9910006871278	-1714.4047771412588	-1714.4047771412588	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1752.3401230565607,-1752.3401230565607,-1752.3401230565607,-1752.3401230565607,-1752.3401230565607,-1752.3401230565607,-1752.3401230565607,-1752.3401230565607,-1752.3401230565607,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1740.4408584889545,-1736.9910006871278,-1736.9910006871278	0.995024126157873	-1736.9910006871278	16	false	748
31	18	18	100	68385	622710	4981680	0	0	-767.8716328917027	-767.8716328917027	-726.5542613322531	-726.5542613322531	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-807.7553568386929,-813.3638082648704,-813.3638082648704,-813.3638082648704,-813.3638082648704,-813.3638082648704,-813.3638082648704,-813.3638082648704,-813.3638082648704,-813.3638082648704,-813.3638082648704,-807.6469533342691,-777.3048644839,-773.9513624874494,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-774.1357470352214,-767.8716328917027,-767.8716328917027,-767.8716328917027,-767.8716328917027,-767.8716328917027,-767.8716328917027,-767.8716328917027,-767.8716328917027	0.9947478816502295	-767.8716328917027	20	false	739
32	20	20	100	68836	623700	4989600	0	0	-776.6193215278197	-770.8109885613593	-716.4106374360701	-717.1274288807143	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-785.3187372461848,-785.3187372461848,-785.3187372461848,-785.3187372461848,-785.3187372461848,-785.3187372461848,-785.3187372461848,-785.3187372461848,-785.3187372461848,-786.6834338536218,-793.4260660689364,-793.4260660689364,-793.4260660689364,-793.4260660689364,-793.4260660689364,-793.4260660689364,-793.4260660689364,-793.4260660689364,-793.4260660689364,-793.4260660689364,-791.3628306610458,-791.3628306610458,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-791.3396563855915,-783.8801528475577,-783.8801528475577,-775.1465536619828,-772.4419816736198,-772.4419816736198,-771.8444223748845,-771.8444223748845,-772.75938564414,-772.75938564414,-774.2410785958605,-774.2410785958605,-774.2410785958605,-774.2410785958605,-774.2410785958605,-774.2410785958605,-774.2410785958605,-774.2410785958605,-777.507705249529,-774.3749619311949,-771.1311319382553,-771.1311319382553,-770.8109885613593,-770.8109885613593,-770.8109885613593,-770.8109885613593,-770.8109885613593,-772.603205767599,-772.603205767599,-773.1190990315266,-773.1190990315266,-776.6193215278197,-776.6193215278197,-776.6193215278197,-776.6193215278197,-776.6193215278197,-776.6193215278197	0.9943563799065661	-770.8109885613593	22	true	694
33	21	21	100	68881	596970	4775760	0	0	-773.4160524847248	-772.3399999872724	-717.1953124225669	-717.1953124225669	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-772.3399999872724,-773.4160524847248,-773.4160524847248,-773.4160524847248,-773.4160524847248,-773.4160524847248,-773.4160524847248,-773.4160524847248,-773.4160524847248,-773.4160524847248,-773.4160524847248	0.993575679370673	-772.3399999872724	24	true	792
34	22	22	100	69247	580140	4641120	0	0	-755.2089263195047	-755.2089263195047	-712.7402660535895	-712.7402660535895	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047,-755.2089263195047	0.9933979500076767	-755.2089263195047	22	true	775
