# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 24
# run: b58b3225-946d-4b13-a126-8b052a03d21d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	44	11736	95040	760320	0	0	-2941.2505891375204	-2941.2505891375204	-2941.2505891375204	-2941.2505891375204	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3039.8844796285844,-3039.8844796285844,-3039.8844796285844,-3039.8844796285844,-3039.8844796285844,-3039.8844796285844,-3039.8844796285844,-3039.8844796285844,-2943.9459894728266,-2950.4894104146447,-2950.4306115705917,-2946.6026334446283,-2945.778996010629,-2945.743319767968,-2943.513665579895,-2943.513665579895,-2942.474247368122,-2942.3347224666677,-2942.3347224666677,-2942.3347224666677,-2942.3347224666677,-2942.096109035349,-2941.2505891375204,-2941.2505891375204	0.9960270797844731	-2941.2505891375204	8	false	1271
26	15	15	2	525	4320	34560	0	0	-2979.6249499450396	-2979.6249499450396	-2979.6249499450396	-2979.6249499450396	-2979.6249499450396,-2979.6249499450396	0.9960270797844731	-2979.6249499450396	8	false	128
27	15	15	5	1261	10800	86400	0	0	-3025.147745150309	-3025.147745150309	-3025.147745150309	-3025.147745150309	-Infinity,-Infinity,-Infinity,-3025.147745150309,-3025.147745150309	0.9960270797844731	-3025.147745150309	8	false	114
28	16	16	19	4584	41040	328320	0	0	-2968.222857117203	-2968.222857117203	-2968.222857117203	-2968.222857117203	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2972.6834584951116,-2970.3960950971723,-2969.910631045552,-2969.910631045552,-2969.910631045552,-2968.5050384724327,-2968.222857117203,-2968.222857117203	0.995805594344244	-2968.222857117203	6	false	137
29	16	16	57	12237	123120	984960	0	0	-1227.4988286736977	-1227.4988286736977	-1227.4988286736977	-1227.4988286736977	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1527.5980926302132,-1431.668658174531,-1381.6686962030565,-1381.9013574596206,-1280.4741418771825,-1279.8730769628785,-1279.8730769628785,-1279.8730769628785,-1229.8733036567808,-1229.8733036567808,-1229.8733036567808,-1229.8733036567808,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.974535618504,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.8989218986992,-1227.4988286736977,-1227.4988286736977	0.9954268136656409	-1227.4988286736977	7	false	162
30	18	18	11	2295	23760	190080	0	0	-717.8950029622338	-717.8950029622338	-717.8950029622338	-717.8950029622338	-Infinity,-Infinity,-Infinity,-Infinity,-727.7125615682746,-722.3665969010864,-722.3665969010864,-720.9464482064833,-719.1325298133144,-717.8950029622338,-717.8950029622338	0.9952702129681755	-717.8950029622338	4	false	96
31	18	18	59	11450	127440	1019520	0	0	-718.427729429824	-718.427729429824	-718.427729429824	-718.427729429824	-Infinity,-720.3358152414683,-720.3358152414683,-720.3358152414683,-720.3358152414683,-720.2192273751082,-720.2192273751082,-720.2192273751082,-720.2192273751082,-720.2192273751082,-720.2192273751082,-719.6897067708685,-719.6897067708685,-719.6897067708685,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.5406333174708,-718.4534912006195,-718.4534912006195,-718.4534912006195,-718.4534912006195,-718.4534912006195,-718.427729429824,-718.427729429824	0.9949686359947655	-718.427729429824	6	false	132
32	18	17	20	3787	43200	345600	0	0	-723.6767809890796	-723.6767809890796	-723.6767809890796	-723.6767809890796	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-724.4787383738516,-724.4787383738516,-724.4193972884285,-724.4193972884285,-724.4193972884285,-723.6767809890796,-723.6767809890796	0.9948679641178236	-723.6767809890796	8	false	96
33	19	19	19	3343	41040	328320	0	0	-720.0533983500055	-720.0533983500055	-720.0533983500055	-720.0533983500055	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-720.0533983500055,-720.0533983500055	0.9941695118474059	-720.0533983500055	6	false	87
34	21	20	26	3977	56160	449280	0	0	-722.5570637890162	-722.519578138507	-722.5570637890162	-721.6758558585454	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-722.519578138507,-726.0333906997199,-725.3930666386354,-725.3930666386354,-725.3930666386354,-724.6562182423515,-722.6625385698115,-722.6625385698115,-722.6625385698115,-722.6625385698115,-722.6625385698115,-722.630369250636,-722.630369250636,-722.630369250636,-722.630369250636,-722.5570637890162,-722.5570637890162	0.9936125265936061	-722.519578138507	6	false	89
35	22	22	38	5628	82080	656640	0	0	-715.8089235026282	-715.3658515579892	-715.8089235026282	-713.1364289187558	-Infinity,-Infinity,-Infinity,-727.1809002442577,-722.5262337518247,-718.4000064337091,-718.4000064337091,-716.1097124430888,-717.4407407720448,-717.4407407720448,-717.4407407720448,-715.3658515579892,-715.3658515579892,-715.3658515579892,-715.3658515579892,-715.3658515579892,-719.2647641336092,-727.2334665488794,-725.7265067234695,-722.2419969450906,-720.9181627168671,-717.1579001323676,-717.1579001323676,-717.1579001323676,-717.1579001323676,-717.1578603878315,-717.1578468335847,-717.1578468335847,-716.157176401084,-716.157176401084,-716.157176401084,-715.9547654796477,-715.9547654796477,-715.9547654796477,-715.9547654796477,-715.9547654796477,-715.8089235026282,-715.8089235026282	0.9933979500076767	-715.3658515579892	4	true	97
36	23	21	18	2572	38880	311040	0	0	-772.1721173534623	-772.1721173534623	-772.1721173534623	-772.1721173534623	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-776.71504363581,-775.6572882175591,-775.6572882175591,-775.4817336636027,-775.4817336636027,-774.8568928655326,-774.3508488922968,-774.3508488922968,-772.3180489470572,-772.1721173534623,-772.1721173534623	0.9929199230887332	-772.1721173534623	7	false	77
37	24	22	33	4227	71280	570240	0	0	-766.6252207323705	-766.6252207323705	-766.6252207323705	-766.6252207323705	-Infinity,-877.0385669862623,-873.1205805308781,-873.1205805308781,-773.1206203415377,-771.2196793805296,-771.2196793805296,-772.263936891517,-774.6421119370513,-774.0959913236927,-773.085664198741,-773.085664198741,-773.085664198741,-773.085664198741,-773.085664198741,-773.085664198741,-773.085664198741,-773.085664198741,-773.085664198741,-769.6329379878377,-769.6329379878377,-768.4449519783082,-768.4449519783082,-768.4449519783082,-768.4449519783082,-767.0059469530884,-767.0059469530884,-767.0059469530884,-767.0059469530884,-767.0059469530884,-767.0059469530884,-766.6252207323705,-766.6252207323705	0.9927147776372449	-766.6252207323705	7	false	97
38	26	25	37	5143	79920	639360	0	0	-705.2032915331655	-705.2032915331655	-705.2032915331655	-705.2032915331655	-715.6487315145597,-711.7798940586114,-709.4101855389171,-706.525018038366,-705.5272086871659,-705.5272086871659,-705.5271604679641,-705.5271604679641,-705.5271604679641,-705.5271604679641,-705.5271604679641,-705.5271604679641,-705.411822541257,-705.394209679033,-705.394209679033,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2033529140691,-705.2032915331655,-705.2032915331655	0.9919311527185792	-705.2032915331655	1	true	94
