# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 29
# run: b7ba6a6e-6ca7-47aa-a5da-cb5be35935b1
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	21	10065	19530	156240	0	0	-251.84423942429342	-251.84423942429342	-251.84423942429342	-251.84423942429342	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-253.71540942098304,-253.71540942098304,-251.84423942429342,-251.84423942429342	0.9960270797844731	-251.84423942429342	0	true	496
26	16	16	30	12870	27900	223200	0	0	-244.21192951017903	-244.21192951017903	-244.21192951017903	-244.21192951017903	-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.67232915027952,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-245.04570563997916,-244.21192951017903,-244.21192951017903	0.9958381646573722	-244.21192951017903	0	true	379
27	16	16	11	4586	10230	81840	0	0	-244.12869428808867	-244.12869428808867	-244.12869428808867	-244.12869428808867	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-244.12869428808867,-244.12869428808867	0.9956367112391343	-244.12869428808867	0	true	509
28	16	16	9	3791	8370	66960	0	0	-192.98562647283018	-192.98562647283018	-192.98562647283018	-192.98562647283018	-243.8361576063503,-243.8361576063503,-243.8361576063503,-243.8361576063503,-Infinity,-Infinity,-Infinity,-192.98562647283018,-192.98562647283018	0.9954268136656409	-192.98562647283018	0	true	118
29	18	18	5	2115	4650	37200	0	0	-140.84694894831367	-140.84694894831367	-140.84694894831367	-140.84694894831367	-141.0172484220208,-140.98407640343484,-140.98407640343484,-140.84694894831367,-140.84694894831367	0.9952702129681755	-140.84694894831367	0	true	76
30	18	18	1	413	930	7440	0	0	-139.52321233201565	-139.52321233201565	-139.52321233201565	-139.52321233201565	-139.52321233201565	0.9952147228050682	-139.52321233201565	0	true	48
31	18	18	43	17722	39990	319920	0	0	-46.105079831908526	-46.105079831908526	-46.105079831908526	-46.105079831908526	-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-97.04683842698529,-96.1506126566214,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-96.10512407128351,-46.105079831908526,-46.105079831908526	0.9947478816502295	-46.105079831908526	0	true	386
32	20	20	14	6192	13020	104160	0	0	-43.809348029860956	-43.809348029860956	-43.809348029860956	-43.809348029860956	-Infinity,-Infinity,-Infinity,-44.192527372390984,-44.192527372390984,-43.9850595131892,-43.9850595131892,-43.9850595131892,-43.9850595131892,-43.9850595131892,-43.9850595131892,-43.9850595131892,-43.809348029860956,-43.809348029860956	0.9940017253858359	-43.809348029860956	0	true	195
33	22	22	20	9120	18600	148800	0	0	-43.39324639597867	-43.39324639597867	-43.39324639597867	-43.39324639597867	-45.70672254226886,-45.70672254226886,-45.70672254226886,-45.70672254226886,-45.70672254226886,-45.70672254226886,-45.70672254226886,-45.70672254226886,-44.893669202671994,-44.14378464688861,-44.14378464688861,-44.14378464688861,-44.14378464688861,-44.14378464688861,-44.14378464688861,-44.14378464688861,-44.14378464688861,-44.14378464688861,-43.39324639597867,-43.39324639597867	0.9933979500076767	-43.39324639597867	0	true	219
34	23	23	14	6188	13020	104160	0	0	-40.40315251459652	-40.40315251459652	-40.40315251459652	-40.40315251459652	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-41.20345081940096,-41.20345081940096,-41.20345081940096,-41.20345081940096,-41.20345081940096,-41.20345081940096,-40.40315251459652,-40.40315251459652	0.9930914746931229	-40.40315251459652	0	true	197
35	25	25	16	6928	14880	119040	0	0	60.305198405519974	60.305198405519974	60.305198405519974	60.305198405519974	-41.25976435757107,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.36103346414846,59.73171155106262,59.73171155106262,60.305198405519974,60.305198405519974	0.9925715194361789	60.305198405519974	0	true	166
36	27	27	10	4490	9300	74400	0	0	60.19764848026779	60.19764848026779	60.19764848026779	60.19764848026779	59.866133806385974,59.866133806385974,59.866133806385974,59.866133806385974,59.866133806385974,59.866133806385974,59.866133806385974,59.866133806385974,60.19764848026779,60.19764848026779	0.9916600258807873	60.19764848026779	0	true	128
37	28	28	3	1385	2790	22320	0	0	61.045829104282475	61.045829104282475	61.045829104282475	61.045829104282475	-Infinity,61.045829104282475,61.045829104282475	0.9911454807319727	61.045829104282475	0	true	53
38	31	31	21	10227	19530	156240	0	0	62.92484233548045	62.92484233548045	62.92484233548045	62.92484233548045	61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,61.67328934511979,62.124982380614306,62.124982380614306,62.124982380614306,62.124982380614306,62.124982380614306,62.124982380614306,62.92484233548045,62.92484233548045	0.9908558937279299	62.92484233548045	0	true	242
39	31	31	8	3752	7440	59520	0	0	64.05227264216647	64.05227264216647	64.05227264216647	64.05227264216647	14.052288427047442,14.052288427047442,14.052288427047442,14.052288427047442,14.052288427047442,14.052288427047442,64.05227264216647,64.05227264216647	0.9908558937279299	64.05227264216647	0	true	103
40	31	31	1	464	930	7440	0	0	64.58550118957409	64.58550118957409	64.58550118957409	64.58550118957409	64.58550118957409	0.9904783193572204	64.58550118957409	0	true	45
41	32	32	24	11352	22320	178560	0	0	63.829345161641584	63.829345161641584	63.829345161641584	63.829345161641584	62.69908294613131,62.69908294613131,62.69908294613131,62.69908294613131,62.69908294613131,62.69908294613131,62.69908294613131,62.69908294613131,62.69908294613131,62.69908294613131,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.05272021203329,63.829345161641584,63.829345161641584	0.9902104458952629	63.829345161641584	0	true	237
42	34	34	7	3520	6510	52080	0	0	64.02435628797176	64.02435628797176	64.02435628797176	64.02435628797176	-Infinity,-Infinity,-Infinity,-Infinity,63.1554293321196,64.02435628797176,64.02435628797176	0.9898321038740757	64.02435628797176	0	true	115
43	35	35	26	13390	24180	193440	0	0	64.38414211331607	64.38414211331607	64.38414211331607	64.38414211331607	62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,62.50109495345705,63.30123071561955,63.58391045033432,63.58391045033432,63.58391045033432,63.58391045033432,63.58391045033432,63.58391045033432,63.58391045033432,63.58391045033432,63.58391045033432,63.58391045033432,64.38414211331607,64.38414211331607	0.9895267252030617	64.38414211331607	0	true	320
44	40	40	9	5152	8370	66960	0	0	64.68744214013313	64.68744214013313	64.68744214013313	64.68744214013313	-Infinity,-Infinity,-Infinity,63.86805048103374,63.86805048103374,64.6686333408097,64.6686333408097,64.68744214013313,64.68744214013313	0.9881881255437526	64.68744214013313	0	true	374
