# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 15
# run: b7cf4444-920b-4703-b76f-0496970ebfec
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	30	7945	15300	122400	0	0	-1652.1800631110577	-1652.1800631110577	-1652.1800631110577	-1652.1800631110577	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1755.072163006789,-1755.072163006789,-1754.0477888615262,-1754.0477888615262,-1753.0805558174459,-1753.0805558174459,-1752.1049299627086,-1752.1049299627086,-1752.1049299627086,-1752.1049299627086,-1752.1049299627086,-1752.1049299627086,-1654.1089285766584,-1654.1089285766584,-1654.1089285766584,-1653.1436358317023,-1652.1800631110577,-1652.1800631110577	0.995805594344244	-1652.1800631110577	0	true	400
26	16	16	21	5504	10710	85680	0	0	-1646.6693760996563	-1646.6693760996563	-1646.6693760996563	-1646.6693760996563	-Infinity,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1647.4771008347914,-1646.6693760996563,-1646.6693760996563	0.9955956967707507	-1646.6693760996563	0	true	37
27	17	17	11	2805	5610	44880	0	0	-1642.797160741956	-1642.797160741956	-1642.797160741956	-1642.797160741956	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1642.797160741956,-1642.797160741956	0.9952876130456717	-1642.797160741956	0	true	37
28	18	18	5	1257	2550	20400	0	0	-1642.2118082781233	-1642.2118082781233	-1642.2118082781233	-1642.2118082781233	-Infinity,-Infinity,-Infinity,-1642.2118082781233,-1642.2118082781233	0.995024126157873	-1642.2118082781233	0	true	29
29	19	19	39	9369	19890	159120	0	0	-851.7013767871589	-851.7013767871589	-851.7013767871589	-851.7013767871589	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1099.6092277129792,-1099.6092277129792,-1099.6092277129792,-1100.567914312131,-1100.567914312131,-1100.567914312131,-1099.344690618831,-1099.344690618831,-1099.344690618831,-1002.2583490592635,-1002.2583490592635,-1002.2583490592635,-905.2315087569357,-905.2315087569357,-905.2132358387119,-903.2914164377491,-902.5986013638437,-902.5986013638437,-902.5986013638437,-852.5986023487022,-852.5986023487022,-852.4781530938586,-852.4781530938586,-852.4781530938586,-852.4781530938586,-852.4781530938586,-852.4781530938586,-852.4781530938586,-852.4781530938586,-852.4781530938586,-851.7013767871589,-851.7013767871589	0.994524166368136	-851.7013767871589	0	true	38
30	20	20	1	240	510	4080	0	0	-848.9211164286406	-848.9211164286406	-848.9211164286406	-848.9211164286406	-848.9211164286406	0.9943563799065661	-848.9211164286406	0	true	21
31	23	23	21	4803	10710	85680	0	0	-649.5284300263914	-649.5284300263914	-649.5284300263914	-649.5284300263914	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-750.1506384063634,-750.1506384063634,-750.1506384063634,-750.1506384063634,-650.7686261351098,-649.5284300263914,-649.5284300263914	0.9931903919404012	-649.5284300263914	0	true	29
32	23	23	11	2376	5610	44880	0	0	-646.8968593117073	-646.8968593117073	-646.8968593117073	-646.8968593117073	-649.3647877272776,-649.3647877272776,-649.3647877272776,-647.8475942614482,-647.6807665489744,-647.6807665489744,-647.6807665489744,-647.0785481226325,-647.0785481226325,-646.8968593117073,-646.8968593117073	0.99312042608257	-646.8968593117073	0	true	26
33	27	27	24	4992	12240	97920	0	0	-640.7614752119597	-640.7614752119597	-640.7614752119597	-640.7614752119597	-643.5801448278493,-643.5801448278493,-642.5196023329145,-642.5196023329145,-642.5196023329145,-642.5196023329145,-642.5196023329145,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-641.569275255266,-640.7614752119597,-640.7614752119597	0.9921864513346152	-640.7614752119597	0	true	33
34	28	28	6	1248	3060	24480	0	0	-640.7353192180676	-640.7353192180676	-640.7353192180676	-640.7353192180676	-640.8838221208566,-640.8838221208566,-640.8838221208566,-640.8838221208566,-640.7353192180676,-640.7353192180676	0.9915307681622446	-640.7353192180676	0	true	22
35	29	29	2	409	1020	8160	0	0	-639.8290678124814	-639.8290678124814	-639.8290678124814	-639.8290678124814	-639.8290678124814,-639.8290678124814	0.9910162230134301	-639.8290678124814	0	true	23
36	31	31	2	384	1020	8160	0	0	-638.9813198259428	-638.9813198259428	-638.9813198259428	-638.9813198259428	-638.9813198259428,-638.9813198259428	0.9908558937279299	-638.9813198259428	0	true	22
37	31	31	1	190	510	4080	0	0	-640.4594961379199	-640.4594961379199	-640.4594961379199	-640.4594961379199	-640.4594961379199	0.9906725349280965	-640.4594961379199	0	true	21
38	31	31	1	186	510	4080	0	0	-640.0836578115666	-640.0836578115666	-640.0836578115666	-640.0836578115666	-640.0836578115666	0.990294960557387	-640.0836578115666	0	true	22
39	34	34	13	2340	6630	53040	0	0	-639.213955702736	-639.213955702736	-639.213955702736	-639.213955702736	-640.2096457302262,-640.2096457302262,-640.2096457302262,-640.2096457302262,-640.2096457302262,-640.389288459592,-640.389288459592,-640.389288459592,-640.389288459592,-640.389288459592,-640.389288459592,-639.213955702736,-639.213955702736	0.9896952062055401	-639.213955702736	0	true	26
40	37	37	15	2557	7650	61200	0	0	-438.4991967142845	-438.4991967142845	-438.4991967142845	-438.4991967142845	-Infinity,-Infinity,-Infinity,-488.49919277348977,-488.49919277348977,-488.49919277348977,-488.49919277348977,-488.49919277348977,-488.49919277348977,-488.49919277348977,-488.49919277348977,-488.49919277348977,-488.49919277348977,-438.4991967142845,-438.4991967142845	0.989538349624582	-438.4991967142845	0	true	27
