# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 27
# run: b93021f7-d9e0-4aad-9b2b-ff8ec2027e80
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	25	15327	104000	832000	0	0	-288.22730311789104	-288.22730311789104	-288.22730311789104	-288.22730311789104	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-288.22730311789104,-288.22730311789104	0.9960270797844731	-288.22730311789104	8	false	1699
26	16	16	50	27751	208000	1664000	0	0	-270.36523744155835	-270.36523744155835	-270.36523744155835	-270.36523744155835	-275.20469343587416,-275.20469343587416,-274.51531276306645,-273.7772390120143,-273.7772390120143,-272.3865361363316,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.1518256477724,-272.0139560275968,-272.0139560275968,-272.0139560275968,-272.0139560275968,-272.0139560275968,-271.32566461685434,-271.1328221587891,-271.1328221587891,-271.07056873078255,-271.07056873078255,-271.07056873078255,-271.07056873078255,-273.4678286507853,-272.2795984557123,-272.2795984557123,-272.2795984557123,-272.2795984557123,-272.2795984557123,-272.2795984557123,-272.2795984557123,-272.2795984557123,-272.2795984557123,-272.2795984557123,-270.36523744155835,-270.36523744155835	0.9958381646573722	-270.36523744155835	6	false	2140
27	16	16	21	11146	87360	698880	0	0	-323.0666629432552	-323.0666629432552	-323.0666629432552	-323.0666629432552	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-323.0666629432552,-323.0666629432552	0.9954268136656409	-323.0666629432552	7	false	943
28	18	18	37	19843	153920	1231360	0	0	-162.8987399911999	-162.8987399911999	-162.8987399911999	-162.8987399911999	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-262.9088040142886,-262.8983381215519,-262.8983381215519,-212.89873862835162,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-212.89870260423487,-162.8987399911999,-162.8987399911999	0.9952702129681755	-162.8987399911999	3	false	1558
29	18	18	21	11182	87360	698880	0	0	-59.7888026261692	-59.7888026261692	-59.7888026261692	-59.7888026261692	-Infinity,-Infinity,-Infinity,-Infinity,-60.30014333285368,-60.30014333285368,-60.30014333285368,-60.30014333285368,-60.30014333285368,-60.30014333285368,-60.30014333285368,-60.30014333285368,-60.30014333285368,-60.30014333285368,-59.84589652713919,-59.84589652713919,-59.84589652713919,-59.84589652713919,-59.84589652713919,-59.7888026261692,-59.7888026261692	0.9952147228050682	-59.7888026261692	5	false	939
30	18	18	13	6562	54080	432640	0	0	-68.19434183986633	-68.19434183986633	-68.19434183986633	-68.19434183986633	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-69.61240257693629,-69.61240257693629,-68.19434183986633,-68.19434183986633	0.9947478816502295	-68.19434183986633	5	false	694
31	19	19	38	19167	158080	1264640	0	0	-117.06016129122438	-117.06016129122438	-117.06016129122438	-117.06016129122438	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.56158824824328,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.37942710905949,-117.25518641013049,-117.25518641013049,-117.25518641013049,-117.25518641013049,-117.22727442009486,-117.22727442009486,-117.22727442009486,-117.06016129122438,-117.06016129122438	0.9941695118474059	-117.06016129122438	6	false	1405
32	21	21	13	6622	54080	432640	0	0	-16.150109468772357	-16.150109468772357	-16.150109468772357	-16.150109468772357	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.150109468772357,-16.150109468772357	0.993575679370673	-16.150109468772357	4	true	592
33	23	23	12	6111	49920	399360	0	0	38.8840199581241	38.8840199581241	38.8840199581241	38.8840199581241	-Infinity,37.08366872924796,36.54119853639115,37.53642029401043,38.5108105736839,38.5108105736839,38.5108105736839,38.5108105736839,38.5108105736839,38.5108105736839,38.8840199581241,38.8840199581241	0.9930914746931229	38.8840199581241	2	true	527
34	25	25	31	17061	128960	1031680	0	0	-8.160514457460081	-8.160514457460081	-8.160514457460081	-8.160514457460081	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.656550527861304,-8.656550527861304,-8.656550527861304,-8.656550527861304,-10.140595712807928,-10.140595712807928,-10.140595712807928,-14.940068860292001,-13.658168645338506,-13.658168645338506,-10.577431671443636,-10.577431671443636,-9.937903809850889,-8.692728271578224,-8.692728271578224,-8.692728271578224,-8.692728271578224,-8.692728271578224,-8.692728271578224,-8.692728271578224,-8.692728271578224,-8.692728271578224,-8.642617264481697,-8.342101929600195,-8.160514457460081,-8.160514457460081	0.9923616218626856	-8.160514457460081	3	true	1114
