# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 16
# run: bdd66d07-2acc-44ce-b389-34723de1350d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.3175957805051	-1656.0050265377602	-1652.1110002380335	-1653.0719357006922	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1665.7165259863996,-1662.4483711443784,-1662.4483711443784,-1662.4483711443784,-1662.4483711443784,-1662.4483711443784,-1662.4483711443784,-1663.227197619035,-1663.227197619035,-1663.227197619035,-1665.8700253666188,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.284100350148,-1661.2490310653395,-1661.2490310653395,-1661.2490310653395,-1657.2492393877574,-1657.2492393877574,-1657.2492393877574,-1657.2492393877574,-1657.2492393877574,-1656.0050265377602,-1656.0050265377602,-1656.0050265377602,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051,-1657.3175957805051	0.9960270797844731	-1656.0050265377602	3	true	970
26	15	15	100	54200	321750	2574000	0	0	-1648.1750454186415	-1647.8898042402798	-1646.400174485235	-1646.4559826652005	-Infinity,-Infinity,-Infinity,-Infinity,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1649.6349473890227,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1647.8898042402798,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415,-1648.1750454186415	0.9960270797844731	-1647.8898042402798	2	true	514
27	16	16	100	51200	316008	2528064	0	0	-1647.1158869959347	-1647.1158869959347	-1645.1765661234458	-1645.1765661234458	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347,-1647.1158869959347	0.9955956967707507	-1647.1158869959347	2	true	377
28	16	16	100	51000	314028	2512224	0	0	-1645.5068076098835	-1644.59407062762	-1643.0965141987117	-1643.1605675696433	-Infinity,-Infinity,-Infinity,-1651.6613415789811,-1651.6613415789811,-1651.6613415789811,-1651.6613415789811,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1644.59407062762,-1645.5068076098835,-1645.5068076098835,-1645.5068076098835,-1645.5068076098835,-1645.5068076098835,-1645.5068076098835,-1645.5068076098835	0.9955956967707507	-1644.59407062762	2	true	384
29	18	18	100	48000	312444	2499552	0	0	-1641.9108739605454	-1641.9108739605454	-1640.8773466419639	-1640.8773466419639	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.5530757811346,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1643.837098431746,-1641.9108739605454,-1641.9108739605454,-1641.9108739605454,-1641.9108739605454,-1641.9108739605454,-1641.9108739605454,-1641.9108739605454	0.9952702129681755	-1641.9108739605454	1	true	308
30	18	18	100	47400	306504	2452032	0	0	-875.3068483390542	-868.9035081803066	-852.2585535824487	-851.6076972662435	-879.9360753973612,-879.9360753973612,-879.9360753973612,-879.9360753973612,-879.9360753973612,-868.9035081803066,-868.9035081803066,-868.9035081803066,-868.9035081803066,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542,-875.3068483390542	0.995024126157873	-868.9035081803066	7	true	305
31	18	18	100	46200	294624	2356992	0	0	-668.7794238454816	-668.573694802281	-652.9779205725259	-652.7006783177217	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-668.573694802281,-668.573694802281,-668.573694802281,-668.573694802281,-668.573694802281,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816,-668.7794238454816	0.9947478816502295	-668.573694802281	7	true	334
32	20	20	100	43400	295020	2360160	0	0	-651.0467879022906	-651.0467879022906	-647.5096987060645	-647.5096987060645	-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-661.950126214882,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-652.7721570833362,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906,-651.0467879022906	0.9943563799065661	-651.0467879022906	3	true	296
33	22	22	100	67762	299376	2395008	0	0	-652.5084645989799	-652.5084645989799	-648.5768060607227	-648.5768060607227	-663.1301447435707,-663.1301447435707,-655.8802221730825,-655.8802221730825,-655.8802221730825,-655.8802221730825,-655.8802221730825,-656.6866422430911,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-659.3566734266466,-652.5084645989799	0.9933681213033975	-652.5084645989799	3	true	299
34	23	23	100	68278	301554	2412432	0	0	-642.8512373651151	-642.8512373651151	-642.0783521118123	-642.0783521118123	-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-655.2225230496891,-652.9061549362146,-652.9061549362146,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-652.4687632793971,-649.6257892239902,-649.6257892239902,-649.6257892239902,-644.4093644765138,-644.4093644765138,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151,-642.8512373651151	0.9931903919404012	-642.8512373651151	1	true	362
