# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 17
# run: bec9e28b-1382-4e32-95f4-07eb648e38f5
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	100	72200	955944	7647552	0	0	-Infinity	-Infinity	-157.37457603904608	-157.37457603904608	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	23	true	1826
26	16	16	100	71809	947628	7581024	0	0	-448.0552201937166	-383.3126579184691	12.01546896418014	14.94031234757595	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-383.3126579184691,-383.3126579184691,-383.3126579184691,-383.3126579184691,-383.3126579184691,-383.3126579184691,-383.3126579184691,-383.3126579184691,-385.4956040570386,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-390.9464470499016,-394.33701445112365,-416.4558282241889,-431.54186809673007,-431.54186809673007,-431.54186809673007,-431.54186809673007,-448.0552201937166,-448.0552201937166,-448.0552201937166,-448.0552201937166,-448.0552201937166,-448.0552201937166,-448.0552201937166,-448.0552201937166,-448.0552201937166	0.9955956967707507	-383.3126579184691	17	true	1711
27	17	17	100	82600	949806	7598448	0	0	-Infinity	-Infinity	-70.53891766044119	-70.53891766044119	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	21	true	976
28	18	18	100	77400	938322	7506576	0	0	13.503057399540086	13.503057399540086	71.66619511579579	71.66619511579579	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-19.66650808934978,-19.66650808934978,-21.285915147925003,0.9727375059919954,5.285024879310905,5.285024879310905,12.629428003896205,13.503057399540086,13.503057399540086	0.995024126157873	13.503057399540086	19	true	1135
29	18	18	100	74073	895752	7166016	0	0	20.673013308795834	20.673013308795834	71.34353055053148	71.34353055053148	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-12.538297165910276,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-12.538297165910276,-12.538297165910276,-12.538297165910276,-12.538297165910276,-12.538297165910276,-12.538297165910276,-12.538297165910276,-12.538297165910276,-12.538297165910276,-12.538297165910276,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,0.11214679012627826,-18.916155732640856,-22.093479963195332,-17.177525867825956,-17.177525867825956,-14.377236182065861,-14.377236182065861,-14.377236182065861,-5.791881871776116,8.66294783779652,13.236420650991018,13.236420650991018,13.236420650991018,13.236420650991018,13.236420650991018,13.236420650991018,11.568990837653853,11.568990837653853,11.568990837653853,11.568990837653853,11.568990837653853,15.082289127943813,20.673013308795834,20.673013308795834,20.673013308795834,20.673013308795834,20.673013308795834,20.673013308795834,20.673013308795834,20.673013308795834,20.673013308795834	0.9947478816502295	20.673013308795834	19	true	963
30	20	20	100	72130	835362	6682896	0	0	58.26384379476167	58.26384379476167	78.36465563459355	78.36465563459355	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,11.170572496625358,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,11.170525468341157,25.398718670496113,25.398718670496113,25.398718670496113,25.398718670496113,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,26.59173129787387,39.243926908103006,39.243926908103006,39.243824968355455,39.243824968355455,39.243824968355455,38.21644497142179,38.21644497142179,38.21644497142179,38.21644497142179,43.53418880216771,40.64047992096157,40.64047992096157,35.25624305656814,40.054778103493604,40.054778103493604,40.054778103493604,45.43901496788703,48.02516212892067,48.02516212892067,50.918871010126814,50.918871010126814,50.918871010126814,50.91826540854997,50.91826540854997,50.91826540854997,42.63754325998761,42.63754325998761,42.63754325998761,42.63754325998761,36.8229896457201,36.8229896457201,36.8229896457201,48.05437973256706,48.05437973256706,48.05437973256706,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167,58.26384379476167	0.9943563799065661	58.26384379476167	13	true	961
31	22	22	100	71649	809028	6472224	0	0	38.49690929295467	51.183847201157235	79.49490593854328	80.02742329632568	-Infinity,-Infinity,-Infinity,-Infinity,12.043806083751477,12.043806083751477,12.043806083751477,12.043806083751477,12.043806083751477,12.043806083751477,12.043806083751477,12.043806083751477,12.043806083751477,12.043806083751477,11.923590548003933,11.923590548003933,14.168422637675622,15.215420191448342,15.215420191448342,14.123157539215011,14.123157539215011,14.123157539215011,14.123157539215011,14.123157539215011,23.662301361824014,25.59384901825877,25.59384901825877,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,25.480284428583193,32.49731667082101,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,51.183847201157235,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467,38.49690929295467	0.9933681213033975	51.183847201157235	15	true	914
32	23	23	100	73233	769824	6158592	0	0	7.833893137432042	65.00078265239969	79.6588465104677	82.68408580555192	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,29.663028271114147,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,55.39726294702514,60.24073188730878,60.24073188730878,65.00078265239969,65.00078265239969,59.930696396964066,23.648765957222082,15.880457844455819,15.880457844455819,15.880457844455819,7.833893137432042	0.9931903919404012	65.00078265239969	13	true	954
33	25	25	100	75157	788832	6310656	0	0	72.54562080458308	72.72514555932514	85.09958836489447	84.8186738506462	-Infinity,-Infinity,-Infinity,-Infinity,44.07701635753453,44.07701635753453,44.07701635753453,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,45.35471240252587,51.55468920324165,51.55468920324165,51.55468920324165,51.55468920324165,51.55468920324165,51.55468920324165,51.55468920324165,51.55468920324165,51.55468920324165,51.55468920324165,56.51931250129074,54.357462634210236,54.357462634210236,54.357462634210236,57.51246641799841,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,54.05035373281066,59.6258367127045,72.54562080458308,72.54562080458308,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.3765803640962,72.55610511883826,72.55610511883826,72.55610511883826,72.55610511883826,72.55610511883826,72.55610511883826,72.55610511883826,72.55610511883826,70.68449540807929,70.68449540807929,70.68449540807929,70.68449540807929,70.68449540807929,72.55610511883826,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.72514555932514,72.54562080458308,72.54562080458308,72.54562080458308,72.54562080458308,72.54562080458308,72.54562080458308,72.54562080458308,72.54562080458308,72.54562080458308	0.992750053004438	72.72514555932514	11	true	1044
34	26	26	100	77570	788040	6304320	0	0	38.05230157466782	70.2422601632328	82.73783394977065	85.65676261886436	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37530713438078,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,49.37513365725092,60.49764261811626,60.49764261811626,58.543583575236795,58.543583575236795,55.4816200454793,55.4816200454793,55.4816200454793,55.4816200454793,55.4816200454793,55.4816200454793,55.4816200454793,55.4816200454793,55.4816200454793,56.014147044117436,59.76206681137079,59.76206681137079,59.76206681137079,59.76206681137079,59.76206681137079,59.76206681137079,59.76206681137079,59.76206681137079,59.76206681137079,59.76206681137079,64.82403034112829,64.82403034112829,64.82403034112829,67.29090599917691,67.28443113026488,68.46367109035536,68.46367109035536,68.46367109035536,68.46367109035536,68.46367109035536,70.2422601632328,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,67.79793627161497,65.1190577416742,38.05230157466782,38.05230157466782,38.05230157466782,38.05230157466782,38.05230157466782,38.05230157466782,38.05230157466782	0.9921504448717292	70.2422601632328	12	true	900
