# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 24
# run: bf0e51d4-c2fb-47b7-942b-cac908a52748
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	80200	732996	5863968	0	0	-633.8777032729597	-633.8777032729597	0.7223739636892175	0.7223739636892175	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1170.756354480986,-1170.7566536480656,-1170.7566536480656,-1179.4119568734143,-1193.7972542922162,-1205.6045352082585,-1205.6045352082585,-818.3325959308892,-818.3325959308892,-633.8777784751702,-633.8777784751702,-633.8777784751702,-633.8777784751702,-633.8777784751702,-633.8777032729597	0.9960270797844731	-633.8777032729597	18	true	1512
26	15	15	100	73000	729828	5838624	0	0	-326.46842481517854	-326.46842481517854	5.752249489023091	5.752249489023091	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1172.4887978244903,-1172.4887978244903,-1172.4887978244903,-1172.4887978244903,-1172.4890529950283,-1172.4890529950283,-1172.4890529950283,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.489247247982,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-872.4895011298416,-1075.2824223156408,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1178.286826208634,-1079.0179522067933,-797.309236902562,-811.0832437895152,-511.0836640605646,-511.0836640605646,-511.0836640605646,-418.61365355940984,-326.46842481517854,-326.46842481517854,-326.46842481517854,-326.46842481517854,-326.46842481517854,-326.46842481517854,-326.46842481517854,-326.46842481517854	0.9960270797844731	-326.46842481517854	18	true	739
27	15	15	100	71800	726660	5813280	0	0	-324.19793429961646	-324.19793429961646	7.875962120264328	7.875962120264328	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1170.444763994967,-1170.444763994967,-870.4448681662095,-870.4448681662095,-870.4448681662095,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.4451205944329,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-870.445317777271,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8546003343811,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-875.8620205707808,-884.5305684373482,-884.5305684373482,-884.5305684373482,-884.5305684373482,-884.5305684373482,-884.5305684373482,-884.5305684373482,-490.55625131529314,-490.55625131529314,-501.6907891318307,-508.8139737240866,-508.8139737240866,-508.8139737240866,-416.3436520741975,-324.19793429961646,-324.19793429961646,-324.19793429961646,-324.19793429961646,-324.19793429961646,-324.19793429961646,-324.19793429961646,-324.19793429961646	0.9960270797844731	-324.19793429961646	18	true	969
28	16	16	100	77200	717948	5743584	0	0	-585.6144990846831	-267.69901286797585	14.049961406376447	13.924035906586049	-Infinity,-Infinity,-Infinity,-Infinity,-267.69901286797585,-267.69901286797585,-267.699202116394,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-267.69924345444025,-270.165363628559,-479.1758303434672,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-585.2404568996351,-575.691069064245,-575.691069064245,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-573.8283625429668,-580.4967448267176,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831,-585.6144990846831	0.995805594344244	-267.69901286797585	11	true	824
29	16	16	100	71000	702108	5616864	0	0	-275.85096487843805	39.48542415143466	60.31927199792898	64.86892135327103	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,37.64792657512532,37.64792657512532,37.64792657512532,37.64792657512532,37.64792657512532,37.64792657512532,37.64792657512532,37.64792657512532,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,37.647934935488344,39.48542415143466,34.15937684788503,34.15937684788503,34.15937684788503,34.15937684788503,34.15937684788503,34.15937684788503,34.159368487522,34.159368487522,34.159368487522,34.159368487522,34.159368487522,34.159368487522,34.159368487522,34.159368487522,34.159368487522,34.159368487522,-69.7897920432738,-69.7897920432738,-176.13851273246638,-176.13851273246638,-282.8524122859503,-282.8524122859503,-282.8524122859503,-282.8524122859503,-282.8524122859503,-282.8524122859503,-282.8524122859503,-282.8524122859503,-278.3020551973494,-274.281439324253,-274.281439324253,-274.28142495321674,-274.28142495321674,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-272.9896252760457,-273.95633164206953,-267.2424320885856,-Infinity,-275.85096487843805,-275.85096487843805	0.9954268136656409	39.48542415143466	11	true	714
30	18	18	100	63787	682704	5461632	0	0	49.92749794621136	49.92749794621136	69.08455347975266	69.08455347975266	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,19.73831625828906,19.73831625828906,19.73831625828906,19.73831625828906,19.73831625828906,19.73831625828906,19.73831625828906,19.73831625828906,-196.24491995692114,-196.24491995692114,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.2449375140743,-196.24512008502717,-196.24512008502717,-196.24512008502717,-182.41419482530347,-182.41419482530347,-182.41419482530347,-182.41410333102817,17.585578232769365,17.585578232769365,18.27351663303226,18.27351663303226,18.27351663303226,18.27351663303226,18.27351663303226,18.27351663303226,6.716895480636056,6.716895480636056,6.716895480636056,6.716895480636056,6.072015331853521,8.265743605538553,8.265743605538553,8.265743605538553,8.265743605538553,8.265743605538553,8.265743605538553,8.265743605538553,8.265743605538553,15.551752904093235,18.1913269228082,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,-3.3653279921549597,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,22.62837121152465,36.25811305780926,48.65254780601097,48.65254780601097,49.92749794621136,49.92749794621136,49.92749794621136,49.92749794621136,49.92749794621136	0.9952702129681755	49.92749794621136	8	true	931
31	18	18	100	63628	626472	5011776	0	0	34.35605263954595	47.46680456897772	67.51790252659522	66.35901504773419	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,7.235767965339875,-0.24802971502602134,-0.24802971502602134,-23.281400605886247,-23.281400605886247,-23.281400605886247,-23.281400605886247,-23.281400605886247,-23.281400605886247,-23.281400605886247,-23.281400605886247,-23.281400605886247,-32.6069114114959,-32.6069114114959,-32.6069114114959,-32.6069114114959,7.986284310969754,7.986284310969754,7.986284310969754,7.986284310969754,7.986284310969754,7.986284310969754,7.986284310969754,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,7.986189109774418,10.90850392626453,37.87262965986306,47.46680456897772,47.46680456897772,47.46680456897772,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,37.19137250580911,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595,34.35605263954595	0.9949686359947655	47.46680456897772	8	true	664
32	18	18	100	58304	595980	4767840	0	0	28.656731175378304	38.33034804179819	64.42965563095072	64.33546290814364	-Infinity,-Infinity,-Infinity,17.080416337504182,17.080416337504182,17.080339906660676,17.080339906660676,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,17.08028288021263,18.343198916997885,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,17.049338032921078,12.432908307745095,12.432908307745095,14.929209737479589,8.64714932123853,8.64714932123853,8.64714932123853,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,2.511095076351502,8.808421970380536,8.808421970380536,14.707393322605157,19.230103934771734,22.68660661722231,22.68660661722231,22.68660661722231,22.68660661722231,22.68660661722231,22.68660661722231,22.68660661722231,26.92119231153547,26.92119231153547,26.92119231153547,26.92119231153547,26.92119231153547,26.92119231153547,26.92119231153547,32.87120085850111,32.87120085850111,35.06650871531609,34.99012515282132,34.99012515282132,34.99012515282132,34.99012515282132,34.99012515282132,34.99012515282132,34.99012515282132,38.33034804179819,38.33034804179819,38.33034804179819,32.66448276708469,32.66448276708469,28.656731175378304	0.9947478816502295	38.33034804179819	11	true	510
33	19	19	100	59649	605880	4847040	0	0	47.369351715201276	47.369351715201276	67.18253042712382	67.18253042712382	23.598808096821024,23.598808096821024,23.598808096821024,23.598808096821024,23.598808096821024,23.598682974927065,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.598663653019052,23.58581527213604,21.53934801986211,21.53934801986211,21.53934801986211,25.898989238412696,25.898989238412696,30.616746453005916,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,19.77900818278396,22.623556482385922,22.623318082934148,22.623318082934148,22.623318082934148,22.413968966142072,22.413968966142072,22.413968966142072,22.413968966142072,19.288696593727273,19.288696593727273,19.288696593727273,13.661066932165392,13.661066932165392,13.661066932165392,13.661066932165392,13.661066932165392,13.661066932165392,19.288696593727273,5.6671311858548865,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,3.5173384809815875,39.81779930870016,39.81779930870016,43.396893290183534,42.31528371472453,45.12478550772106,45.12478550772106,45.12478550772106,45.12478550772106,42.260131353841345,42.260131353841345,42.260131353841345,42.260131353841345,42.260131353841345,42.260131353841345,42.260131353841345,42.260131353841345,42.260131353841345,47.369351715201276,47.369351715201276,47.369351715201276,47.369351715201276,47.369351715201276	0.9941695118474059	47.369351715201276	10	true	665
34	22	22	100	64000	637956	5103648	0	0	42.13858228240288	50.438905818677526	68.23172416854605	69.08887789473222	-Infinity,-Infinity,38.89507452096183,38.89507452096183,38.89507452096183,38.89507452096183,38.89498144680414,38.89498144680414,38.89498144680414,38.89498144680414,38.89498144680414,38.89498144680414,38.89498144680414,38.89498144680414,38.89498144680414,38.89483609177191,38.89483609177191,42.11639686548152,42.11639686548152,40.071211051571666,40.071211051571666,40.071211051571666,40.071211051571666,45.21545101881645,45.21545101881645,45.21545101881645,46.73962714550039,46.73962714550039,46.73962714550039,46.73962714550039,46.73962714550039,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,46.73953758409351,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,45.84025507876082,50.438905818677526,50.438905818677526,47.98761059090563,47.98761059090563,47.98761059090563,47.98761059090563,47.98761059090563,47.98761059090563,47.98761059090563,47.98761059090563,47.98761059090563,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.81887578042836,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,33.76243037536422,39.606313004022695,42.13858228240288	0.9933681213033975	50.438905818677526	10	true	570
