# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 20
# run: c11792ae-ea8c-406a-84af-6239e0973e1e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9966555661970596	-Infinity	6	true	2338
26	15	15	100	53200	469260	3754080	0	0	-2047.8962158032089	-2047.8962158032089	-2037.4845473361486	-2037.4845473361486	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089,-2047.8962158032089	0.9960270797844731	-2047.8962158032089	7	true	1336
27	15	15	100	52200	454410	3635280	0	0	-2037.1844814850974	-2037.1844814850974	-2034.4638252122488	-2034.4638252122488	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2041.6679893984092,-2039.9104299461358,-2039.9104299461358,-2039.9104299461358,-2039.9104299461358,-2039.9104299461358,-2039.9104299461358,-2039.9104299461358,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2038.2381048887744,-2037.1844814850974,-2037.1844814850974,-2037.1844814850974,-2037.1844814850974,-2037.1844814850974,-2037.1844814850974,-2037.1844814850974,-2037.1844814850974	0.9960270797844731	-2037.1844814850974	4	true	883
28	15	15	100	51400	442530	3540240	0	0	-2034.4597319870695	-2034.4597319870695	-2031.0549526493428	-2031.0549526493428	-Infinity,-Infinity,-Infinity,-2042.6682375127743,-2038.6862460184493,-2038.6862460184493,-2038.6862460184493,-2035.5115047428087,-2035.5115047428087,-2035.5115047428087,-2035.5115047428087,-2035.5115047428087,-2035.5115047428087,-2035.5115047428087,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2035.7157456755945,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695,-2034.4597319870695	0.9960270797844731	-2034.4597319870695	4	true	1229
29	16	16	100	47400	433026	3464208	0	0	-1148.373241694717	-1148.373241694717	-1136.6208298593551	-1136.6208298593551	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1162.1599069874846,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1156.434819171601,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1151.1477375824481,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717,-1148.373241694717	0.9956367112391343	-1148.373241694717	8	true	808
30	16	16	100	46400	418176	3345408	0	0	-1139.7252074795626	-1139.3678841344538	-1131.780274836798	-1131.652923054457	-Infinity,-Infinity,-Infinity,-Infinity,-1153.5564917969477,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1146.1538861341187,-1142.3501033534324,-1142.3501033534324,-1142.3501033534324,-1142.3501033534324,-1139.3678841344538,-1139.3678841344538,-1139.3678841344538,-1139.3678841344538,-1139.3678841344538,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626,-1139.7252074795626	0.9954268136656409	-1139.3678841344538	7	true	648
31	17	16	100	45408	391446	3131568	0	0	-559.8859762714557	-559.5518922320102	-541.1516284914231	-541.1267072473961	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.5518922320102,-559.8859762714557,-559.8859762714557,-559.8859762714557,-559.8859762714557,-559.8859762714557,-559.8859762714557,-559.8859762714557	0.9953376199910808	-559.5518922320102	11	true	636
32	18	16	100	45271	376596	3012768	0	0	-552.999160624545	-552.999160624545	-544.6186033720105	-544.6186033720105	-573.4577024848114,-573.4577024848114,-576.6837969618242,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-571.5069826899571,-562.0532979271206,-553.045182222609,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-553.7535774759539,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545,-552.999160624545	0.9950554901631077	-552.999160624545	9	true	1359
33	18	16	100	45325	367686	2941488	0	0	-557.4366082014534	-556.5967317456643	-548.7197352824256	-548.3538511638425	-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-622.606416573869,-588.9132268309478,-560.6151612519619,-557.7974011250622,-556.5967317456643,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534,-557.4366082014534	0.9948347358185716	-556.5967317456643	9	true	1000
34	18	16	100	45432	358776	2870208	0	0	-594.1490367586817	-585.3233938321309	-548.6357223373922	-548.3890902491412	-585.3233938321309,-585.3233938321309,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817,-594.1490367586817	0.9944468529985891	-585.3233938321309	15	true	982
