# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 14
# run: c13deb52-8c34-4cf0-ac64-ec90071229e3
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	33	17311	90948	727584	0	0	-139.107256752443	-139.107256752443	-139.107256752443	-139.107256752443	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.20989057850278,-140.1203418396678,-140.1203418396678,-140.1203418396678,-140.1203418396678,-140.0835810820403,-139.107256752443,-139.107256752443	0.9968457241868389	-139.107256752443	3	true	1440
26	15	15	30	14976	82680	661440	0	0	-130.91700139898538	-130.91700139898538	-130.91700139898538	-130.91700139898538	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-133.9110675185745,-133.58624465024369,-133.58624465024369,-132.60880751630287,-132.60880751630287,-132.60880751630287,-132.60880751630287,-132.60880751630287,-132.49395315050387,-131.51244153724247,-131.51244153724247,-131.51244153724247,-131.51244153724247,-131.51244153724247,-131.51244153724247,-131.51244153724247,-132.06987900019885,-131.56589384822396,-131.86476596542738,-131.86476596542738,-131.86476596542738,-131.86476596542738,-131.75194226450213,-130.91700139898538,-130.91700139898538	0.9960270797844731	-130.91700139898538	2	true	1070
27	15	15	18	8716	49608	396864	0	0	-125.99906370359626	-125.99906370359626	-125.99906370359626	-125.99906370359626	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-125.99915862984135,-125.99915862984135,-125.99915862984135,-125.99915862984135,-125.99906370359626,-125.99906370359626	0.9960270797844731	-125.99906370359626	2	true	622
28	15	15	5	2444	13780	110240	0	0	-73.02361554186179	-73.02361554186179	-73.02361554186179	-73.02361554186179	-Infinity,-Infinity,-Infinity,-73.02361554186179,-73.02361554186179	0.9960270797844731	-73.02361554186179	2	true	290
29	16	16	38	17844	104728	837824	0	0	28.66603734123323	28.66603734123323	28.66603734123323	28.66603734123323	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-21.811067178632364,-21.811067178632364,-21.811067178632364,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,-21.333962271325017,28.66603734123323,28.66603734123323	0.995805594344244	28.66603734123323	0	true	1219
30	16	16	16	7651	44096	352768	0	0	26.580250930906985	26.580250930906985	26.580250930906985	26.580250930906985	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,26.57913062949887,26.57913062949887,26.57913062949887,26.57913062949887,26.57913062949887,26.57913062949887,26.580250930906985,26.580250930906985	0.9954268136656409	26.580250930906985	1	true	377
31	17	17	8	3795	22048	176384	0	0	30.922188687532113	30.922188687532113	30.922188687532113	30.922188687532113	-Infinity,-Infinity,-Infinity,-Infinity,-19.222119812492167,-19.078190915326005,30.922188687532113,30.922188687532113	0.9952876130456717	30.922188687532113	1	true	300
32	18	18	11	5229	30316	242528	0	0	80.19216643290942	80.19216643290942	80.19216643290942	80.19216643290942	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,79.0457890796712,79.0457890796712,79.0457890796712,79.0457890796712,80.19216643290942,80.19216643290942	0.995024126157873	80.19216643290942	1	true	275
33	18	18	20	8480	55120	440960	0	0	81.52462941608678	81.52462941608678	81.52462941608678	81.52462941608678	80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,80.54990554595675,81.52462941608678,81.52462941608678	0.9949686359947655	81.52462941608678	1	true	353
34	18	18	5	2044	13780	110240	0	0	80.32102382477281	80.32102382477281	80.32102382477281	80.32102382477281	-Infinity,-Infinity,-Infinity,80.32102382477281,80.32102382477281	0.9948311168948906	80.32102382477281	1	true	143
