# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: c347c4eb-7d99-4c35-843d-c60baecd445a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	56	14877	80416	643328	0	0	-2442.646585922145	-2442.646585922145	-2442.646585922145	-2442.646585922145	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2444.145735844976,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.86778918641,-2442.646585922145,-2442.646585922145	0.9960270797844731	-2442.646585922145	3	true	596
26	15	15	7	1840	10052	80416	0	0	-2433.1683180899545	-2433.1683180899545	-2433.1683180899545	-2433.1683180899545	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2433.1683180899545,-2433.1683180899545	0.9960270797844731	-2433.1683180899545	3	true	275
27	16	16	20	5024	28720	229760	0	0	-2474.721261169753	-2474.721261169753	-2474.721261169753	-2474.721261169753	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2475.019588191935,-2475.019588191935,-2475.019588191935,-2474.721261169753,-2474.721261169753	0.9958381646573722	-2474.721261169753	2	true	83
28	16	16	11	2678	15796	126368	0	0	-2475.847890518949	-2475.847890518949	-2475.847890518949	-2475.847890518949	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2475.847890518949,-2475.847890518949	0.9955956967707507	-2475.847890518949	2	true	107
29	17	17	39	8833	56004	448032	0	0	-1029.1910991934196	-1029.1910991934196	-1029.1910991934196	-1029.1910991934196	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1190.1941490366842,-1083.2255681508918,-1080.8823050698325,-1080.8823050698325,-1079.7137751425123,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.5139691743645,-1079.3162734465145,-1079.3162734465145,-1079.3162734465145,-1079.3162734465145,-1079.3162734465145,-1079.2067717307432,-1079.2067717307432,-1079.2067717307432,-1079.1910531717856,-1079.1910531717856,-1079.1910531717856,-1079.1910531717856,-1079.1910531717856,-1079.1910531717856,-1029.1910991934196,-1029.1910991934196	0.9952876130456717	-1029.1910991934196	2	true	84
30	18	18	36	7867	51696	413568	0	0	-625.1352679213268	-625.1352679213268	-625.1352679213268	-625.1352679213268	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.4467257375157,-626.9286331929325,-626.9286331929325,-625.6270618171715,-625.6270618171715,-625.1352679213268,-625.1352679213268	0.9952702129681755	-625.1352679213268	2	true	79
31	18	18	8	1628	11488	91904	0	0	-627.5159935676415	-627.5159935676415	-627.5159935676415	-627.5159935676415	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-628.140882844927,-627.5159935676415,-627.5159935676415	0.9948854007501045	-627.5159935676415	2	true	59
32	18	18	8	1575	11488	91904	0	0	-626.7140751564881	-626.7140751564881	-626.7140751564881	-626.7140751564881	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-626.7140751564881,-626.7140751564881	0.9947478816502295	-626.7140751564881	2	true	52
33	21	20	49	9218	70364	562912	0	0	-619.5940771588503	-619.5940771588503	-619.5940771588503	-619.5940771588503	-Infinity,-Infinity,-725.9375093724184,-725.6840468689932,-725.6840468689932,-725.6840468689932,-629.9574250757436,-626.4583047275944,-624.9706547392686,-624.9706547392686,-624.9706547392686,-624.3315040317659,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1926110823097,-622.1230548736887,-622.1230548736887,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-620.9116507513752,-619.9219122349839,-619.9219122349839,-619.9219122349839,-619.9219122349839,-619.9219122349839,-619.9219122349839,-619.9219122349839,-619.9219122349839,-619.9219122349839,-619.5940771588503,-619.5940771588503	0.9938109459647174	-619.5940771588503	1	true	89
34	23	23	13	2334	18668	149344	0	0	-615.5697261213855	-615.5697261213855	-615.5697261213855	-615.5697261213855	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-615.5697261213855,-615.5697261213855	0.9931903919404012	-615.5697261213855	0	true	62
35	23	23	17	2874	24412	195296	0	0	-613.0963918717644	-613.0963918717644	-613.0963918717644	-613.0963918717644	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-613.0963918717644,-613.0963918717644	0.9930914746931229	-613.0963918717644	0	true	105
36	24	24	8	1319	11488	91904	0	0	-613.4850217898062	-613.4850217898062	-613.4850217898062	-613.4850217898062	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-613.4850217898062,-613.4850217898062	0.9928686367258611	-613.4850217898062	0	true	52
37	26	26	15	2298	21540	172320	0	0	-610.7750331208797	-610.7750331208797	-610.7750331208797	-610.7750331208797	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-611.6755669518705,-611.6755669518705,-611.6755669518705,-611.6755669518705,-611.6755669518705,-610.7750331208797,-610.7750331208797	0.9923243359823367	-610.7750331208797	0	true	57
38	28	27	19	2829	27284	218272	0	0	-607.2777936625928	-607.2777936625928	-607.2777936625928	-607.2777936625928	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-614.5561573564859,-611.258731465753,-609.9677079003857,-609.9677079003857,-609.9677079003857,-609.9677079003857,-609.9677079003857,-609.9677079003857,-607.2777936625928,-607.2777936625928	0.9914311198192729	-607.2777936625928	0	true	58
39	28	27	32	4480	45952	367616	0	0	-604.5204455031749	-604.5204455031749	-604.5204455031749	-604.5204455031749	-Infinity,-Infinity,-Infinity,-Infinity,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-654.520428078054,-604.5204455031749,-604.5204455031749	0.9914311198192729	-604.5204455031749	0	true	66
40	29	29	6	888	8616	68928	0	0	-605.8704316001514	-605.8704316001514	-605.8704316001514	-605.8704316001514	-Infinity,-Infinity,-606.0371480442859,-607.6056891722853,-605.8704316001514,-605.8704316001514	0.9910883090487713	-605.8704316001514	0	true	46
41	29	28	13	1872	18668	149344	0	0	-605.1200792916798	-605.1200792916798	-605.1200792916798	-605.1200792916798	-Infinity,-Infinity,-Infinity,-Infinity,-607.7354851587165,-605.3153391308357,-605.3153391308357,-605.3153391308357,-605.3153391308357,-605.3153391308357,-605.3153391308357,-605.1200792916798,-605.1200792916798	0.9907153405809285	-605.1200792916798	0	true	50
42	29	28	9	1296	12924	103392	0	0	-606.6589851994526	-606.6589851994526	-606.6589851994526	-606.6589851994526	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-606.6589851994526,-606.6589851994526	0.9905402066076425	-606.6589851994526	0	true	45
43	29	29	12	1776	17232	137856	0	0	-604.6477226525894	-604.6477226525894	-604.6477226525894	-604.6477226525894	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-604.6477226525894,-604.6477226525894	0.9904441406335673	-604.6477226525894	0	true	110
44	31	31	14	2184	20104	160832	0	0	-602.5662382539439	-602.5662382539439	-602.5662382539439	-602.5662382539439	-602.9531340067792,-602.9531340067792,-602.9531340067792,-602.9531340067792,-602.9531340067792,-602.9531340067792,-602.8118245248488,-602.7958328927555,-602.6576646336484,-602.6576646336484,-602.6576646336484,-602.6576646336484,-602.5662382539439,-602.5662382539439	0.9901122962984622	-602.5662382539439	0	true	44
45	32	32	8	1280	11488	91904	0	0	-599.7910974704724	-599.7910974704724	-599.7910974704724	-599.7910974704724	-Infinity,-Infinity,-Infinity,-Infinity,-601.1884750024645,-601.1884750024645,-599.7910974704724,-599.7910974704724	0.9898947953297604	-599.7910974704724	0	true	41
