# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 20
# run: c617adfd-6408-46cc-b157-d6485488da57
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	22	5808	5060	40480	0	0	-1165.0414781689558	-1165.0414781689558	-1165.0414781689558	-1165.0414781689558	-1367.1317917901058,-1367.1317917901058,-1365.1524572695039,-1365.1524572695039,-1363.2648313891796,-1265.0902060568994,-1265.0902060568994,-1265.0902060568994,-1265.0902060568994,-1265.0902060568994,-1265.0902060568994,-1265.0902060568994,-1167.0956531269755,-1167.0956531269755,-1167.0956531269755,-1167.0956531269755,-1167.0956531269755,-1167.0956531269755,-1167.0956531269755,-1167.0956531269755,-1165.0414781689558,-1165.0414781689558	0.9966555661970596	-1165.0414781689558	0	true	204
26	15	15	1	262	230	1840	0	0	-1160.6254517438517	-1160.6254517438517	-1160.6254517438517	-1160.6254517438517	-1160.6254517438517	0.9960270797844731	-1160.6254517438517	0	true	16
27	15	15	1	256	230	1840	0	0	-1159.2816208317188	-1159.2816208317188	-1159.2816208317188	-1159.2816208317188	-1159.2816208317188	0.9960270797844731	-1159.2816208317188	0	true	11
28	15	15	1	254	230	1840	0	0	-1158.1897389842811	-1158.1897389842811	-1158.1897389842811	-1158.1897389842811	-1158.1897389842811	0.9960270797844731	-1158.1897389842811	0	true	13
29	16	16	14	3500	3220	25760	0	0	-1156.7128769641272	-1156.7128769641272	-1156.7128769641272	-1156.7128769641272	-1209.7908649092049,-1159.6787909894952,-1159.6787909894952,-1158.3023749980457,-1158.3023749980457,-1158.3023749980457,-1158.3023749980457,-1158.3023749980457,-1158.3023749980457,-1158.3023749980457,-1158.3023749980457,-1157.5006903809285,-1156.7128769641272,-1156.7128769641272	0.9956367112391343	-1156.7128769641272	0	true	23
30	16	16	3	738	690	5520	0	0	-1155.5663437717728	-1155.5663437717728	-1155.5663437717728	-1155.5663437717728	-1156.6037023799054,-1155.5663437717728,-1155.5663437717728	0.9954268136656409	-1155.5663437717728	0	true	14
31	17	17	1	240	230	1840	0	0	-1154.5944589396115	-1154.5944589396115	-1154.5944589396115	-1154.5944589396115	-1154.5944589396115	0.9952876130456717	-1154.5944589396115	0	true	13
32	18	18	6	1404	1380	11040	0	0	-1154.4807884860318	-1154.4807884860318	-1154.4807884860318	-1154.4807884860318	-1155.2605420152395,-1155.2605420152395,-1155.2605420152395,-1155.2605420152395,-1154.4807884860318,-1154.4807884860318	0.9949686359947655	-1154.4807884860318	0	true	20
33	18	18	4	928	920	7360	0	0	-1154.455072945792	-1154.455072945792	-1154.455072945792	-1154.455072945792	-1156.050993254014,-1155.2585274605685,-1154.455072945792,-1154.455072945792	0.9948854007501045	-1154.455072945792	0	true	10
34	18	18	5	1140	1150	9200	0	0	-1057.4511718399572	-1057.4511718399572	-1057.4511718399572	-1057.4511718399572	-1205.906720486938,-1155.9067243429308,-1155.9067243429308,-1057.4511718399572,-1057.4511718399572	0.9943932271294993	-1057.4511718399572	0	true	10
