# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 6
# run: c6c3736a-ec04-4f0c-b9fc-4e11d8b64954
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	74400	732996	5863968	0	0	-633.8801009466313	-633.8801009466313	-1.6616769661550268	-1.6616769661550268	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1179.4126995374486,-1181.5514753513257,-1191.9665439925234,-1195.3578335360191,-1205.6056944915283,-1205.6056944915283,-913.0910635122441,-818.3334414024722,-633.8801009466313,-633.8801009466313,-633.8801009466313,-633.8801009466313,-633.8801009466313,-633.8801009466313	0.9959945094713449	-633.8801009466313	18	true	1188
26	16	16	100	74800	748836	5990688	0	0	-326.39383264703827	-326.39383264703827	5.021591163929325	5.021591163929325	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1172.433354564421,-1172.433354564421,-1172.433354564421,-1172.433354564421,-1172.4336138468125,-1172.4336138468125,-1172.4336138468125,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4338110439006,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-872.4340659587275,-973.2987236720256,-1075.1621528557316,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-1178.159703509628,-797.2224212413591,-511.01109751577815,-511.01109751577815,-511.01109751577815,-511.01109751577815,-511.01109751577815,-326.39383264703827,-326.39383264703827,-326.39383264703827,-326.39383264703827,-326.39383264703827,-326.39383264703827,-326.39383264703827,-326.39383264703827	0.995805594344244	-326.39383264703827	18	true	623
27	17	17	100	75200	764676	6117408	0	0	-324.1589967980566	-324.1589967980566	6.638699615279644	6.638699615279644	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1162.5196463817292,-1162.5196463817292,-1162.5196463817292,-862.5197666846042,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5200026088718,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-862.5202002706902,-871.6220170437552,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-877.7771943089872,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-875.7611163418688,-488.5236560962695,-494.8919190567294,-508.7740844545666,-508.7740844545666,-508.7740844545666,-324.1589967980566,-324.1589967980566,-324.1589967980566,-324.1589967980566,-324.1589967980566,-324.1589967980566,-324.1589967980566,-324.1589967980566,-324.1589967980566	0.9954564961507815	-324.1589967980566	18	true	890
28	18	18	100	78000	770616	6164928	0	0	-585.5643668295434	-467.9824710014133	14.52592024429549	10.106045013794038	-Infinity,-Infinity,-Infinity,-767.9823936650284,-767.9823936650284,-467.9824710014133,-467.98263065823187,-467.98263065823187,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-467.98267071813274,-1079.2164735281829,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1185.25345064312,-1180.193524577409,-1180.193524577409,-1180.193524577409,-1173.7768219882596,-1173.7768219882596,-1173.7768219882596,-1173.7768219882596,-1173.7768219882596,-573.7774100447575,-573.7774100447575,-573.7774100447575,-573.7774100447575,-573.7774100447575,-573.7774100447575,-573.7774100447575,-573.7774100447575,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434,-585.5643668295434	0.9952702129681755	-467.9824710014133	11	true	573
29	18	18	100	76800	732996	5863968	0	0	20.457372737420442	30.358884914073826	60.274424345267846	60.28902262965244	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-8.120357127659567,-8.120357127659567,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.3981894743117955,0.8208227984439329,0.8208227984439329,3.136126834734428,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,3.0398092930802747,8.356268716074183,8.356268716074183,15.676584249456887,14.312309624175427,20.690864704948673,26.71760986169454,30.358884914073826,30.358884914073826,30.358884914073826,25.06652569678733,20.457372737420442	0.9947478816502295	30.358884914073826	13	true	673
30	18	18	100	76400	722700	5781600	0	0	36.166101338223726	36.166101338223726	62.24589249869871	62.24589249869871	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.923083420599724,15.922775370109264,16.29694717128433,16.29694717128433,16.29694717128433,16.29694717128433,16.29694717128433,16.29694717128433,16.29694717128433,16.29677173777462,16.29677173777462,16.29677173777462,20.710630944055218,26.23818065543874,26.23818065543874,26.23818065543874,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,10.379595082402618,27.627824173911968,35.233234584074665,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726,36.166101338223726	0.9947478816502295	36.166101338223726	13	true	666
31	22	22	100	68208	706068	5648544	0	0	35.94446874012454	35.94446874012454	69.90765974992772	69.90765974992772	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,10.604394101292586,10.604394101292586,10.604394101292586,10.604394101292586,10.604394101292586,10.604394101292586,10.604394101292586,10.604394101292586,10.604394101292586,10.604394101292586,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,10.60426545389271,-9.037479899045051,-9.037479899045051,-9.037479899045051,-115.34873717266677,-350.99528823589384,-50.99547381916514,-50.99547381916514,-50.99547381916514,-50.99547381916514,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-50.99557713304813,-27.04334522331458,-13.742484149170574,-9.217439052822058,-9.217439052822058,-0.818073714272785,-0.818073714272785,-0.818073714272785,-0.818073714272785,7.008512031760581,19.75886392983503,19.75886392983503,19.75886392983503,19.75886392983503,19.75886392983503,19.75886392983503,19.75886392983503,19.75886392983503,34.61231784476317,34.61231784476317,34.61231784476317,34.61231784476317,34.61231784476317,34.61231784476317,34.61231784476317,35.15016562550367,-1.4734977560300777,13.938372482791031,19.128480620941403,19.128480620941403,19.128480620941403,19.128480620941403,19.128480620941403,25.859951583402406,32.1518563427655,32.1518563427655,35.94446874012454,35.94446874012454,35.94446874012454,35.94446874012454	0.993745695674107	35.94446874012454	12	true	619
32	23	23	100	63146	657360	5258880	0	0	14.918561657934838	41.17947286894908	67.36159867214157	67.50126337751186	-Infinity,-Infinity,28.89672375554234,28.89672375554234,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896657522925764,28.896504905516395,28.896504905516395,28.896504905516395,28.896504905516395,28.896504905516395,28.896504905516395,28.896504905516395,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,38.46543233398167,41.17947286894908,30.374943863026132,30.374943863026132,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838,14.918561657934838	0.9931903919404012	41.17947286894908	12	true	504
33	24	24	100	65035	673992	5391936	0	0	45.35259130184569	45.35259130184569	69.82978530244947	69.82978530244947	-Infinity,-Infinity,-Infinity,32.645204036318525,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,32.645114448426135,33.19374181552429,33.19374181552429,33.19374181552429,29.30132004950676,33.882783660558616,33.882783660558616,33.882783660558616,33.882783660558616,33.882783660558616,33.882783660558616,33.882783660558616,33.882783660558616,33.882783660558616,33.882783660558616,29.30132004950676,29.30132004950676,29.30132004950676,29.30132004950676,29.30132004950676,29.30132004950676,33.83356876579535,33.83356876579535,33.83356876579535,33.83356876579535,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,34.697723459434144,43.86817686854327,43.86817686854327,43.86817686854327,43.86817686854327,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569,45.35259130184569	0.9929675539731397	45.35259130184569	12	true	600
34	27	27	100	72400	697356	5578848	0	0	57.77802627989641	59.098584182680995	76.3769467323662	76.3769467323662	44.32622560635929,44.32622560635929,44.32622560635929,44.32622560635929,44.32622560635929,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,44.32616231119982,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.69423301569094,52.47709817496532,52.47709817496532,52.47709817496532,52.47709817496532,52.47709817496532,54.54016544844434,54.54016544844434,54.54016544844434,54.54016544844434,54.54016544844434,54.54016544844434,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,53.756593956360774,56.749595063424735,56.749595063424735,56.749595063424735,56.749595063424735,56.749595063424735,56.749595063424735,56.749595063424735,56.749595063424735,56.749595063424735,56.70805490029673,56.70805490029673,56.749595063424735,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,58.31501269059743,59.098584182680995,59.098584182680995,59.098584182680995,59.098584182680995,59.098584182680995,59.098584182680995,59.098584182680995,59.098584182680995,59.098584182680995,59.098584182680995,57.77802627989641,57.77802627989641,57.77802627989641	0.9922057522609133	59.098584182680995	8	true	552
