# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 10
# run: c73544f4-3ad0-40c2-bb75-c91056b8a555
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1655.3803736317363	-1655.3803736317363	-1652.062377980538	-1652.062377980538	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1665.723563580506,-1665.723563580506,-1665.723563580506,-1665.723563580506,-1665.723563580506,-1665.723563580506,-1665.723563580506,-1665.723563580506,-1665.723563580506,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1662.4543685004473,-1663.233830259402,-1663.233830259402,-1655.988238254048,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1657.291998485457,-1656.0484958426694,-1657.3611110665925,-1657.3611110665925,-1657.3611110665925,-1657.3611110665925,-1657.3611110665925,-1657.3611110665925,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363,-1655.3803736317363	0.9960270797844731	-1655.3803736317363	2	true	897
26	15	15	100	54200	321750	2574000	0	0	-1649.1329936073382	-1649.1329936073382	-1646.385390961656	-1646.385390961656	-Infinity,-Infinity,-Infinity,-Infinity,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382,-1649.1329936073382	0.9960270797844731	-1649.1329936073382	2	true	611
27	16	16	100	51200	316008	2528064	0	0	-1642.6660681055473	-1642.6660681055473	-1642.6660681055473	-1642.6660681055473	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1647.4364658988784,-1644.4115906184438,-1644.4115906184438,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473,-1642.6660681055473	0.9958381646573722	-1642.6660681055473	0	true	378
28	16	16	100	51000	314028	2512224	0	0	-1643.1639676682923	-1643.1639676682923	-1643.1639676682923	-1643.1639676682923	-Infinity,-Infinity,-1653.9331127113587,-1648.706296901645,-1648.706296901645,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1646.8014644019831,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923,-1643.1639676682923	0.9955956967707507	-1643.1639676682923	0	true	318
29	17	17	100	48000	308286	2466288	0	0	-1640.2733646591275	-1640.2733646591275	-1640.2733646591275	-1640.2733646591275	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275,-1640.2733646591275	0.9952876130456717	-1640.2733646591275	0	true	465
30	18	17	100	47600	304326	2434608	0	0	-852.3902160061488	-852.1022003075323	-848.3283359147833	-847.8106034160171	-870.8529664472719,-870.8529664472719,-868.8531078406199,-868.8531078406199,-868.8531078406199,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-858.6992175736206,-855.9673278792039,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-855.0999041847808,-852.1022003075323,-852.1022003075323,-852.1022003075323,-852.1022003075323,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488,-852.3902160061488	0.9953070601911086	-852.1022003075323	3	true	317
31	18	17	100	46600	294426	2355408	0	0	-657.928207125462	-657.928207125462	-652.2136054646667	-652.2136054646667	-Infinity,-Infinity,-664.621887139921,-664.621887139921,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-664.7527248367305,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462,-657.928207125462	0.9949222479730375	-657.928207125462	4	true	320
32	18	18	100	43400	286704	2293632	0	0	-668.0262499002604	-664.4317908576272	-649.8574723611428	-649.8574723611428	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-679.2976368229779,-679.2976368229779,-679.2976368229779,-679.2976368229779,-688.1917560022866,-688.1917560022866,-688.1917560022866,-688.1917560022866,-688.1917560022866,-680.9688976500834,-681.014652797476,-681.014652797476,-681.014652797476,-681.014652797476,-681.014652797476,-681.014652797476,-681.014652797476,-681.014652797476,-681.014652797476,-676.582963727519,-676.582963727519,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-672.1205336181672,-671.7980882149968,-671.7980882149968,-671.7980882149968,-671.7980882149968,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-673.0172146757145,-668.9896328915522,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-665.7246371931204,-664.4400703128837,-664.4400703128837,-664.4400703128837,-664.4400703128837,-664.4400703128837,-664.4400703128837,-664.4317908576272,-664.4317908576272,-665.6024307218655,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604,-668.0262499002604	0.9947478816502295	-664.4317908576272	7	true	451
33	20	20	100	43200	293040	2344320	0	0	-650.1921738785437	-647.4214945771552	-645.2036328074252	-644.2480841350982	-660.5182241340175,-660.5182241340175,-660.5182241340175,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-656.5179127511708,-653.671850167398,-653.671850167398,-653.671850167398,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-652.1360339429253,-650.8611937865742,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-652.1446494704421,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-649.6664084513411,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.9400973965389,-647.4214945771552,-647.4214945771552,-649.4694151285893,-649.4694151285893,-652.4989046241421,-652.4989046241421,-652.4989046241421,-652.4989046241421,-652.4989046241421,-652.4989046241421,-652.4989046241421,-652.4989046241421,-652.4989046241421,-652.4989046241421,-650.1921738785437,-650.1921738785437,-650.1921738785437	0.9940017253858359	-647.4214945771552	3	true	299
34	23	23	100	68481	303534	2428272	0	0	-645.7542873044914	-645.7542873044914	-641.8360778870236	-641.8360778870236	-662.8073469963718,-662.8073469963718,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-649.82877889851,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.09561745161,-648.4294478307792,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-650.7996771992376,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914,-645.7542873044914	0.9931903919404012	-645.7542873044914	3	true	317
