# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 24
# run: c74f12d5-64de-4f72-aae7-c88a6ad9e3e2
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	49	12955	44688	357504	0	0	-2095.3194918257686	-2095.3194918257686	-2095.3194918257686	-2095.3194918257686	-Infinity,-Infinity,-Infinity,-Infinity,-2204.276500389744,-2203.295698741794,-2203.2576183385245,-2203.2576183385245,-2203.2576183385245,-2102.6593441784125,-2102.6593441784125,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2097.547583162025,-2096.572594424073,-2096.572594424073,-2096.6228759369724,-2096.6228759369724,-2096.6228759369724,-2095.3194918257686,-2095.3194918257686	0.9960270797844731	-2095.3194918257686	2	true	437
26	15	15	2	525	1824	14592	0	0	-2037.4779291564284	-2037.4779291564284	-2037.4779291564284	-2037.4779291564284	-2037.4779291564284,-2037.4779291564284	0.9960270797844731	-2037.4779291564284	2	true	135
27	15	15	17	4303	15504	124032	0	0	-2034.9654586329175	-2034.9654586329175	-2034.9654586329175	-2034.9654586329175	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2034.9654586329175,-2034.9654586329175	0.9960270797844731	-2034.9654586329175	2	true	51
28	16	16	12	2956	10944	87552	0	0	-2031.4455521329053	-2031.4455521329053	-2031.4455521329053	-2031.4455521329053	-Infinity,-2034.688185691708,-2034.688185691708,-2032.8740958340359,-2031.794683561048,-2032.1239312437308,-2032.1239312437308,-2032.2464580790281,-2032.2464580790281,-2032.2464580790281,-2031.4455521329053,-2031.4455521329053	0.995805594344244	-2031.4455521329053	0	true	49
29	16	16	22	5217	20064	160512	0	0	-1138.5987304964608	-1138.5987304964608	-1138.5987304964608	-1138.5987304964608	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1238.1160946781595,-1236.840816837355,-1138.950037617119,-1138.5987304964608,-1138.5987304964608	0.9954268136656409	-1138.5987304964608	0	true	48
30	18	18	18	4107	16416	131328	0	0	-1129.7491090989488	-1129.7491090989488	-1129.7491090989488	-1129.7491090989488	-Infinity,-Infinity,-1132.2572103219973,-1132.2572103219973,-1132.2572103219973,-1131.7898662233238,-1131.7898662233238,-1131.7898662233238,-1131.7898662233238,-1130.7719657294379,-1130.7719657294379,-1130.7719657294379,-1130.7719657294379,-1130.7719657294379,-1129.8990925908988,-1129.8990925908988,-1129.7491090989488,-1129.7491090989488	0.9952702129681755	-1129.7491090989488	0	true	58
31	18	18	22	4685	20064	160512	0	0	-1132.4633371650777	-1132.4633371650777	-1132.4633371650777	-1132.4633371650777	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1132.4633371650777,-1132.4633371650777	0.9949686359947655	-1132.4633371650777	0	true	43
32	18	18	20	4029	18240	145920	0	0	-836.9703463468139	-836.9703463468139	-836.9703463468139	-836.9703463468139	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-936.2941724476821,-936.2941724476821,-936.2941724476821,-936.2941724476821,-936.2941724476821,-936.2941724476821,-936.2941724476821,-836.9703463468139,-836.9703463468139	0.9947478816502295	-836.9703463468139	0	true	40
33	19	19	21	4116	19152	153216	0	0	-834.052550605429	-834.052550605429	-834.052550605429	-834.052550605429	-835.6758357054779,-835.1598698584772,-835.1598698584772,-835.1598698584772,-835.1598698584772,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.0526058218937,-834.052550605429,-834.052550605429	0.9941695118474059	-834.052550605429	0	true	39
34	21	20	23	4373	20976	167808	0	0	-834.3750752054951	-834.3750752054951	-834.3750752054951	-834.3750752054951	-Infinity,-Infinity,-835.7395276635907,-835.7395276635907,-835.7394880157705,-835.7394880157705,-835.0646246280221,-835.0646246280221,-835.0646246280221,-835.0646246280221,-835.0646246280221,-835.0646246280221,-835.0646246280221,-834.3813094246957,-834.3813094246957,-834.3813094246957,-834.3813094246957,-834.3813094246957,-834.3813094246957,-834.3813094246957,-834.3813094246957,-834.3750752054951,-834.3750752054951	0.9935924580168298	-834.3750752054951	0	true	43
35	22	22	7	1321	6384	51072	0	0	-829.9442419867613	-829.9442419867613	-829.9442419867613	-829.9442419867613	-Infinity,-Infinity,-Infinity,-Infinity,-831.5834685784866,-829.9442419867613,-829.9442419867613	0.9933979500076767	-829.9442419867613	0	true	36
36	25	25	22	3756	20064	160512	0	0	-724.8995556639645	-724.8995556639645	-724.8995556639645	-724.8995556639645	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-727.0644455633765,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-726.099242632107,-724.8995556639645,-724.8995556639645	0.9924412381836659	-724.8995556639645	0	true	46
37	26	26	8	1316	7296	58368	0	0	-723.4175378044097	-723.4175378044097	-723.4175378044097	-723.4175378044097	-Infinity,-Infinity,-Infinity,-724.2695799533439,-724.2695799533439,-724.2695799533439,-723.4175378044097,-723.4175378044097	0.9920515276244505	-723.4175378044097	0	true	41
38	27	27	29	4708	26448	211584	0	0	-721.2895723651623	-721.2895723651623	-721.2895723651623	-721.2895723651623	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-722.0927482608213,-721.2895723651623,-721.2895723651623	0.9914139390704847	-721.2895723651623	0	true	58
39	28	28	8	1240	7296	58368	0	0	-720.3657354024126	-720.3657354024126	-720.3657354024126	-720.3657354024126	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-770.3657317977566,-720.3657354024126,-720.3657354024126	0.9911454807319727	-720.3657354024126	0	true	34
40	30	29	8	1203	7296	58368	0	0	-719.9684412932218	-719.9684412932218	-719.9684412932218	-719.9684412932218	-Infinity,-Infinity,-770.625809515365,-720.3380103134003,-720.3380103134003,-720.3380103134003,-719.9684412932218,-719.9684412932218	0.9909897573493393	-719.9684412932218	0	true	34
