# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 28
# run: c8750077-0e38-4a2d-bc7a-1fe4bbc04bda
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	41	20404	70602	564816	0	0	-93.17329525996792	-93.17329525996792	-93.17329525996792	-93.17329525996792	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-97.08439216879299,-97.08439216879299,-97.08439216879299,-97.08439216879299,-97.0133593758577,-97.0133593758577,-97.0133593758577,-97.0133593758577,-97.0133593758577,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-95.06992529116053,-94.05784917070217,-94.22723698519678,-93.17329525996792,-93.17329525996792	0.9961066961054532	-93.17329525996792	1	true	1187
26	15	15	1	482	1722	13776	0	0	-87.42643662186609	-87.42643662186609	-87.42643662186609	-87.42643662186609	-87.42643662186609	0.9960270797844731	-87.42643662186609	1	true	176
27	15	15	4	1863	6888	55104	0	0	-34.97213983337633	-34.97213983337633	-34.97213983337633	-34.97213983337633	-Infinity,-Infinity,-34.97213983337633,-34.97213983337633	0.9960270797844731	-34.97213983337633	1	true	143
28	16	16	12	5700	20664	165312	0	0	-32.861915034665834	-32.861915034665834	-32.861915034665834	-32.861915034665834	-33.56597981063829,-33.56597981063829,-33.56597981063829,-33.56597981063829,-35.38431019213602,-34.746246689082945,-34.746246689082945,-34.746246689082945,-34.746246689082945,-34.746246689082945,-32.861915034665834,-32.861915034665834	0.995805594344244	-32.861915034665834	0	true	282
29	16	16	5	2364	8610	68880	0	0	-33.96822417523852	-33.96822417523852	-33.96822417523852	-33.96822417523852	-Infinity,-Infinity,-Infinity,-33.96822417523852,-33.96822417523852	0.9954268136656409	-33.96822417523852	0	true	152
30	17	17	8	3703	13776	110208	0	0	69.70745772205821	69.70745772205821	69.70745772205821	69.70745772205821	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,68.89821439880744,69.70745772205821,69.70745772205821	0.9952876130456717	69.70745772205821	0	true	171
31	18	18	13	5927	22386	179088	0	0	72.70343345143478	72.70343345143478	72.70343345143478	72.70343345143478	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,72.70343345143478,72.70343345143478	0.9952147228050682	72.70343345143478	0	true	187
32	18	18	21	9232	36162	289296	0	0	69.90301051127922	69.90301051127922	69.90301051127922	69.90301051127922	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,69.67476072183362,69.67476072183362,69.67476072183362,69.67476072183362,69.67476072183362,69.67476072183362,69.67476072183362,67.74229614792235,67.74229614792235,67.74229614792235,67.92650055921078,69.90301051127922,69.90301051127922	0.9949686359947655	69.90301051127922	0	true	292
33	18	17	5	2135	8610	68880	0	0	64.29118112250099	64.29118112250099	64.29118112250099	64.29118112250099	64.25341097422586,64.25341097422586,64.25341097422586,64.29118112250099,64.29118112250099	0.9946114591938942	64.29118112250099	1	true	90
34	21	20	15	6852	25830	206640	0	0	62.70847236541735	62.70847236541735	62.70847236541735	62.70847236541735	54.37284308192514,56.6250112475598,56.138796820281456,57.3364374309388,57.3364374309388,57.3364374309388,60.65251395440994,60.77534974258988,60.775372035401766,61.38938558940532,61.38938558940532,61.38938558940532,61.38938558940532,62.70847236541735,62.70847236541735	0.9936125265936061	62.70847236541735	0	true	195
