# solver: Greedy
# max_time: 300000
# main_solver: Greedy
# random.seed: 3
# run: c8de1357-0d6c-4eeb-b0af-bbbcf016d6aa
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	1	0	0	0	0	0	-1369.1712755228186	-1369.1712755228186	-1167.0862966533207	-1167.0862966533207	-1369.1712755228186	0.9968457241868389	-1369.1712755228186	3	true	166
26	15	15	1	0	0	0	0	0	-1364.508616988586	-1364.508616988586	-1161.8062528731787	-1161.8062528731787	-1364.508616988586	0.9964541127788218	-1364.508616988586	3	true	14
27	15	15	1	0	0	0	0	0	-1363.3069723058238	-1363.3069723058238	-1160.5159810866705	-1160.5159810866705	-1363.3069723058238	0.9960270797844731	-1363.3069723058238	3	true	11
28	15	15	1	0	0	0	0	0	-1362.2593771210963	-1362.2593771210963	-1159.351541598326	-1159.351541598326	-1362.2593771210963	0.9960270797844731	-1362.2593771210963	3	true	8
29	15	15	1	0	0	0	0	0	-1411.3890854006663	-1411.3890854006663	-1158.3723194574081	-1158.3723194574081	-1411.3890854006663	0.9960270797844731	-1411.3890854006663	3	true	9
30	16	16	1	0	0	0	0	0	-1409.6421897695368	-1409.6421897695368	-1157.8426226213253	-1157.8426226213253	-1409.6421897695368	0.9956367112391343	-1409.6421897695368	2	true	10
31	16	15	1	0	0	0	0	0	-1364.4445401165606	-1364.4445401165606	-1159.4472512479704	-1159.4472512479704	-1364.4445401165606	0.99547682061105	-1364.4445401165606	4	true	11
32	18	17	1	0	0	0	0	0	-1363.5134427087576	-1363.5134427087576	-1157.0387990906574	-1157.0387990906574	-1363.5134427087576	0.9953202199135847	-1363.5134427087576	4	true	8
33	18	17	1	0	0	0	0	0	-1363.255074854261	-1363.255074854261	-1156.82688856419	-1156.82688856419	-1363.255074854261	0.9950186429401746	-1363.255074854261	4	true	8
34	18	18	1	0	0	0	0	0	-1413.3961634645611	-1413.3961634645611	-1058.1287451347846	-1058.1287451347846	-1413.3961634645611	0.9948311168948906	-1413.3961634645611	4	true	8
35	18	18	1	0	0	0	0	0	-1413.0599150710757	-1413.0599150710757	-1057.7189253338515	-1057.7189253338515	-1413.0599150710757	0.9944764623741603	-1413.0599150710757	4	true	8
36	20	20	1	0	0	0	0	0	-1421.9981871394066	-1421.9981871394066	-1057.8767634427716	-1057.8767634427716	-1421.9981871394066	0.9937073862597878	-1421.9981871394066	6	true	8
37	22	22	1	0	0	0	0	0	-1370.551727191393	-1370.551727191393	-1056.5299285876567	-1056.5299285876567	-1370.551727191393	0.993481185252338	-1370.551727191393	6	true	7
38	22	21	1	0	0	0	0	0	-1173.1551463552878	-1173.1551463552878	-1056.989555418489	-1056.989555418489	-1173.1551463552878	0.9934049685263305	-1173.1551463552878	7	true	7
39	25	25	1	0	0	0	0	0	-1084.2373661243205	-1084.2373661243205	-1056.8680104889122	-1056.8680104889122	-1084.2373661243205	0.9926065023650945	-1084.2373661243205	9	true	8
40	26	26	1	0	0	0	0	0	-1081.0127962790848	-1081.0127962790848	-1056.9395087218873	-1056.9395087218873	-1081.0127962790848	0.9917047323824213	-1081.0127962790848	8	true	7
41	27	27	1	0	0	0	0	0	-1079.925138012599	-1079.925138012599	-460.7877186178727	-460.7877186178727	-1079.925138012599	0.9913530387992483	-1079.925138012599	8	true	7
42	28	28	1	0	0	0	0	0	-1079.55535898948	-1079.55535898948	-460.132051294302	-460.132051294302	-1079.55535898948	0.9912076238658876	-1079.55535898948	8	true	7
43	29	29	1	0	0	0	0	0	-1079.2801085038213	-1079.2801085038213	-459.72935458403583	-459.72935458403583	-1079.2801085038213	0.9911927095137482	-1079.2801085038213	8	true	7
44	30	30	1	0	0	0	0	0	-1079.0415815700815	-1079.0415815700815	-459.3494523793227	-459.3494523793227	-1079.0415815700815	0.9906858774244959	-1079.0415815700815	8	true	7
45	31	30	1	0	0	0	0	0	-1083.3658674344638	-1083.3658674344638	-459.64953638128236	-459.64953638128236	-1083.3658674344638	0.9906382099853048	-1083.3658674344638	9	true	8
46	32	31	1	0	0	0	0	0	-1082.0457171838775	-1082.0457171838775	-458.5316953621882	-458.5316953621882	-1082.0457171838775	0.9906257813585219	-1082.0457171838775	9	true	8
47	33	32	1	0	0	0	0	0	-1081.9929807304788	-1081.9929807304788	-458.89676564665484	-458.89676564665484	-1081.9929807304788	0.9905131926217823	-1081.9929807304788	9	true	8
48	34	33	1	0	0	0	0	0	-Infinity	-Infinity	-1081.9908389342627	-1081.9908389342627	-Infinity	0.9901612066003318	-Infinity	9	true	5
49	37	37	1	0	0	0	0	0	-Infinity	-Infinity	-1073.8768898561857	-1073.8768898561857	-Infinity	0.9892018993866104	-Infinity	6	true	4
