# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 30
# run: c9eb62b1-eaf3-4c4a-8e35-8420d1291e1e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	82200	331848	2654784	0	0	-381.8768751647948	-381.8768751647948	-79.03163874170133	-79.03163874170133	-1169.1426927481414,-1169.1426927481414,-1169.1426927481414,-969.1431208087726,-969.1431639176919,-969.1431639176919,-970.453474221672,-974.5228533795175,-974.5229864713909,-974.5229864713909,-974.5229864713909,-974.5229864713909,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-674.6715948743216,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-974.6717156971388,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-674.6717865272743,-777.616563351887,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.0866069371418,-883.086713139063,-883.086713139063,-883.086713139063,-883.086713139063,-883.086713139063,-883.086713139063,-873.3841674987076,-868.0985178668301,-868.0985178668301,-868.0985178668301,-868.97209995126,-868.97209995126,-868.97209995126,-868.97209995126,-868.97209995126,-771.9161992760371,-676.9382356608749,-581.1872309638203,-381.8768751647948,-381.8768751647948,-381.8768751647948,-381.8768751647948,-381.8768751647948,-381.8768751647948	0.9960270797844731	-381.8768751647948	5	true	1552
26	15	15	100	77000	330660	2645280	0	0	-377.695066571565	-377.695066571565	-76.26995171735553	-76.26995171735553	-1167.167012531511,-1167.167012531511,-1167.167012531511,-667.1673490163956,-667.1673802026821,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-667.1674170484424,-472.710099592724,-472.710099592724,-472.710099592724,-472.710099592724,-472.710099592724,-472.710099592724,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565,-377.695066571565	0.9960270797844731	-377.695066571565	5	true	509
27	15	15	100	78400	330660	2645280	0	0	-376.6472900831674	-376.6472900831674	-75.20264584458573	-75.20264584458573	-666.0552572735143,-666.0552572735143,-666.0552572735143,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-666.0555096607867,-469.524807763483,-469.524807763483,-471.66246197189844,-471.66246197189844,-471.66246197189844,-471.66246197189844,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674,-376.6472900831674	0.9960270797844731	-376.6472900831674	5	true	475
28	16	16	100	83400	340164	2721312	0	0	-Infinity	-216.56883992044715	-Infinity	-58.342764343612096	-667.0303401351674,-667.0303401351674,-667.0303401351674,-667.0304851630589,-667.0304851630589,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-667.0309395151918,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-717.0312512813074,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-617.0316517597894,-615.0632745796364,-615.0632745796364,-615.0632745796364,-615.0726433849476,-615.0726433849476,-715.0723989612892,-715.0723989612892,-715.0723989612892,-715.0723989612892,-615.0721923697437,-315.0721709870176,-315.0721709870176,-315.0721709870176,-315.0721709870176,-316.56845850040423,-316.56845850040423,-316.56845850040423,-316.56845850040423,-316.56845850040423,-216.56883992044715,-220.79887766838826,-220.79887766838826,-220.79887766838826,-222.7895088630772,-218.5594711151361,-218.5594711151361,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9956692815522626	-216.56883992044715	3	true	519
29	16	16	100	85000	340164	2721312	0	0	-Infinity	-314.03834979170233	-61.01600633516503	-8.019857871759502	-667.1957634529982,-667.1957634529982,-667.1957634529982,-667.195895940811,-667.195895940811,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-667.1961421679777,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-717.1964744974454,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-417.1965116960515,-414.03854135801276,-414.03854135801276,-414.03854135801276,-414.03854135801276,-314.03834979170233,-314.03834979170233,-314.03834979170233,-314.03834979170233,-314.03834979170233,-314.03834979170233,-315.5350992515548,-315.5350992515548,-315.5350992515548,-315.5350992515548,-315.5350992515548,-415.53584215084203,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-314.03834979170233	3	true	471
30	18	18	100	87800	362340	2898720	0	0	-363.2881155799488	-363.2881155799488	-7.329816828136752	-7.329816828136752	-666.3574052464479,-666.3574052464479,-666.3574052464479,-666.3574052464479,-666.3574052464479,-666.3574804679245,-666.3574804679245,-666.3574804679245,-666.3574804679245,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-366.357643630114,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488,-363.2881155799488	0.9952147228050682	-363.2881155799488	3	true	808
31	18	18	100	80600	344124	2752992	0	0	-369.79947449693856	-369.79947449693856	-58.143135295194554	-58.143135295194554	-671.891199750929,-671.891199750929,-671.891199750929,-671.8913034672642,-671.8913034672642,-371.8913918584026,-371.8913918584026,-376.57898370096643,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57901223448937,-376.57898370096643,-376.57898370096643,-376.57898370096643,-376.57898370096643,-376.57898370096643,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.6474457354031,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-482.64754133161097,-376.5790792971743,-376.5790792971743,-376.5790792971743,-376.5790792971743,-376.5790792971743,-376.5790792971743,-376.5790792971743,-376.5790792971743,-376.5790792971743,-376.5790792971743,-373.3197578422241,-373.3197578422241,-373.3197578422241,-373.3197578422241,-373.3197578422241,-373.3197578422241,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-373.5993607935264,-369.79947449693856,-369.79947449693856,-369.79947449693856,-369.79947449693856,-369.79947449693856,-369.79947449693856,-369.79947449693856,-369.79947449693856	0.9949686359947655	-369.79947449693856	4	true	523
32	18	18	100	73000	339768	2718144	0	0	-267.39627352777103	-66.1274275696737	-8.32864578006856	-7.339573772329487	-176.60896816397144,-176.60896816397144,-176.60896816397144,-176.60938292822857,-176.60938292822857,-76.60945147120746,-76.60945147120746,-76.60945147120746,-76.60945147120746,-76.60945147120746,-79.93715215222765,-79.93715215222765,-79.93715215222765,-79.93715215222765,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-79.9372448074618,-77.93771411940554,-77.93771411940554,-77.93771411940554,-77.93771411940554,-77.93771411940554,-276.02255354058616,-276.02255354058616,-274.6182202965025,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-275.2872845964797,-274.1004762325412,-280.16878743946717,-280.16878743946717,-280.16878743946717,-280.16878743946717,-280.16878743946717,-280.16878743946717,-180.16869478423303,-179.76850642255965,-179.76850642255965,-73.70019521563367,-73.70019521563367,-73.70019521563367,-73.70019521563367,-73.70019521563367,-73.70019521563367,-73.70019521563367,-73.70019521563367,-73.70019521563367,-71.9835291911407,-71.9835291911407,-71.9835291911407,-68.18072380032463,-68.18072380032463,-68.18072380032463,-68.10429262799707,-68.10429262799707,-68.10429262799707,-68.10429262799707,-70.82767410842588,-70.82767410842588,-70.82767410842588,-70.82767410842588,-70.82767410842588,-66.1274275696737,-66.1274275696737,-169.02922795110186,-169.02922795110186,-169.02922795110186,-166.46859749510546,-267.39627352777103,-267.39627352777103,-267.39627352777103,-267.39627352777103,-267.39627352777103,-267.39627352777103,-267.39627352777103,-267.39627352777103,-267.39627352777103,-267.39627352777103	0.9945946805477371	-66.1274275696737	2	true	780
33	19	19	100	73800	349668	2797344	0	0	23.25458332866681	33.19393921051802	39.99600840064349	40.03807742908372	-74.3925386571464,-74.3925386571464,-74.3925386571464,25.606998064833697,25.606998064833697,25.606908460404682,25.606908460404682,25.606908460404682,25.606908460404682,25.606908460404682,25.606908460404682,25.606846262185,25.606846262185,25.606846262185,25.606846262185,25.606846262185,22.12942294400557,22.12942294400557,22.12942294400557,22.12942294400557,22.12942294400557,22.129066766759102,22.129066766759102,22.129066766759102,22.129066766759102,22.129066766759102,22.129066766759102,22.129066766759102,22.129066766759102,22.129066766759102,-176.13429467470056,-176.13429467470056,-376.43956115909486,-475.22236835515383,-475.22236835515383,-475.22236835515383,-475.22236835515383,-475.22236835515383,-475.22236835515383,-475.22236835515383,-475.22236835515383,-475.22236835515383,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-471.95943207113305,-474.0361047140504,-474.0361047140504,-472.8176416836784,-272.817492577317,-272.8179632426844,-274.41827204535355,-274.41827204535355,-274.41780137998614,-274.41780137998614,-274.41780137998614,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-274.4179337050665,-269.60080646073277,-Infinity,-Infinity,-269.6010666619329,-269.6010666619329,-266.4709124396761,-264.1164665035299,-264.1164665035299,-264.1164665035299,-263.8495384368391,-164.6079930299337,33.19393921051802,33.19393921051802,33.19393921051802,33.19393921051802,33.19393921051802,33.19393921051802,30.4948726814266,30.4948726814266,21.93393003832898,22.987655261976037,22.987655261976037,22.987655261976037,22.987655261976037,23.25458332866681,23.25458332866681	0.9941695118474059	33.19393921051802	2	true	525
34	23	23	100	76800	393624	3148992	0	0	-585.0082935835607	-82.70081241597644	26.09722092609116	30.56198909768784	-Infinity,-Infinity,-Infinity,-84.68180657547249,-84.68180657547249,-84.68180657547249,-84.68180657547249,-84.68180657547249,-84.68180657547249,-84.68180657547249,-84.68180657547249,-84.68183229171252,-84.68183229171252,-84.68183229171252,-84.68183229171252,-84.68183229171252,-84.68183229171252,-84.68183229171252,-84.68183229171252,-84.70032953360787,-84.70032953360787,-84.70032953360787,-84.70032953360787,-84.70032953360787,-84.70032953360787,-82.70081241597644,-82.70081241597644,-82.70081241597644,-82.70081241597644,-82.70081241597644,-82.70081241597644,-82.70081241597644,-271.8485448829146,-472.89041101786444,-571.8571671982946,-571.8571671982946,-572.8802555935064,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-573.9087766403001,-574.7091774781503,-574.7091774781503,-574.7091774781503,-574.7091774781503,-574.7091774781503,-571.4971894377227,-571.4971894377227,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6620797108842,-569.6769537067827,-569.6769537067827,-569.6769537067827,-569.6769537067827,-569.6769537067827,-569.6769537067827,-569.6769537067827,-571.6481555333542,-574.8989837655104,-574.8989837655104,-574.8989837655104,-573.430178303814,-580.624819543218,-585.0082935835607,-585.0082935835607,-585.0082935835607,-585.0082935835607,-585.0082935835607,-585.0082935835607	0.9931903919404012	-82.70081241597644	5	true	480
