# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 13
# run: cadaf606-a038-4a41-943d-088e67f8f57a
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	54400	323730	2589840	0	0	-1657.3431261914002	-1656.0304711756273	-1652.048295399132	-1652.0462757722657	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1665.7079494791678,-1662.4382677792898,-1663.2170156898387,-1663.2170156898387,-1665.8595899904014,-1665.8595899904014,-1665.8595899904014,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1661.2741208671102,-1657.274636482457,-1657.274636482457,-1657.274636482457,-1656.0304711756273,-1656.0304711756273,-1656.0304711756273,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002,-1657.3431261914002	0.9960270797844731	-1656.0304711756273	3	true	882
26	15	15	100	54200	321750	2574000	0	0	-1648.2050265431767	-1647.9212882352274	-1646.430806643565	-1646.4870535793495	-Infinity,-Infinity,-Infinity,-Infinity,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1649.7091058023987,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1647.9212882352274,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767,-1648.2050265431767	0.9960270797844731	-1647.9212882352274	2	true	445
27	16	16	100	51200	316008	2528064	0	0	-1644.59373574065	-1644.3434203738855	-1643.5559924012998	-1643.6063213774944	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.054987691387,-1646.342437411065,-1646.342437411065,-1646.342437411065,-1646.342437411065,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1647.870784420921,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.3434203738855,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065,-1644.59373574065	0.9958381646573722	-1644.3434203738855	1	true	282
28	16	16	100	51000	314028	2512224	0	0	-1645.706172532662	-1645.706172532662	-1644.2454558248614	-1644.2454558248614	-Infinity,-Infinity,-Infinity,-1652.2074098531302,-1652.2074098531302,-1652.2497427469998,-1650.3361529171086,-1652.3869831717561,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1648.4737273238184,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662,-1645.706172532662	0.9955956967707507	-1645.706172532662	2	true	383
29	17	17	100	47800	306306	2450448	0	0	-1643.765703983054	-1643.4914478952026	-1641.0703430623728	-1642.0437204355069	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.4914478952026,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054,-1643.765703983054	0.9952876130456717	-1643.4914478952026	2	true	279
30	18	18	100	47200	304524	2436192	0	0	-853.5650677650532	-853.5650677650532	-847.7258101679279	-847.7258101679279	-873.8495312035647,-873.8495312035647,-873.8495312035647,-873.8495312035647,-867.9862760668132,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-862.9405906189847,-859.7188145928116,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-858.2657337604314,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-855.2629783325816,-853.5650677650532,-853.5650677650532,-853.5650677650532	0.9952702129681755	-853.5650677650532	3	true	247
31	18	18	100	46200	294624	2356992	0	0	-660.3674895435367	-659.0305887436336	-650.2561693101069	-650.7324505052078	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-664.0740943564789,-664.0740943564789,-664.0740943564789,-664.0740943564789,-664.0740943564789,-664.0740943564789,-660.9117193850091,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-659.0305887436336,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367,-660.3674895435367	0.9948854007501045	-659.0305887436336	5	true	242
32	18	18	100	43600	288684	2309472	0	0	-664.2263840182185	-662.9223856083013	-652.7747412422265	-652.7747412422265	-664.1818401454674,-664.1818401454674,-664.1818401454674,-664.1818401454674,-664.1818401454674,-662.9223856083013,-662.9223856083013,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185,-664.2263840182185	0.9947478816502295	-662.9223856083013	7	true	235
33	21	20	100	42800	289080	2312640	0	0	-654.4076753428333	-653.9766144507831	-649.2228209200576	-649.4815403082517	-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-662.1599630068032,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.1601763546887,-660.3246716206055,-660.3246716206055,-660.3246716206055,-660.3246716206055,-660.3246716206055,-660.3246716206055,-660.3246716206055,-657.3750998037469,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-657.7037863638855,-655.976099501089,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-653.9766144507831,-654.4076753428333,-654.4076753428333	0.9938441742639696	-653.9766144507831	4	true	357
34	23	22	100	68198	295416	2363328	0	0	-646.8508071315117	-646.8508071315117	-645.600716605541	-645.600716605541	-662.2268641895797,-662.2268641895797,-658.2273578467374,-658.2273578467374,-658.2666370486022,-660.3421412794677,-660.3421412794677,-660.3421412794677,-660.3421412794677,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-658.4716538409866,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-651.3505371421546,-648.4564376670115,-648.4564376670115,-648.4564376670115,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117,-646.8508071315117	0.9932453337817388	-646.8508071315117	1	true	243
