# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 30
# run: cd434f66-ff28-4d88-aa0b-0493be541d11
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	29	7667	14790	118320	0	0	-1654.035310353698	-1654.035310353698	-1654.035310353698	-1654.035310353698	-Infinity,-Infinity,-Infinity,-1755.908662635179,-1755.908662635179,-1754.9899311029776,-1754.9899311029776,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1753.969713608014,-1656.0009424170041,-1655.0216080184493,-1655.0216080184493,-1654.035310353698,-1654.035310353698	0.9960270797844731	-1654.035310353698	1	true	490
26	15	15	12	3155	6120	48960	0	0	-1647.8715128489353	-1647.8715128489353	-1647.8715128489353	-1647.8715128489353	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.8715128489353,-1647.8715128489353	0.9960270797844731	-1647.8715128489353	1	true	34
27	15	15	6	1530	3060	24480	0	0	-1646.2450806326572	-1646.2450806326572	-1646.2450806326572	-1646.2450806326572	-Infinity,-Infinity,-Infinity,-Infinity,-1646.2450806326572,-1646.2450806326572	0.9960270797844731	-1646.2450806326572	1	true	29
28	16	16	28	7009	14280	114240	0	0	-1644.8736510276137	-1644.8736510276137	-1644.8736510276137	-1644.8736510276137	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1648.8884965480333,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1648.8326810154495,-1645.7719031629676,-1645.7719031629676,-1645.7719031629676,-1645.7719031629676,-1645.7719031629676,-1645.7719031629676,-1645.7719031629676,-1645.7719031629676,-1644.8736510276137,-1644.8736510276137	0.9956692815522626	-1644.8736510276137	0	true	38
29	16	16	33	7922	16830	134640	0	0	-853.4838857657714	-853.4838857657714	-853.4838857657714	-853.4838857657714	-1200.480490912697,-1200.480490912697,-1052.594205163406,-1052.594205163406,-1052.594205163406,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-953.6250071896467,-855.7028008426239,-855.7028008426239,-855.7028008426239,-855.7028008426239,-855.7028008426239,-855.7028008426239,-855.7028008426239,-854.885060574835,-854.885060574835,-854.885060574835,-854.885060574835,-854.885060574835,-854.885060574835,-853.4838857657714,-853.4838857657714	0.9954268136656409	-853.4838857657714	0	true	37
30	18	18	16	3840	8160	65280	0	0	-849.8801566698608	-849.8801566698608	-849.8801566698608	-849.8801566698608	-853.1348429899232,-852.0328307054054,-852.0328307054054,-852.0328307054054,-851.1451641797113,-851.1451641797113,-851.1451641797113,-851.1451641797113,-851.1451641797113,-850.8476627324053,-850.8476627324053,-850.8476627324053,-850.8476627324053,-850.8476627324053,-849.8801566698608,-849.8801566698608	0.9952147228050682	-849.8801566698608	0	true	27
31	18	18	7	1611	3570	28560	0	0	-850.7490459061273	-850.7490459061273	-850.7490459061273	-850.7490459061273	-851.2769670869039,-851.1210297161427,-851.1210297161427,-851.1210297161427,-851.1210297161427,-850.7490459061273,-850.7490459061273	0.9949686359947655	-850.7490459061273	0	true	22
32	18	18	18	3888	9180	73440	0	0	-651.180194909383	-651.180194909383	-651.180194909383	-651.180194909383	-756.3524583146768,-753.4579696025799,-753.4579696025799,-753.4579696025799,-752.6535970767105,-653.3562444020473,-653.3562444020473,-653.3562444020473,-652.0750518837714,-652.0750518837714,-652.0750518837714,-652.0750518837714,-652.0750518837714,-652.0750518837714,-652.0750518837714,-652.0750518837714,-651.180194909383,-651.180194909383	0.9946779157923984	-651.180194909383	0	true	35
33	19	19	12	2496	6120	48960	0	0	-651.6671998723767	-651.6671998723767	-651.6671998723767	-651.6671998723767	-655.6534942043104,-655.6534942043104,-655.6534942043104,-655.6534942043104,-654.5208540946481,-653.74160681589,-653.74160681589,-651.9563663338505,-651.9563663338505,-651.9563663338505,-651.6671998723767,-651.6671998723767	0.9941695118474059	-651.6671998723767	2	true	25
34	22	22	21	4326	10710	85680	0	0	-646.0656525025541	-646.0656525025541	-646.0656525025541	-646.0656525025541	-654.8637113141441,-654.8637113141441,-651.2913498938381,-651.0383256243744,-651.0383256243744,-650.962506816243,-650.962506816243,-650.962506816243,-650.962506816243,-650.962506816243,-648.5929872768121,-647.8856384633499,-647.8856384633499,-647.8856384633499,-647.8856384633499,-646.7369910502224,-646.7369910502224,-646.7369910502224,-646.7369910502224,-646.0656525025541,-646.0656525025541	0.9933979500076767	-646.0656525025541	0	true	27
35	22	22	6	1217	3060	24480	0	0	-643.0825698705618	-643.0825698705618	-643.0825698705618	-643.0825698705618	-Infinity,-Infinity,-Infinity,-Infinity,-643.0825698705618,-643.0825698705618	0.9932990327603982	-643.0825698705618	0	true	23
36	24	24	22	4312	11220	89760	0	0	-643.8931140549861	-643.8931140549861	-643.8931140549861	-643.8931140549861	-648.9684459595659,-648.3798137084597,-645.3792197285524,-645.3792197285524,-645.3792197285524,-645.3792197285524,-645.3792197285524,-645.014856632342,-645.014856632342,-645.014856632342,-645.014856632342,-645.014856632342,-645.014856632342,-645.014856632342,-645.014856632342,-645.014856632342,-644.8959884129243,-644.8959884129243,-644.8959884129243,-644.8959884129243,-643.8931140549861,-643.8931140549861	0.9925691799299609	-643.8931140549861	0	true	87
37	27	27	36	6912	18360	146880	0	0	-640.1515270339875	-640.1515270339875	-640.1515270339875	-640.1515270339875	-642.4247660527795,-641.5431160703187,-641.096400463381,-641.096400463381,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.5848035708681,-640.1515270339875,-640.1515270339875	0.9921068350136348	-640.1515270339875	0	true	37
38	29	29	5	930	2550	20400	0	0	-639.3728494370871	-639.3728494370871	-639.3728494370871	-639.3728494370871	-640.1589194225893,-639.9939367293313,-639.8202643043923,-639.3728494370871,-639.3728494370871	0.9910162230134301	-639.3728494370871	0	true	21
39	29	29	1	184	510	4080	0	0	-637.7959242866235	-637.7959242866235	-637.7959242866235	-637.7959242866235	-637.7959242866235	0.9910162230134301	-637.7959242866235	0	true	19
40	31	31	4	716	2040	16320	0	0	-637.0251819964219	-637.0251819964219	-637.0251819964219	-637.0251819964219	-Infinity,-Infinity,-637.0251819964219,-637.0251819964219	0.9908558937279299	-637.0251819964219	0	true	25
41	31	31	1	172	510	4080	0	0	-438.6069411566829	-438.6069411566829	-438.6069411566829	-438.6069411566829	-438.6069411566829	0.990294960557387	-438.6069411566829	0	true	19
42	32	32	3	510	1530	12240	0	0	-437.2294049030396	-437.2294049030396	-437.2294049030396	-437.2294049030396	-438.0479392652498,-437.2294049030396,-437.2294049030396	0.9902104458952629	-437.2294049030396	0	true	19
43	33	33	9	1512	4590	36720	0	0	-435.5291786179403	-435.5291786179403	-435.5291786179403	-435.5291786179403	-436.2578164597733,-436.2578164597733,-436.2578164597733,-436.2578164597733,-436.2578164597733,-436.2578164597733,-436.2578164597733,-435.5291786179403,-435.5291786179403	0.9900076033952081	-435.5291786179403	0	true	22
44	36	36	12	1968	6120	48960	0	0	-486.28639955762105	-486.28639955762105	-486.28639955762105	-486.28639955762105	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-486.28639955762105,-486.28639955762105	0.9892073094947397	-486.28639955762105	0	true	29
45	37	37	20	3360	10200	81600	0	0	-434.89601933713567	-434.89601933713567	-434.89601933713567	-434.89601933713567	-Infinity,-Infinity,-Infinity,-Infinity,-484.98342268120103,-434.9834924990593,-434.9834924990593,-434.9834924990593,-434.9834924990593,-434.9834924990593,-434.9468332723288,-434.9468332723288,-434.9468332723288,-434.9468332723288,-434.9468332723288,-434.9468332723288,-434.9468332723288,-434.9468332723288,-434.89601933713567,-434.89601933713567	0.9891687807517123	-434.89601933713567	0	true	31
