# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 12
# run: cdb14ef5-8fb3-4bea-bb8a-b2efb8d93737
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	32	8511	45952	367616	0	0	-2492.9011207100834	-2492.9011207100834	-2492.9011207100834	-2492.9011207100834	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2593.0134418360212,-2593.0134418360212,-2593.0134418360212,-2592.0509331725098,-2592.0509331725098,-2592.0509331725098,-2592.0509331725098,-2592.0509331725098,-2592.0509331725098,-2590.7730127375753,-2590.7730127375753,-2590.5610418034084,-2590.5610418034084,-2590.5610418034084,-2590.5610418034084,-2590.5610418034084,-2590.5610418034084,-2590.5610418034084,-2493.868375403036,-2493.2052063134893,-2492.9011207100834,-2492.9011207100834	0.9963744964578416	-2492.9011207100834	4	true	608
26	15	15	20	5246	28720	229760	0	0	-2433.4070632601665	-2433.4070632601665	-2433.4070632601665	-2433.4070632601665	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2434.391019686398,-2433.4070632601665,-2433.4070632601665	0.9960270797844731	-2433.4070632601665	4	true	99
27	15	15	13	3304	18668	149344	0	0	-2479.9857182027513	-2479.9857182027513	-2479.9857182027513	-2479.9857182027513	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2479.9857182027513,-2479.9857182027513	0.9960270797844731	-2479.9857182027513	4	true	76
28	16	16	14	3427	20104	160832	0	0	-2475.512971586838	-2475.512971586838	-2475.512971586838	-2475.512971586838	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2478.408070369036,-2478.408070369036,-2476.3132736521798,-2476.3132736521798,-2475.512971586838,-2475.512971586838	0.995805594344244	-2475.512971586838	2	true	79
29	16	16	53	12130	76108	608864	0	0	-1431.4954977457182	-1431.4954977457182	-1431.4954977457182	-1431.4954977457182	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1433.5869562103799,-1433.5869562103799,-1433.5869562103799,-1433.5869562103799,-1433.5869562103799,-1433.5869562103799,-1433.5869562103799,-1433.5869562103799,-1433.5869562103799,-1432.5491587512636,-1432.5491587512636,-1432.5491587512636,-1432.5491587512636,-1432.5491587512636,-1432.5491587512636,-1432.5491587512636,-1431.7346913896456,-1431.7346913896456,-1431.7346913896456,-1431.7346913896456,-1431.7346913896456,-1431.4954977457182,-1431.4954977457182	0.9955956967707507	-1431.4954977457182	6	true	107
30	17	17	37	8232	53132	425056	0	0	-1030.9277373618547	-1030.9277373618547	-1030.9277373618547	-1030.9277373618547	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1128.3625679067468,-1128.3625679067468,-1128.3222086018718,-1128.3222086018718,-1128.3015110210406,-1128.3015110210406,-1031.0040492189785,-1031.0040492189785,-1031.0040492189785,-1031.0040492189785,-1031.0040492189785,-1031.0040492189785,-1031.0040492189785,-1031.0040492189785,-1031.0040492189785,-1030.991525300115,-1030.991525300115,-1030.991525300115,-1030.991525300115,-1030.991525300115,-1030.991525300115,-1030.9912197334118,-1030.9912197334118,-1030.9912197334118,-1030.9277373618547,-1030.9277373618547	0.9952876130456717	-1030.9277373618547	4	true	94
31	18	18	19	3842	27284	218272	0	0	-1025.319852613651	-1025.319852613651	-1025.319852613651	-1025.319852613651	-Infinity,-1076.2260219840282,-1076.2260219840282,-1076.2260219840282,-1076.2260219840282,-1076.2260219840282,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1075.3197734001456,-1025.319852613651,-1025.319852613651	0.9952702129681755	-1025.319852613651	3	true	87
32	18	18	36	6926	51696	413568	0	0	-628.1934776748676	-628.1934776748676	-628.1934776748676	-628.1934776748676	-Infinity,-Infinity,-Infinity,-Infinity,-726.9394048522045,-726.9394048522045,-726.9394048522045,-726.9394048522045,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-726.8980175696257,-628.5194784632043,-628.5194784632043,-628.2087255968822,-628.2087255968822,-628.1934776748676,-628.1934776748676	0.9949686359947655	-628.1934776748676	4	true	79
33	18	18	6	1140	8616	68928	0	0	-632.1238892172338	-632.1238892172338	-632.1238892172338	-632.1238892172338	-634.9232698426745,-637.5246519583844,-634.9418552646648,-633.0706168246695,-632.1238892172338,-632.1238892172338	0.9947478816502295	-632.1238892172338	3	true	47
34	21	21	16	3008	22976	183808	0	0	-620.705828903712	-620.705828903712	-620.705828903712	-620.705828903712	-625.6031747386462,-622.2757405169575,-622.2757405169575,-622.2757405169575,-621.9901837350513,-621.9901837350513,-621.9901837350513,-620.9642870875838,-620.9642870875838,-620.7097523053819,-620.7097523053819,-620.7097523053819,-620.7097523053819,-620.7097523053819,-620.705828903712,-620.705828903712	0.9939532537413823	-620.705828903712	1	true	64
