# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: d2967e8e-4a9a-44a5-88f7-c645d2861910
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	86200	1113156	8905248	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9968457241868389	-Infinity	30	false	3744
26	15	15	100	89000	1139688	9117504	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9963744964578416	-Infinity	30	false	1666
27	15	15	100	92600	1124244	8993952	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	30	false	2042
28	15	15	100	82459	1036332	8290656	0	0	-Infinity	-Infinity	-25.370203962898877	-25.370203962898877	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	26	false	2049
29	15	15	100	82394	965448	7723584	0	0	13.388146671786062	13.388146671786062	77.55200061907263	77.55200061907263	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1.6744538422480915,1.6744538422480915,1.6744538422480915,3.448622506321712,-3.3155216037545685,-8.381238582194818,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-23.40107668612007,-16.91660003123794,-16.91660003123794,-16.91660003123794,-10.48805711445398,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,-9.262752707006754,3.114482824480902,3.114482824480902,3.114482824480902,3.114482824480902,3.114482824480902,3.114482824480902,3.114482824480902,3.114482824480902,3.114482824480902,13.388146671786062	0.9959945094713449	13.388146671786062	24	false	2700
30	16	16	100	83748	958320	7666560	0	0	13.887666185085223	20.50623806950985	80.32369928725925	79.81881341857424	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,-4.187467181249177,2.3584251409715815,20.50623806950985,20.50623806950985,20.50623806950985,20.50623806950985,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,15.359202878904227,8.085577079463313,8.085577079463313,8.085577079463313,8.085577079463313,8.085577079463313,8.085577079463313,8.085577079463313,12.033819087888137,12.033819087888137,12.033819087888137,15.087787980322801,15.087787980322801,14.711008698648797,6.614040385644309,6.614040385644309,6.614040385644309,6.614040385644309,6.614040385644309,6.614040385644309,4.517899193884519,4.517899193884519,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,12.0730820441299,13.887666185085223,13.887666185085223,13.887666185085223,13.887666185085223,13.887666185085223	0.9954268136656409	20.50623806950985	24	false	2517
31	17	17	100	84638	893772	7150176	0	0	32.51176037016652	32.51176037016652	85.04302505832374	85.04302505832374	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,11.713506554093902,14.281124454669458,14.281124454669458,14.281124454669458,19.164844342177986,15.521110333709354,15.521110333709354,15.521110333709354,15.521110333709354,10.134273026366849,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,8.038908406104982,10.134273026366849,17.38730305175976,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,22.77414035910226,30.116397334850724,32.51176037016652	0.9952876130456717	32.51176037016652	24	false	2103
32	18	18	100	80493	823680	6589440	0	0	43.84201813491615	43.84201813491615	82.36631480627102	82.36631480627102	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,32.60099845859416,32.60099845859416,32.60099845859416,32.60099845859416,32.60099845859416,32.60099845859416,32.60099845859416,32.60099845859416,32.60099845859416,40.93447725767777,42.10395750172252,42.10395750172252,40.35584059638575,37.058812525358874,37.058812525358874,37.058812525358874,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,33.00171005896918,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,31.458057827776187,30.75302967742988,29.174106891394423,29.174106891394423,29.174106891394423,29.174106891394423,29.174106891394423,29.174106891394423,33.19602981763851,33.19602981763851,33.19602981763851,33.19602981763851,33.19602981763851,33.19602981763851,33.19602981763851,33.19602981763851,33.19602981763851,33.19602981763851,34.77495260367396,40.942924902796896,41.220152681772156,41.220152681772156,41.220152681772156,42.53992582583546,42.53992582583546,42.53992582583546,42.53992582583546,42.53992582583546,42.53992582583546,42.53992582583546,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615,43.84201813491615	0.9949686359947655	43.84201813491615	22	false	1702
33	18	18	100	80611	801900	6415200	0	0	31.380859397503897	31.380859397503897	83.9615948158229	83.9615948158229	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,20.065722850813117,14.946145929529136,14.946145929529136,14.946145929529136,14.946145929529136,14.946145929529136,14.946145929529136,14.946145929529136,14.946145929529136,17.91424882105862,17.91424882105862,17.91424882105862,25.499149771872638,26.14734733457899,24.62347649321596,24.62347649321596,24.62347649321596,24.62347649321596,22.091506870127155,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,18.46786999728375,26.147889356303715,26.147889356303715,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897,31.380859397503897	0.9948854007501045	31.380859397503897	24	false	2015
34	18	18	100	79075	766260	6130080	0	0	16.41294429582404	20.110403125733335	80.00974141304893	78.43636585357511	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,20.110403125733335,20.110403125733335,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404,16.41294429582404	0.9945946805477371	20.110403125733335	26	false	2223
