# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 11
# run: d323c738-1660-4758-8829-e104c701708f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67795	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	1338
26	15	15	100	68015	762300	6098400	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	18	false	764
27	16	16	100	68076	750420	6003360	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	18	false	838
28	16	16	100	68171	710820	5686560	0	0	-Infinity	-Infinity	-3005.9654268696704	-3005.9654268696704	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	17	false	776
29	17	17	100	68060	679140	5433120	0	0	-Infinity	-Infinity	-1755.115323444216	-1755.115323444216	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952876130456717	-Infinity	18	false	669
30	18	17	100	68473	659340	5274720	0	0	-1273.6014865138525	-1273.6014865138525	-1220.223352029443	-1220.223352029443	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525,-1273.6014865138525	0.9953202199135847	-1273.6014865138525	20	false	578
31	18	18	100	68269	642510	5140080	0	0	-810.3721621465294	-810.3721621465294	-739.35760008919	-739.35760008919	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294,-810.3721621465294	0.9947478816502295	-810.3721621465294	26	false	675
32	19	17	100	67946	599940	4799520	0	0	-787.9982156174111	-784.372259560914	-743.4180517409427	-743.4180517409427	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-784.372259560914,-784.372259560914,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-787.9982156174111,-784.372259560914,-784.372259560914,-784.372259560914,-784.372259560914,-784.372259560914,-784.372259560914,-784.372259560914,-787.9982156174111,-787.9982156174111	0.9946110205364781	-784.372259560914	20	false	569
33	22	19	100	68501	605880	4847040	0	0	-788.7784937307506	-782.1338747574783	-726.4785668874109	-726.4785668874109	-Infinity,-Infinity,-Infinity,-791.2489881084434,-794.130039630545,-807.5997853926801,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-814.6074436658985,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-812.6447990770282,-793.4478227429671,-786.8924264038632,-784.757274523171,-784.757274523171,-784.757274523171,-782.5529327587417,-782.4106390388055,-782.4106390388055,-785.7734479058848,-791.4905680785649,-792.2997501823234,-792.2997501823234,-792.2997501823234,-787.6083420414624,-787.6083420414624,-787.6083420414624,-787.6083420414624,-787.6083420414624,-787.6083420414624,-782.1338747574783,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-783.0793406723603,-785.0807908643728,-785.0807908643728,-788.7784937307506,-788.7784937307506,-788.7784937307506,-788.7784937307506	0.9938735643108327	-782.1338747574783	22	false	659
34	23	21	100	68770	592020	4736160	0	0	-778.489290293559	-774.0053335880299	-719.9798900516743	-719.9798900516743	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-782.2572155805459,-778.2800652245706,-778.2800652245706,-778.2800652245706,-778.2800652245706,-778.2800652245706,-778.2800652245706,-774.0053335880299,-774.0053335880299,-774.0053335880299,-775.2097902893623,-775.2097902893623,-775.2097902893623,-775.2097902893623,-775.2097902893623,-775.2097902893623,-775.2097902893623,-775.2097902893623,-775.2097902893623,-778.489290293559,-778.489290293559,-778.489290293559,-778.489290293559,-778.489290293559,-778.489290293559,-778.489290293559,-778.489290293559,-778.489290293559,-778.489290293559	0.9932772461087432	-774.0053335880299	22	true	681
