# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 29
# run: d3693ec2-472f-4380-a446-aeea227f5925
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	74000	331848	2654784	0	0	-381.8774292562375	-381.8774292562375	-79.04336890799688	-79.04336890799688	-1169.1409176904585,-1169.1409176904585,-1169.1409176904585,-969.1413454883123,-969.1413891482016,-969.1413891482016,-970.4509594519394,-974.520021523375,-974.5201546339796,-974.5201546339796,-974.5201546339796,-974.5201546339796,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-674.6686878894626,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-974.668808470097,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-674.6688783157163,-777.6122014958113,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-883.084821616662,-877.9924292557694,-868.0970289285281,-868.0970289285281,-868.0970289285281,-868.9707820757164,-868.9707820757164,-868.9707820757164,-868.9707820757164,-868.9707820757164,-771.920313238789,-676.9396574109862,-581.1850660095312,-381.8774292562375,-381.8774292562375,-381.8774292562375,-381.8774292562375,-381.8774292562375,-381.8774292562375	0.9960270797844731	-381.8774292562375	5	true	831
26	16	16	100	74800	341352	2730816	0	0	-377.70857836772063	-377.70857836772063	-76.00879321947666	-76.00879321947666	-1167.163909928199,-1167.163909928199,-1167.163909928199,-667.1642472066904,-667.1642789927117,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.1643178751807,-667.17434686673,-667.17434686673,-667.17434686673,-667.17434686673,-667.17434686673,-665.9482873279657,-472.72236428374055,-472.72236428374055,-472.72236428374055,-472.72236428374055,-472.72236428374055,-472.72236428374055,-377.70857836772063,-377.70857836772063,-377.70857836772063,-377.70857836772063,-377.70857836772063,-377.70857836772063,-377.70857836772063,-377.70857836772063,-377.70857836772063,-377.70857836772063	0.9958381646573722	-377.70857836772063	5	true	292
27	16	16	100	75200	341352	2730816	0	0	-376.6200650275082	-376.6200650275082	-74.94460704585526	-74.94460704585526	-666.025022778291,-666.025022778291,-666.025022778291,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-666.0253303025152,-471.6346363235631,-471.6346363235631,-471.6346363235631,-471.6346363235631,-471.6346363235631,-471.6346363235631,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082,-376.6200650275082	0.9956367112391343	-376.6200650275082	5	true	283
28	16	16	100	79400	340164	2721312	0	0	-Infinity	-318.6180901591462	-Infinity	-24.40320507778145	-667.0096972285559,-667.0096972285559,-667.0096972285559,-667.0099270181357,-667.0099270181357,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-667.0108925346843,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.0112039939581,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-717.011311512573,-617.0106739283987,-617.0106739283987,-617.0106739283987,-617.0106739283987,-617.0106739283987,-617.0106739283987,-615.1225116806285,-615.1225116806285,-615.1225116806285,-615.1225116806285,-615.1225116806285,-515.1223036419705,-515.1223036419705,-515.1223036419705,-515.1223036419705,-515.1223036419705,-515.1223036419705,-318.6180901591462,-318.6180901591462,-318.6180901591462,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-318.6180901591462	4	true	262
29	18	18	100	81400	362736	2901888	0	0	-Infinity	-314.1563272099361	-66.1930409044452	-58.11666514899832	-665.925483164283,-665.925483164283,-665.925483164283,-665.9256949259316,-665.9256949259316,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-665.9260075843058,-615.9260648454829,-615.9260648454829,-615.9260648454829,-715.9263340777388,-715.9263340777388,-715.9263340777388,-715.9263340777388,-715.9263340777388,-715.9263340777388,-715.9263340777388,-715.9263340777388,-715.9263340777388,-715.9263340777388,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-415.92640374758645,-414.15659644219215,-414.15659644219215,-314.1563272099361,-314.1563272099361,-314.1563272099361,-314.1563272099361,-314.1563272099361,-314.1563272099361,-317.65384226728327,-317.65384226728327,-317.65384226728327,-317.65384226728327,-317.65384226728327,-517.6542329709301,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-314.1563272099361	3	true	264
30	18	18	100	84400	345708	2765664	0	0	-Infinity	-311.94957204445075	-Infinity	-57.812752898462676	-670.303472837324,-670.303472837324,-670.303472837324,-670.3037091491041,-670.3037091491041,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-670.3039709792932,-620.3040511051248,-620.3040511051248,-620.3040511051248,-625.8823744342195,-625.8823744342195,-625.8823744342195,-625.8823744342195,-625.8823744342195,-625.8823744342195,-625.8823744342195,-625.8823744342195,-625.8823744342195,-625.8823744342195,-425.8824029142038,-425.8824029142038,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-425.88249866454134,-320.3041753354466,-320.3041753354466,-320.3041753354466,-320.3041753354466,-320.3041753354466,-320.3041753354466,-320.3041753354466,-320.3041753354466,-313.59844072432895,-313.59844072432895,-313.59844072432895,-313.59844072432895,-313.5983934246541,-313.5983934246541,-311.94957204445075,-311.94957204445075,-311.94957204445075,-311.94957204445075,-311.94957204445075,-311.94957204445075,-311.94957204445075,-311.95006211104226,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952147228050682	-311.94957204445075	2	true	253
31	18	18	100	81400	344124	2752992	0	0	-164.09414257451058	-161.10030158722358	-57.814526161898954	-7.719643364468173	-665.8304950360783,-665.8304950360783,-665.8304950360783,-665.8305626601497,-665.8305626601497,-665.8305626601497,-665.830656828923,-669.188754974278,-669.188754974278,-669.1887836472442,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-376.21703365539537,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-482.28513949905744,-282.28519633070266,-282.28519633070266,-282.28519633070266,-282.28519633070266,-282.28519633070266,-282.28519633070266,-282.28519633070266,-282.28519633070266,-176.21709048704054,-281.9854232959841,-281.9854232959841,-281.9854232959841,-281.9854232959841,-281.9854232959841,-384.9643441796839,-281.9854232959841,-281.9854232959841,-281.9854232959841,-281.9854232959841,-281.9854232959841,-281.9854232959841,-176.21709048704054,-176.21709048704054,-176.21709048704054,-176.21709048704054,-176.21709048704054,-176.21709048704054,-176.21709048704054,-180.25966205045287,-180.25966205045287,-180.25966205045287,-175.44672844686826,-169.591751626175,-169.591751626175,-169.591751626175,-164.306072256151,-164.3878629933269,-164.3878629933269,-161.10030158722358,-161.10030158722358,-161.10030158722358,-161.9954440729047,-161.9954440729047,-161.9954440729047,-161.9954440729047,-161.9954440729047,-164.09414257451058,-164.09414257451058,-164.09414257451058,-164.09414257451058	0.9947478816502295	-161.10030158722358	2	true	254
32	20	20	100	83400	361152	2889216	0	0	-86.3661731317509	-58.77260385574004	43.36751815470612	-5.845668272932658	-173.64218637961005,-173.64218637961005,-173.64218637961005,-173.64264145345135,-173.64264145345135,-73.64269547146979,-73.64269547146979,-73.64269547146979,-73.64269547146979,-73.64269547146979,-73.64285353106366,-73.64285353106366,-73.64285353106366,-73.64285353106366,-73.64285353106366,-73.64285353106366,-73.64285353106366,-73.64285353106366,-73.64285353106366,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-77.22752448236481,-75.79363120954507,-75.79363120954507,-74.37605985095402,-75.04703665394045,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-275.04712915936057,-273.8612193982605,-279.92877687197904,-279.92877687197904,-279.92877687197904,-279.92877687197904,-279.92877687197904,-279.92877687197904,-279.92877687197904,-279.92877687197904,-279.92877687197904,-179.92868436655897,-179.92868436655897,-179.92868436655897,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-73.8611268928404,-75.43913486858014,-72.76585753599664,-67.9032806011902,-67.9032806011902,-65.82698240697168,-65.82698240697168,-65.82698240697168,-65.82698240697168,-66.83349447674294,-58.77260385574004,-58.77260385574004,-58.77260385574004,-58.77260385574004,-58.77260385574004,-58.77260385574004,-58.77260385574004,-58.77260385574004,-58.77260385574004,-58.77260385574004,-61.459392722421995,-79.99754502963575,-79.99754502963575,-79.99754502963575,-79.99754502963575,-79.99754502963575,-86.3661731317509,-86.3661731317509,-86.3661731317509	0.9940017253858359	-58.77260385574004	1	true	297
33	23	23	100	89400	393624	3148992	0	0	-Infinity	-70.51323494424612	-76.94940308238392	-6.665546321127164	-84.56012496434008,-84.56012496434008,-84.56012496434008,-84.56056964370077,-84.56056964370077,-84.56056964370077,-84.56056964370077,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.5606744417843,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-84.54346046905326,-178.56017855000067,-270.3609090372966,-269.14324363618607,-269.14324363618607,-269.14324363618607,-269.14324363618607,-269.14324363618607,-269.14324363618607,-269.14324363618607,-269.14324363618607,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-267.1589134885428,-270.51338387311176,-270.51338387311176,-270.51338387311176,-270.51338387311176,-270.51338387311176,-270.51338387311176,-270.51338387311176,-270.51338387311176,-70.51323494424612,-70.51323494424612,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9931903919404012	-70.51323494424612	4	true	325
34	23	23	100	88000	393624	3148992	0	0	-Infinity	8.156159427637203	8.610213386411496	22.125427272305373	-197.0496327922642,-197.0496327922642,-197.0496327922642,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,2.9494319457428038,6.934531135049518,8.156159427637203,8.156159427637203,-178.48454668576667,-376.885224112716,-474.6683449968648,-470.77526298512885,-464.9225262003231,-464.9225262003231,-464.9225262003231,-465.6655587389475,-465.6655587389475,-465.6655587389475,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.69539241279836,-469.6958263796565,-469.6958263796565,-469.6958263796565,-469.6958263796565,-469.69539241279836,-469.69539241279836,-269.6952414306587,-269.69536425212243,-269.69536425212243,-269.69536425212243,-269.69536425212243,-269.69536425212243,-269.69536425212243,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9930914746931229	8.156159427637203	8	true	279
