# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 3
# run: d4855ff0-3688-4687-99a5-5ad4ddbd4744
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	53400	172260	1378080	0	0	-1165.2784659295235	-1165.2538436213406	-1163.303404754163	-1165.0624912918508	-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1171.180661759651,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1169.1886783301263,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.2116618280977,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1167.24509237808,-1165.2538436213406,-1165.2538436213406,-1165.2538436213406,-1165.2538436213406,-1165.2538436213406,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235,-1165.2784659295235	0.9968457241868389	-1165.2538436213406	1	true	760
26	15	15	100	53200	174240	1393920	0	0	-1159.1824250330844	-1159.1824250330844	-1159.1824250330844	-1159.1824250330844	-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.631317487325,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1160.898302232826,-1159.1824250330844	0.9964541127788218	-1159.1824250330844	0	true	372
27	15	15	100	51600	171270	1370160	0	0	-1157.5630374353057	-1157.5630374353057	-1157.5630374353057	-1157.5630374353057	-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057,-1157.5630374353057	0.9960270797844731	-1157.5630374353057	0	true	187
28	15	15	100	51400	170280	1362240	0	0	-1156.4101234338455	-1156.4101234338455	-1156.4101234338455	-1156.4101234338455	-1158.3237995837776,-1158.3237995837776,-1158.3237995837776,-1158.3237995837776,-1158.3237995837776,-1158.3237995837776,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455,-1156.4101234338455	0.9960270797844731	-1156.4101234338455	0	true	186
29	15	15	100	50000	168300	1346400	0	0	-1155.7658208332543	-1155.7658208332543	-1155.7658208332543	-1155.7658208332543	-1157.683021676922,-1157.683021676922,-1157.683021676922,-1157.683021676922,-1157.683021676922,-1157.683021676922,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543,-1155.7658208332543	0.9960270797844731	-1155.7658208332543	0	true	217
30	16	16	100	49600	169290	1354320	0	0	-1155.668516661319	-1155.668516661319	-1155.668516661319	-1155.668516661319	-1157.659115796963,-1157.659115796963,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319,-1155.668516661319	0.9956367112391343	-1155.668516661319	0	true	166
31	16	16	100	48000	166320	1330560	0	0	-1154.79809677161	-1154.79809677161	-1154.79809677161	-1154.79809677161	-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161,-1154.79809677161	0.9954268136656409	-1154.79809677161	0	true	165
32	17	16	100	47598	163350	1306800	0	0	-1156.10978104472	-1156.10978104472	-1156.10978104472	-1156.10978104472	-1159.081051062149,-1159.081051062149,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1157.0941648521075,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472,-1156.10978104472	0.9954594205335539	-1156.10978104472	0	true	168
33	18	18	100	47794	168300	1346400	0	0	-1155.1696825511087	-1155.1696825511087	-1155.1696825511087	-1155.1696825511087	-1160.3460089705982,-1160.3460089705982,-1160.3460089705982,-1160.3460089705982,-1160.3460089705982,-1160.3460089705982,-1160.3460089705982,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087,-1155.1696825511087	0.9949686359947655	-1155.1696825511087	0	true	165
34	18	18	100	47978	166320	1330560	0	0	-1055.0777841362917	-1055.0777841362917	-1055.0777841362917	-1055.0777841362917	-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917,-1055.0777841362917	0.9948854007501045	-1055.0777841362917	0	true	159
