# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 23
# run: d643ce0a-5db5-45b1-9882-b3c19a9fdc10
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	175230	1401840	0	0	-1163.2168386778142	-1163.2168386778142	-1163.2168386778142	-1163.2168386778142	-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1169.1441987681178,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1520665166559,-1167.1834393485533,-1167.1834393485533,-1167.1834393485533,-1167.1834393485533,-1167.1834393485533,-1167.1834393485533,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1165.2076576169038,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142,-1163.2168386778142	0.9963744964578416	-1163.2168386778142	0	true	702
26	15	15	100	53200	174240	1393920	0	0	-1158.660914575063	-1158.660914575063	-1158.660914575063	-1158.660914575063	-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063,-1158.660914575063	0.9960270797844731	-1158.660914575063	0	true	423
27	15	15	100	51600	171270	1370160	0	0	-1157.5106688569215	-1157.5106688569215	-1157.5106688569215	-1157.5106688569215	-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215,-1157.5106688569215	0.9960270797844731	-1157.5106688569215	0	true	197
28	16	16	100	51400	173250	1386000	0	0	-1157.0875396123872	-1157.0875396123872	-1157.0875396123872	-1157.0875396123872	-1159.0499477810158,-1159.0499477810158,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1159.065633107279,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872,-1157.0875396123872	0.9955956967707507	-1157.0875396123872	0	true	213
29	16	16	100	50000	171270	1370160	0	0	-1155.555854306669	-1155.555854306669	-1155.555854306669	-1155.555854306669	-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669,-1155.555854306669	0.9954268136656409	-1155.555854306669	0	true	180
30	18	18	88	43824	154860	1238880	0	0	-1155.1568906919588	-1155.1568906919588	-1155.1568906919588	-1155.1568906919588	-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588,-1155.1568906919588	0.9952702129681755	-1155.1568906919588	0	true	181
31	18	18	100	48000	172260	1378080	0	0	-1155.475498534481	-1155.475498534481	-1155.475498534481	-1155.475498534481	-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1160.6516332476094,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481,-1155.475498534481	0.9949686359947655	-1155.475498534481	0	true	200
32	18	18	100	48244	169290	1354320	0	0	-1157.5045851153127	-1157.4750592544483	-1156.3073516856148	-1156.3073516856148	-1157.4750592544483,-1157.4750592544483,-1157.4750592544483,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127,-1157.5045851153127	0.9947478816502295	-1157.4750592544483	1	true	177
33	20	20	100	48537	174240	1393920	0	0	-1154.8974291042425	-1154.8974291042425	-1154.8974291042425	-1154.8974291042425	-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1156.2063713701098,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425,-1154.8974291042425	0.9940017253858359	-1154.8974291042425	0	true	255
34	23	23	100	48970	182160	1457280	0	0	-1155.317460988151	-1155.317460988151	-1155.317460988151	-1155.317460988151	-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1157.2745483202884,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151,-1155.317460988151	0.9931903919404012	-1155.317460988151	0	true	183
