# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: d8163122-92a5-45bb-b876-fd12b610039e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67777	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	1293
26	15	15	100	67798	762300	6098400	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	18	false	1198
27	16	16	100	67950	745470	5963760	0	0	-Infinity	-Infinity	-2963.4147893044383	-2963.4147893044383	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	20	false	1334
28	16	16	100	67972	715770	5726160	0	0	-Infinity	-Infinity	-2991.8109143494944	-2991.8109143494944	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	16	false	874
29	18	18	100	68153	682110	5456880	0	0	-Infinity	-Infinity	-1739.820343365458	-1739.820343365458	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	16	false	888
30	18	18	100	68181	652410	5219280	0	0	-762.6942966403059	-759.7214205028247	-727.7755152841177	-728.91922203104	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-769.4977791535408,-764.2874894013983,-764.2874894013983,-764.2874894013983,-764.2874894013983,-764.2874894013983,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-765.616501375184,-760.2861697817914,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7214205028247,-759.7796015301461,-759.7796015301461,-759.7796015301461,-761.1775683050604,-761.1775683050604,-761.1775683050604,-761.1720730856796,-761.1720730856796,-762.6942966403059,-762.6942966403059	0.995024126157873	-759.7214205028247	22	false	826
31	18	18	100	68329	627660	5021280	0	0	-772.1917347783566	-772.1917347783566	-729.0525970394995	-729.0525970394995	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-795.8069999292429,-795.8069999292429,-795.8069999292429,-795.8069999292429,-795.8069999292429,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566,-772.1917347783566	0.9947478816502295	-772.1917347783566	22	false	778
32	20	20	100	68710	623700	4989600	0	0	-757.0706734314055	-757.0706734314055	-716.4867134439967	-716.4867134439967	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-766.029862097457,-766.132825796465,-766.132825796465,-766.132825796465,-766.132825796465,-767.3181719871271,-767.3181719871271,-769.2690969148681,-769.2690969148681,-772.0288301768771,-775.6716361688188,-775.6716361688188,-780.3502678662255,-786.5635524440263,-786.5635524440263,-786.5635524440263,-786.5635524440263,-786.5635524440263,-786.5635524440263,-786.5635524440263,-786.5635524440263,-780.6477997843906,-772.9066208953493,-772.9066208953493,-768.7230951593077,-768.7230951593077,-768.7230951593077,-768.7230951593077,-768.7230951593077,-771.9719504868671,-771.9719504868671,-771.9719504868671,-771.9719504868671,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-776.2934507500091,-769.679832021608,-763.3708525052646,-763.3708525052646,-763.3708525052646,-763.3708525052646,-759.398808620526,-759.398808620526,-759.398808620526,-757.0706734314055,-757.0706734314055	0.9943563799065661	-757.0706734314055	20	true	863
33	22	22	100	69080	609840	4878720	0	0	-757.6046531940517	-750.1802659876279	-716.8244835686098	-716.1494598991619	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-750.8552646127489,-750.8552646127489,-750.8552646127489,-752.3075380836437,-750.1802659876279,-752.8303641114766,-752.5848886838678,-757.0125822602247,-757.0125822602247,-757.0125822602247,-757.0125822602247,-757.0125822602247,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-757.4341091545325,-756.7679533527228,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517,-757.6046531940517	0.9933979500076767	-750.1802659876279	22	true	923
34	22	22	100	69101	585090	4680720	0	0	-728.1069826745195	-728.1069826745195	-711.7119912297711	-711.7119912297711	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-746.3174521667914,-746.3174521667914,-746.3174521667914,-746.3174521667914,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-743.8224994596827,-740.860424577551,-740.860424577551,-740.860424577551,-740.860424577551,-740.860424577551,-740.860424577551,-739.7177854774806,-739.7177854774806,-739.7177854774806,-736.0113266135913,-736.0113266135913,-736.0113266135913,-736.0113266135913,-736.0113266135913,-736.0113266135913,-736.0113266135913,-733.210142512596,-730.1468456389374,-730.1468456389374,-730.1468456389374,-730.1468456389374,-728.1210826851532,-728.1210826851532,-728.1210826851532,-728.1210826851532,-730.1292597822112,-728.1069826745195,-728.1069826745195	0.9933979500076767	-728.1069826745195	15	true	907
