# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 22
# run: d81952a0-a00d-4e74-890b-6b48ccfc9609
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	472230	3777840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	7	true	1126
26	16	16	100	53200	474606	3796848	0	0	-2036.918730397646	-2036.918730397646	-2034.1706506734604	-2034.1706506734604	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646,-2036.918730397646	0.9958381646573722	-2036.918730397646	3	true	1278
27	16	16	100	52200	459756	3678048	0	0	-2038.981239607055	-2038.981239607055	-2035.4431709302305	-2035.4431709302305	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2047.545303699782,-2042.6384285936042,-2042.6384285936042,-2042.6384285936042,-2042.6384285936042,-2042.6384285936042,-2042.6384285936042,-2042.6384285936042,-2042.6384285936042,-2042.6384285936042,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055,-2038.981239607055	0.9954268136656409	-2038.981239607055	3	true	538
28	17	17	100	51400	453222	3625776	0	0	-2034.3571475938213	-2034.3571475938213	-2030.4673775310894	-2030.4673775310894	-Infinity,-Infinity,-Infinity,-2042.980965052756,-2043.0187674369415,-2043.0187674369415,-2043.0187674369415,-2043.0187674369415,-2041.2592860729935,-2041.2592860729935,-2041.2592860729935,-2041.2592860729935,-2041.2592860729935,-2041.2592860729935,-2041.2592860729935,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2038.0261566018607,-2034.3571475938213,-2034.3571475938213,-2034.3571475938213	0.9952876130456717	-2034.3571475938213	3	true	499
29	18	18	100	47000	437778	3502224	0	0	-1136.2579086937	-1135.2102940804334	-1132.544110798176	-1132.5395634883137	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1140.439350701422,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1138.462829611712,-1135.2102940804334,-1136.2579086937,-1136.2579086937,-1136.2579086937,-1136.2579086937	0.9952702129681755	-1135.2102940804334	4	true	740
30	18	18	100	46400	428868	3430944	0	0	-1144.1049329154348	-1144.1049329154348	-1130.5307667755303	-1130.5307667755303	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348,-1144.1049329154348	0.9949686359947655	-1144.1049329154348	7	true	521
31	18	17	100	45663	402732	3221856	0	0	-560.4788296462868	-560.4788296462868	-544.5015157337648	-544.5015157337648	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-604.5390997817495,-597.5845936144291,-597.5845936144291,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-597.7797700393824,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-608.1802111714317,-594.1097489395487,-594.1097489395487,-594.1097489395487,-594.1097489395487,-594.1097489395487,-587.4723014802563,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-574.5005573157725,-573.1589804844618,-573.1589804844618,-573.1589804844618,-573.1589804844618,-569.1503533374078,-564.1636738432642,-561.5635650638254,-560.4788296462868,-560.4788296462868	0.9947847288731626	-560.4788296462868	9	true	471
32	20	20	100	46253	400950	3207600	0	0	-555.8966994455101	-549.3091961928861	-532.6368111333492	-531.715364922474	-561.6983560196177,-561.6983560196177,-555.9070287450307,-555.9070287450307,-555.9070287450307,-555.9070287450307,-555.9070287450307,-555.9070287450307,-555.9070287450307,-555.9070287450307,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-556.0662534706834,-551.4257573796332,-551.4257573796332,-551.4257573796332,-551.4257573796332,-549.3091961928861,-549.3091961928861,-550.3362739874731,-550.3362739874731,-550.3362739874731,-550.3362739874731,-551.0642131791133,-551.0642131791133,-551.0642131791133,-552.8823737923066,-552.8823737923066,-552.8823737923066,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101,-555.8966994455101	0.9940017253858359	-549.3091961928861	9	true	519
33	22	21	100	46534	397386	3179088	0	0	-563.4649875074157	-554.5746432648583	-534.0169974159525	-534.3415824263408	-Infinity,-Infinity,-571.2412390674278,-571.2412390674278,-571.2412390674278,-571.2412390674278,-571.2412390674278,-571.2412390674278,-571.2412390674278,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-562.9388568436542,-555.3254137627193,-554.5746432648583,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-556.3915078951042,-555.9442610293404,-555.9442610293404,-555.9442610293404,-555.9442610293404,-555.9442610293404,-558.9876617388836,-558.9876617388836,-558.9876617388836,-560.3168822620735,-560.3168822620735,-560.0062683796075,-560.0062683796075,-560.0062683796075,-560.0062683796075,-560.0062683796075,-560.0062683796075,-560.0062683796075,-560.0062683796075,-560.0062683796075,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157,-563.4649875074157	0.9934347972306098	-554.5746432648583	11	true	586
34	22	22	100	46722	399762	3198096	0	0	-543.5466500845948	-543.5466500845948	-530.0382060604059	-530.0382060604059	-Infinity,-Infinity,-Infinity,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-555.6337236000074,-558.4548634951916,-558.4548634951916,-558.4548634951916,-558.4548634951916,-558.4548634951916,-558.4548634951916,-558.4548634951916,-558.4548634951916,-558.4548634951916,-558.4548634951916,-553.9417636572055,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-552.0177678901622,-548.9126784039886,-548.9126784039886,-548.9126784039886,-548.9126784039886,-548.9126784039886,-547.0944942429842,-547.0944942429842,-547.0944942429842,-547.0944942429842,-547.0944942429842,-547.0944942429842,-547.0944942429842,-547.0944942429842,-547.0944942429842,-547.0944942429842,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948,-543.5466500845948	0.9932990327603982	-543.5466500845948	9	true	648
