# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 10
# run: d96ff496-42db-4a31-b034-ae0742885fc8
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	17	4505	8670	69360	0	0	-1654.0726871215952	-1654.0726871215952	-1654.0726871215952	-1654.0726871215952	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1656.3022226049072,-1655.0590570483491,-1655.0590570483491,-1655.0590570483491,-1655.0590570483491,-1655.0590570483491,-1655.0590570483491,-1654.0726871215952,-1654.0726871215952	0.9960270797844731	-1654.0726871215952	1	true	283
26	15	15	3	788	1530	12240	0	0	-1647.9697847797836	-1647.9697847797836	-1647.9697847797836	-1647.9697847797836	-Infinity,-1647.9697847797836,-1647.9697847797836	0.9960270797844731	-1647.9697847797836	1	true	30
27	16	16	17	4309	8670	69360	0	0	-1644.0393908094336	-1644.0393908094336	-1644.0393908094336	-1644.0393908094336	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1644.0393908094336,-1644.0393908094336	0.9958381646573722	-1644.0393908094336	0	true	37
28	16	16	10	2487	5100	40800	0	0	-1644.8223554398332	-1644.8223554398332	-1644.8223554398332	-1644.8223554398332	-Infinity,-Infinity,-Infinity,-1646.4780294929324,-1646.4778328701414,-1645.6721701151394,-1644.8223591720391,-1644.8223591720391,-1644.8223554398332,-1644.8223554398332	0.9955956967707507	-1644.8223554398332	0	true	28
29	17	17	18	4359	9180	73440	0	0	-852.5924095094523	-852.5924095094523	-852.5924095094523	-852.5924095094523	-Infinity,-1199.593831636539,-1199.593831636539,-1148.7479018582037,-1148.7479018582037,-1148.7479018582037,-1148.6211277584016,-953.6032905793315,-953.6032905793315,-953.6032905793315,-953.6032905793315,-953.6032905793315,-953.6032905793315,-953.6032905793315,-953.4140366139807,-953.3330550059084,-852.5924095094523,-852.5924095094523	0.9952876130456717	-852.5924095094523	0	true	31
30	18	18	5	1190	2550	20400	0	0	-848.484961879638	-848.484961879638	-848.484961879638	-848.484961879638	-850.6721494751508,-849.6215240466471,-849.6215240466471,-848.484961879638,-848.484961879638	0.9952702129681755	-848.484961879638	0	true	25
31	18	18	13	2950	6630	53040	0	0	-848.2603809895479	-848.2603809895479	-848.2603809895479	-848.2603809895479	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-848.2603809895479,-848.2603809895479	0.9948854007501045	-848.2603809895479	0	true	25
32	18	18	8	1767	4080	32640	0	0	-849.3320274719989	-849.3320274719989	-849.3320274719989	-849.3320274719989	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-849.3320274719989,-849.3320274719989	0.9947478816502295	-849.3320274719989	0	true	20
33	21	21	30	6369	15300	122400	0	0	-644.667197483277	-644.667197483277	-644.667197483277	-644.667197483277	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-746.9860572223798,-748.1650665343606,-746.1646520896433,-746.1646520896433,-746.1646520896433,-746.1646520896433,-746.1646520896433,-746.1646520896433,-746.1646520896433,-746.1646520896433,-746.1646520896433,-746.1646520896433,-645.3710180776168,-645.3710180776168,-645.3710180776168,-645.3710180776168,-645.3710180776168,-645.3710180776168,-645.3710180776168,-645.3710180776168,-644.667197483277,-644.667197483277	0.9937941673185605	-644.667197483277	0	true	31
34	23	23	48	10007	24480	195840	0	0	-643.5788857697423	-643.5788857697423	-643.5788857697423	-643.5788857697423	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-644.3281228058813,-643.5788857697423,-643.5788857697423	0.9931903919404012	-643.5788857697423	0	true	38
