# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 19
# run: da75e31d-5e6d-4c4e-bcba-f543f1060ad5
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	53400	175230	1401840	0	0	-1163.2193395589748	-1163.2193395589748	-1163.2193395589748	-1163.2193395589748	-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1169.1460243504434,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.1536017243652,-1167.177696559807,-1167.177696559807,-1167.177696559807,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1167.20947002592,-1165.2183330137436,-1165.2183330137436,-1165.2183330137436,-1165.2183330137436,-1165.2183330137436,-1165.2183330137436,-1165.2183330137436,-1165.2183330137436,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748,-1163.2193395589748	0.9960270797844731	-1163.2193395589748	0	true	787
26	16	16	88	46816	155730	1245840	0	0	-1158.6547592033792	-1158.6547592033792	-1158.6547592033792	-1158.6547592033792	-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792,-1158.6547592033792	0.9958381646573722	-1158.6547592033792	0	true	285
27	16	16	100	51600	174240	1393920	0	0	-1158.0325043195264	-1158.0325043195264	-1158.0325043195264	-1158.0325043195264	-1160.0067225264438,-1160.0067225264438,-1160.0067225264438,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264,-1158.0325043195264	0.9955956967707507	-1158.0325043195264	0	true	185
28	16	16	100	51400	173250	1386000	0	0	-1156.4552403516004	-1156.4552403516004	-1156.4552403516004	-1156.4552403516004	-1158.3523699949887,-1158.3523699949887,-1158.3523699949887,-1158.3523699949887,-1158.3523699949887,-1158.3523699949887,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004,-1156.4552403516004	0.9954268136656409	-1156.4552403516004	0	true	189
29	18	18	100	50000	177210	1417680	0	0	-1155.7080027707045	-1155.7080027707045	-1155.7080027707045	-1155.7080027707045	-1157.6045124298837,-1157.6045124298837,-1157.6045124298837,-1157.6045124298837,-1157.6045124298837,-1157.6045124298837,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045,-1155.7080027707045	0.9952702129681755	-1155.7080027707045	0	true	202
30	18	18	100	49600	175230	1401840	0	0	-1155.6247101174795	-1155.6247101174795	-1155.6247101174795	-1155.6247101174795	-1160.8013730565353,-1160.8013730565353,-1160.8013730565353,-1160.8013730565353,-1160.8013730565353,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795,-1155.6247101174795	0.9949686359947655	-1155.6247101174795	0	true	177
31	19	19	100	48498	175230	1401840	0	0	-1156.0937565109068	-1156.0937565109068	-1156.0937565109068	-1156.0937565109068	-1157.5092545338196,-1157.5092545338196,-1157.5092545338196,-1157.5092545338196,-1157.5248620944847,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1157.60042699576,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068,-1156.0937565109068	0.994524166368136	-1156.0937565109068	0	true	175
32	21	21	100	49103	177210	1417680	0	0	-1154.8952872851846	-1154.8952872851846	-1154.8952872851846	-1154.8952872851846	-1158.770705386202,-1158.770705386202,-1156.7760032632855,-1156.7760032632855,-1156.7910461066572,-1156.7910461066572,-1156.7910461066572,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846,-1154.8952872851846	0.9937941673185605	-1154.8952872851846	0	true	225
33	23	23	100	49180	183150	1465200	0	0	-1155.337504304966	-1155.337504304966	-1155.337504304966	-1155.337504304966	-1159.2550647801277,-1159.2550647801277,-1159.2550647801277,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1157.2951634134697,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966,-1155.337504304966	0.9931903919404012	-1155.337504304966	0	true	186
34	25	25	86	42703	160650	1285200	0	0	-1153.9925854321962	-1153.9925854321962	-1153.9925854321962	-1153.9925854321962	-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962,-1153.9925854321962	0.9927211016149905	-1153.9925854321962	0	true	176
