# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 4
# run: daa8d05a-4ba4-4e85-ba69-f8d076078e1f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	77000	331848	2654784	0	0	-381.88278811725843	-381.88278811725843	-29.057582061473482	-29.057582061473482	-1169.1448337540128,-1169.1448337540128,-1169.1448337540128,-969.1452624822462,-969.1453061411291,-969.1453061411291,-970.455805381814,-974.5250123263977,-974.5251462714157,-974.5251462714157,-974.5251462714157,-974.5251462714157,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-674.674452925309,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-974.674573397602,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-674.6746438464039,-777.6194275723693,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-883.0887965032541,-877.9963844615203,-873.386138290712,-869.3628070262782,-868.1026848358277,-868.1026848358277,-868.9762466118565,-868.9762466118565,-868.9762466118565,-868.9762466118565,-868.9762466118565,-773.2292428136645,-676.9437611858444,-581.191739364125,-381.88278811725843,-381.88278811725843,-381.88278811725843,-381.88278811725843,-381.88278811725843,-381.88278811725843	0.9960270797844731	-381.88278811725843	5	true	888
26	15	15	100	76800	330660	2645280	0	0	-377.702244227192	-377.702244227192	-26.25784200642947	-26.25784200642947	-1167.1741479760644,-1167.1741479760644,-1167.1741479760644,-667.1744893470341,-667.1745208184557,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-667.1745571658637,-472.7158314319726,-472.7158314319726,-472.7158314319726,-472.7158314319726,-472.7158314319726,-472.7158314319726,-472.7158314319726,-377.702244227192,-377.702244227192,-377.702244227192,-377.702244227192,-377.702244227192,-377.702244227192,-377.702244227192,-377.702244227192,-377.702244227192,-377.702244227192	0.9960270797844731	-377.702244227192	5	true	290
27	16	16	100	79000	341352	2730816	0	0	-376.6433362085366	-376.6433362085366	-25.131266864662663	-25.131266864662663	-1166.0308752647322,-1166.0308752647322,-1166.0308752647322,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0311806219122,-666.0409445178977,-666.0409445178977,-666.0409445178977,-467.53753141935067,-471.6574662462417,-471.6574662462417,-471.6574662462417,-471.6574662462417,-471.6574662462417,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366,-376.6433362085366	0.9955956967707507	-376.6433362085366	5	true	291
28	16	16	100	87800	340164	2721312	0	0	-Infinity	-116.60012757117849	-Infinity	-58.384484688846435	-667.0046084827096,-667.0046084827096,-667.0046084827096,-667.0047921518614,-667.0047921518614,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-667.005225768544,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0055377754012,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-717.0056714110152,-715.0948826928136,-615.1038055916268,-615.1038055916268,-615.1038055916268,-615.1038055916268,-615.1038055916268,-615.1038055916268,-515.1035982150424,-515.1035982150424,-215.1035900474595,-215.1035900474595,-215.1035900474595,-216.59974576748274,-216.59974576748274,-216.59974576748274,-216.59974576748274,-216.59974576748274,-116.60012757117849,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-116.60012757117849	3	true	305
29	18	18	100	91400	362736	2901888	0	0	-Infinity	-314.15298379856415	-64.18851508050622	-57.96347462970334	-667.2324274053537,-667.2324274053537,-667.2324274053537,-667.2325738173982,-667.2325738173982,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-667.2329031423299,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-717.2332344115867,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-417.23325977109414,-414.1531756638983,-414.1531756638983,-414.1531756638983,-314.15298379856415,-314.15298379856415,-314.15298379856415,-314.15298379856415,-314.15298379856415,-314.15298379856415,-315.64896802117835,-315.64896802117835,-315.64896802117835,-315.64896802117835,-315.64896802117835,-515.6493747268644,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-314.15298379856415	3	true	266
30	18	18	100	91400	362340	2898720	0	0	-373.55585182020604	-371.80179607338147	-8.169204364315066	-8.356410932511873	-671.8015493517887,-671.8015493517887,-671.8015493517887,-671.8015493517887,-671.8015493517887,-671.801625349044,-671.801625349044,-671.801625349044,-671.801625349044,-371.80179607338147,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-376.5231096373361,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604,-373.55585182020604	0.995024126157873	-371.80179607338147	5	true	301
31	18	18	100	91200	361152	2889216	0	0	-380.0711470024643	-370.22692305168147	-60.00884074253078	-10.008906434229464	-670.2267780148719,-670.2267780148719,-670.2267780148719,-670.2267780148719,-670.2267780148719,-670.2267780148719,-670.2267780148719,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-370.22692305168147,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-375.18441664126595,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-379.21765651501664,-376.019819056082,-376.019819056082,-376.019819056082,-376.019819056082,-376.019819056082,-376.019819056082,-380.0711470024643,-380.0711470024643,-380.0711470024643,-380.0711470024643,-380.0711470024643,-380.0711470024643,-380.0711470024643,-380.0711470024643	0.9947478816502295	-370.22692305168147	5	true	344
32	20	20	100	83600	378180	3025440	0	0	-64.24514760475037	-64.24514760475037	42.780797512904975	42.780797512904975	-173.55307961602824,-173.55307961602824,-173.55307961602824,-173.55345172759377,-173.55345172759377,-73.55350592335536,-73.55358368575195,-73.55358368575195,-73.55358368575195,-73.55358368575195,-73.55358368575195,-73.55358368575195,-73.55358368575195,-77.15467079629626,-77.15467079629626,-77.15467079629626,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-77.15476296857697,-275.1068701327922,-275.1068701327922,-275.1068701327922,-275.50547061886397,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-274.28885865447586,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-74.28876648219511,-73.29301374256232,-73.29301374256232,-73.29301374256232,-68.44117500988277,-68.44117500988277,-68.44117500988277,-68.44117500988277,-68.44117500988277,-68.44117500988277,-68.44117500988277,-68.44117500988277,-68.44117500988277,-68.44117500988277,-69.43692774951556,-69.43692774951556,-69.43692774951556,-69.43692774951556,-69.43692774951556,-69.43692774951556,-69.43692774951556,-69.43692774951556,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037,-64.24514760475037	0.9943563799065661	-64.24514760475037	4	true	320
33	23	23	100	83000	391644	3133152	0	0	-Infinity	28.874925418021686	15.322900835497206	40.83413954083133	-82.20409538743455,-82.20409538743455,-82.20409538743455,17.795051420652392,17.795051420652392,17.795051420652392,17.795051420652392,17.795022592284774,17.795022592284774,17.795022592284774,17.795022592284774,17.795022592284774,17.795022592284774,17.795022592284774,17.795022592284774,17.795022592284774,17.795022592284774,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,17.763926179095677,-371.50427682451055,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28727183247565,-472.28724300410806,-472.28724300410806,-472.28733771756856,-472.28733771756856,-472.28733771756856,-472.28733771756856,-472.28733771756856,-375.8509082647122,-282.01001284971017,-282.01001284971017,-282.01001284971017,-282.01001284971017,-282.01001284971017,-282.01001284971017,-282.01001284971017,-282.01001284971017,-282.0103634023129,-282.0103634023129,-282.0103634023129,-282.0103634023129,-282.0103634023129,-282.0103634023129,-282.0103634023129,-282.0103634023129,-282.0103634023129,-282.0103636784551,-282.0103636784551,-282.0103636784551,-282.0103636784551,-282.0103161545869,-282.0103161545869,-282.0103161545869,-282.0103161545869,-282.0103161545869,-282.0103161545869,-282.0103161545869,-273.4970284126076,-273.4970284126076,-273.4970284126076,-273.4970284126076,-273.4970284126076,-273.4970284126076,-171.24519397754784,-70.15864648488407,28.874925418021686,25.114755888531054,25.114755888531054,17.392841814257096,17.392841814257096,15.944367996981237,15.944367996981237,15.944367996981237,15.944367996981237,15.944367996981237,15.322313989728853,-Infinity,-Infinity	0.9931903919404012	28.874925418021686	2	true	288
34	23	23	100	85600	391644	3133152	0	0	-575.702031553147	-82.20455212446136	-22.986028633812438	-22.982609282061624	-182.204480633627,-182.204480633627,-182.204480633627,-82.20455212446136,-82.20459693389297,-82.20459693389297,-82.20459693389297,-82.20459693389297,-82.20459693389297,-82.20461928030383,-82.20461928030383,-82.20461928030383,-82.20461928030383,-82.20461928030383,-82.20461928030383,-82.20461928030383,-82.20461928030383,-82.20461928030383,-82.2531261034647,-82.25345597047315,-82.25345597047315,-82.25345597047315,-82.25345597047315,-82.25360850969227,-82.25360850969227,-82.25360850969227,-82.25360850969227,-82.25360850969227,-82.25360850969227,-82.25360850969227,-82.25360850969227,-82.25360850969227,-271.6742957478014,-569.4269356898861,-569.4269356898861,-569.4269356898861,-569.4269356898861,-569.4269356898861,-569.4269356898861,-569.4269356898861,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5523380794302,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-570.5524145635434,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-573.8884105372308,-570.5804526614819,-570.5524145635434,-568.5893044630694,-570.6290274544506,-570.6290274544506,-570.6290274544506,-570.6290274544506,-570.6290274544506,-570.6290274544506,-570.6290274544506,-570.6290274544506,-570.6290274544506,-568.593954233458,-570.5616283490143,-568.4468565286693,-575.702031553147,-575.702031553147,-575.702031553147,-575.702031553147,-575.702031553147,-575.702031553147	0.9931903919404012	-82.20455212446136	6	true	377
