# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 6
# run: dacf3612-4df1-4592-83a5-931b76c4f394
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55560	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9959945094713449	-Infinity	13	true	1078
26	16	16	100	55857	623304	4986432	0	0	-Infinity	-Infinity	-2445.751803439648	-2445.751803439648	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	11	true	973
27	17	17	100	55944	610038	4880304	0	0	-Infinity	-Infinity	-2492.293589953199	-2492.293589953199	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954564961507815	-Infinity	11	true	572
28	18	18	100	56306	596772	4774176	0	0	-Infinity	-Infinity	-2482.8873689294473	-2482.8873689294473	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	9	true	568
29	18	18	100	56148	576972	4615776	0	0	-1450.9736855820859	-1450.9736855820859	-1434.808439186615	-1434.808439186615	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1489.664814593332,-1470.0656933746025,-1470.0656933746025,-1464.6210828919473,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1455.8355339996679,-1450.9736855820859	0.9947478816502295	-1450.9736855820859	11	true	478
30	18	18	100	56433	553212	4425696	0	0	-1048.9980153895913	-1048.9980153895913	-1030.6701459812089	-1030.6701459812089	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1057.539650811927,-1057.539650811927,-1057.539650811927,-1048.9980153895913,-1048.9980153895913,-1048.9980153895913,-1048.9980153895913	0.9947478816502295	-1048.9980153895913	11	true	489
31	21	21	100	57048	549054	4392432	0	0	-660.0094456876072	-657.8816584624808	-623.9753609773804	-625.6324594464845	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-670.0680297843984,-670.0680297843984,-670.0680297843984,-670.0680297843984,-670.0680297843984,-670.0680297843984,-670.0680297843984,-670.0680297843984,-670.0680297843984,-668.1112272729382,-668.8489217353937,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-671.452505316449,-665.6506800405062,-665.6506800405062,-662.2236630153237,-660.4706068371408,-659.9139198369596,-659.9139198369596,-659.9139198369596,-659.9139198369596,-659.9139198369596,-659.9139198369596,-659.9139198369596,-659.9139198369596,-659.9139198369596,-659.9139198369596,-660.5425915202663,-660.5425915202663,-660.5425915202663,-660.5425915202663,-660.5425915202663,-660.5425915202663,-657.8816584624808,-657.8816584624808,-665.1623360205357,-665.1623360205357,-665.1623360205357,-665.1623360205357,-665.1623360205357,-665.1623360205357,-665.1623360205357,-665.1623360205357,-665.1623360205357,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-661.9461767361395,-660.0094456876072,-660.0094456876072,-660.0094456876072,-660.0094456876072,-660.0094456876072,-660.0094456876072,-660.0094456876072,-660.0094456876072	0.9939532537413823	-657.8816584624808	16	true	442
32	23	23	100	57323	526482	4211856	0	0	-648.9072371173554	-648.9072371173554	-618.886655058594	-618.886655058594	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-658.4614149063875,-658.4614149063875,-654.8825536797899,-653.0095699639846,-652.3816774249573,-652.3816774249573,-649.4152198078914,-653.1048203854916,-653.1048203854916,-653.1048203854916,-653.1048203854916,-653.1048203854916,-653.1048203854916,-650.5934655854835,-650.5934655854835,-650.5934655854835,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554,-648.9072371173554	0.9931903919404012	-648.9072371173554	13	true	493
33	24	23	100	57289	514602	4116816	0	0	-636.7403988798064	-635.8580808670483	-620.3617370449014	-620.5165879143534	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-659.9554742681336,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-655.158094458928,-651.0303263493406,-651.0303263493406,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-641.1005559487852,-638.2968281810629,-638.2968281810629,-638.2968281810629,-638.260665824913,-635.8580808670483,-636.7403988798064,-636.7403988798064	0.9930224958144772	-635.8580808670483	8	true	492
34	26	25	100	57850	523710	4189680	0	0	-637.8225692393769	-637.5689407692321	-614.1775678177618	-614.1779106314884	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-648.5669565057983,-643.712631641227,-643.712631641227,-639.3483938175726,-639.3483938175726,-637.5689407692321,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769,-637.8225692393769	0.9923899518207938	-637.5689407692321	11	true	621
