# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 14
# run: dadbfcf9-4608-4a7b-bcda-5a32b68b7f0e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	69600	516384	4131072	0	0	-1214.451040655141	-978.7964384862609	-59.521409454666156	-7.3022297155008005	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1078.7963785081365,-1078.7963785081365,-1078.7963785081365,-1078.7963785081365,-1078.7963785081365,-1078.7963785081365,-1078.7963785081365,-1078.7963785081365,-1078.7963785081365,-1478.7962944503438,-978.7964384862609,-978.7964384862609,-978.7964384862609,-978.7964384862609,-978.7964384862609,-978.7964384862609,-978.7964384862609,-978.7964384862609,-978.7965131390241,-978.7965131390241,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-978.7968540920564,-1080.4751932691427,-1183.9332658796131,-1183.9332658796131,-1183.9332658796131,-1183.9332658796131,-1183.9332658796131,-1183.9332658796131,-1183.9332658796131,-1178.8329202113503,-1178.8329202113503,-1174.2245902859127,-1172.2068908132983,-1172.2068908132983,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1172.2242783022684,-1175.0846443997743,-1191.0982336218713,-1191.0982336218713,-987.7553882927504,-1214.451040655141,-1214.451040655141,-1214.451040655141,-1214.451040655141,-1214.451040655141,-1214.451040655141,-1214.451040655141	0.9968457241868389	-978.7964384862609	9	true	986
26	15	15	100	69800	530838	4246704	0	0	-1071.9708991114755	-964.1509947285991	-4.711354949547264	-2.6842079165644757	-Infinity,-Infinity,-Infinity,-Infinity,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5393449925065,-972.5395992051484,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-972.5400362464724,-964.1509947285991,-1068.8017859973888,-1068.8017859973888,-1071.9708991114755,-1071.9708991114755,-1071.9708991114755,-1071.9708991114755	0.9960270797844731	-964.1509947285991	7	true	668
27	15	15	100	72000	528660	4229280	0	0	-962.0179058073792	-962.0179058073792	-52.68596711554468	-52.68596711554468	-Infinity,-Infinity,-Infinity,-Infinity,-962.0974821252055,-962.0974821252055,-962.0974821252055,-962.0974821252055,-962.0974821252055,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.097726716446,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0981831416659,-962.0179058073792,-962.0179058073792,-962.0179058073792	0.9960270797844731	-962.0179058073792	7	true	487
28	15	15	100	77000	516978	4135824	0	0	-760.5309759997342	-360.9526057141857	46.95743186834754	4.199198036103135	-Infinity,-Infinity,-Infinity,-586.9861728920527,-586.9861728920527,-586.9861728920527,-586.9863397298286,-586.9863397298286,-586.9863397298286,-586.9863397298286,-586.9863397298286,-586.9863397298286,-586.9863397298286,-586.9863397298286,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-586.9865514661801,-868.6412010510574,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1138552361642,-966.1142010297243,-966.1142010297243,-966.1142010297243,-966.1142010297243,-962.877154066877,-960.9522282661137,-960.9522282661137,-960.9522282661137,-360.95282454658303,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-360.9526057141857,-460.5309380991969,-460.5309380991969,-460.5309380991969,-460.5309380991969,-460.5309380991969,-460.5309380991969,-760.5309759997342,-760.5309759997342,-760.5309759997342,-760.5309759997342,-760.5309759997342,-760.5309759997342,-760.5309759997342,-760.5309759997342	0.9960270797844731	-360.9526057141857	7	true	477
29	16	16	100	70200	521730	4173840	0	0	-162.38299569953236	-162.38299569953236	54.31498403853764	54.31498403853764	-Infinity,-Infinity,-Infinity,-Infinity,-380.0185605596133,-380.0187514918887,-380.0187514918887,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-380.0189007347831,-580.0193022588483,-580.0193022588483,-580.0193022588483,-580.0193022588483,-580.0193022588483,-580.0193022588483,-580.0193022588483,-580.0193022588483,-580.0193022588483,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-580.0191178052368,-969.145040844307,-969.145040844307,-969.145040844307,-769.1453032828426,-769.1453032828426,-769.1453032828426,-769.1453032828426,-769.1453032828426,-769.1453032828426,-769.1453032828426,-769.1453032828426,-969.1452252979186,-970.7001869425391,-970.7001869425391,-966.2041478539614,-966.2041478539614,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.383205067712,-962.3832682282375,-962.3832682282375,-962.3832682282375,-962.3832682282375,-962.3832682282375,-762.3833972235975,-762.3833972235975,-762.3833972235975,-762.3833972235975,-762.3833972235975,-762.3833972235975,-162.38299569953236,-162.38299569953236	0.995805594344244	-162.38299569953236	7	true	513
30	16	15	100	68600	500148	4001184	0	0	-169.10389482886626	-168.78900246772943	51.77139394301392	50.67716646318311	-368.7887375920286,-368.7887375920286,-368.7887375920286,-368.7887375920286,-368.7887375920286,-168.78900246772943,-168.78900246772943,-168.78900246772943,-168.7891920664345,-168.7891920664345,-168.7891920664345,-168.78930551357183,-168.78930551357183,-168.78930551357183,-168.78930551357183,-168.78930551357183,-168.78930551357183,-168.78930551357183,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-168.78961338346872,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-179.2473606038241,-173.90189963369855,-173.90189963369855,-173.90201643958025,-169.10331604856984,-169.10331604856984,-169.10331604856984,-169.10331604856984,-169.10331604856984,-169.10331604856984,-169.10331604856984,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10331914188234,-169.10389482886626,-169.10389482886626,-169.10389482886626,-169.10389482886626,-169.10389482886626	0.99547682061105	-168.78900246772943	9	true	429
31	16	15	100	61600	466488	3731904	0	0	-160.7156053612914	15.916266600868138	50.53516345767029	51.8443398545581	-179.9701902150463,-179.9701902150463,-179.9701902150463,-179.9702442160269,-179.9702442160269,-179.9702442160269,-179.97038691798892,-179.97038691798892,-179.97055619142216,-179.97055619142216,-179.97055619142216,-179.97055619142216,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-179.97068846492155,-181.97341975963778,-181.97341975963778,-184.0831387664853,-184.0831387664853,-184.0831387664853,-184.0831387664853,-184.0831387664853,-184.08347175986336,-184.08347175986336,15.916238495735097,15.916238495735097,15.916238495735097,15.916238495735097,15.916238495735097,15.916266600868138,15.916266600868138,15.916266600868138,15.916266600868138,15.916266600868138,15.916266600868138,9.03949879024546,9.03949879024546,7.24461214920626,3.5424013394500324,0.6901108230038346,-7.45016092455861,-207.44987118015703,-207.44987118015703,-223.42214701080076,-240.11927900259423,-229.95665270478253,-229.95665270478253,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-239.7467474872186,-229.95696532167688,-229.95696532167688,-229.95696532167688,-229.95696532167688,-229.95696532167688,-229.95696532167688,-229.95696532167688,-229.95696532167688,-229.95696532167688,-220.77647803358195,-221.49215857929715,-221.49215857929715,-221.49215857929715,-184.50448536306746,-174.3457840444149,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914,-160.7156053612914	0.99547682061105	15.916266600868138	9	true	425
32	18	17	100	63000	471240	3769920	0	0	12.388670113749981	43.892639044307046	53.86405363545636	53.48719321483574	-368.77173273700663,-368.77173273700663,-368.77173273700663,-168.77173357750078,-168.7717891803069,-178.65209435662652,-178.65209435662652,-178.65209435662652,-178.65209435662652,-178.65209435662652,-178.6522934556294,-178.65238845243968,-178.6524645029406,-178.6524645029406,-178.6524645029406,-178.6524645029406,-180.40447576675095,-192.5283780978485,-192.5283780978485,-192.5283780978485,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87774555602587,-209.87784108811988,-209.87784108811988,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-9.878093377429163,-26.721509790165907,-32.369156931284095,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.17595123883475,-29.176137409317235,-29.176137409317235,-29.176137409317235,-20.188805691814608,-13.461569964873547,-8.306964819487245,-8.306964819487245,4.120815242947405,4.120815242947405,18.695042690996654,28.604851750013335,29.439067837277673,29.439067837277673,29.43881600711823,29.43881600711823,29.43881600711823,29.43881600711823,29.43881600711823,29.43881600711823,29.43881600711823,29.43870741689012,29.43870741689012,36.950952966622225,36.950952966622225,36.950952966622225,36.950952966622225,36.950952966622225,36.950952966622225,40.200884941596996,36.82315715634742,43.892639044307046,25.39736058423378,12.388670113749981,12.388670113749981,12.388670113749981,12.388670113749981,12.388670113749981,12.388670113749981,12.388670113749981,12.388670113749981,12.388670113749981	0.995074133103282	43.892639044307046	5	true	665
33	18	17	100	62400	472032	3776256	0	0	27.746752518447252	46.242056707663	55.75857175868296	55.85133084174384	-156.82136357611952,-156.82136357611952,-156.82136357611952,-156.82136357611952,-156.82136357611952,-164.26928082994996,-164.26928082994996,-164.2693587196721,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,-169.14958099372643,30.850155452760465,16.10630059817671,16.10630059817671,6.066338670509385,-10.51531397249273,-10.51531397249273,-10.515388460873798,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-10.515364091289495,-27.361063655839065,-40.16936914196044,-29.75707964879725,-29.75707964879725,-29.75707964879725,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,-29.757294480682866,0.17372459520651162,8.10071869926158,17.676583738909407,17.676583738909407,27.492887523678977,27.492887523678977,38.93735090091356,38.93735090091356,38.93735090091356,38.93735090091356,38.93735090091356,38.93735090091356,38.93735090091356,38.18182834523418,38.18182834523418,38.18182834523418,38.18182834523418,38.18182834523418,38.18182834523418,46.242056707663,46.242056707663,46.242056707663,46.242056707663,46.242056707663,46.242056707663,46.242056707663,46.242056707663,46.242056707663,46.242056707663,46.242056707663,27.746752518447252,27.746752518447252,27.746752518447252,27.746752518447252,27.746752518447252,27.746752518447252,27.746752518447252,27.746752518447252	0.9950186429401746	46.242056707663	5	true	435
34	18	17	100	59000	465894	3727152	0	0	18.288599296194178	37.40113919360108	48.831981813267305	50.74060549509852	-180.43617271086163,-180.43617271086163,-180.43617271086163,-180.43617271086163,-180.43617271086163,-187.85278652507753,-187.85278652507753,-189.19404615399066,-189.19404615399066,-189.19408978241535,-189.19408978241535,-189.19408978241535,-189.19408978241535,-189.19408978241535,-189.19408978241535,-189.19408978241535,-189.19408978241535,-189.19408978241535,-189.19408978241535,10.805634654924845,1.3405105817950655,-6.6120883262305785,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-10.938322302973372,-30.850143427857212,-48.945494097589865,-48.945494097589865,-29.116041849091012,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-38.31455771381773,-7.834129033591328,-3.5450014345231526,-3.5450014345231526,8.302420126475097,8.302420126475097,8.302420126475097,8.302420126475097,16.765569292193028,19.00488108194949,20.401460855556714,28.774325208262304,29.34540360551727,29.34540360551727,29.34540360551727,29.34540360551727,29.34540360551727,29.34540360551727,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,37.40113919360108,24.22712701902524,18.288599296194178,18.288599296194178,18.288599296194178,18.288599296194178,18.288599296194178,18.288599296194178	0.9947978885956386	37.40113919360108	7	true	509
