# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 2
# run: dc8d3653-a8fd-4728-a891-7b72a4c0c45f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	70800	732996	5863968	0	0	-633.8559469061246	-633.8559469061246	-0.15953873871218693	-0.15953873871218693	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-977.3361675278206,-977.3361675278206,-1176.658664282278,-1169.449379182352,-1169.4662760048977,-1169.4662760048977,-1170.7444790504692,-1170.7444790504692,-1170.7444790504692,-1170.7444790504692,-1170.7444790504692,-1170.7444790504692,-1170.7444790504692,-1170.7444790504692,-1169.4662760048977,-1174.7791013671888,-1179.3984736182063,-1179.3984736182063,-1195.3321098148167,-1205.5805916355682,-1205.5805916355682,-818.3099002935442,-818.3099002935442,-633.8559469061246,-633.8559469061246,-633.8559469061246,-633.8559469061246,-633.8559469061246,-633.8559469061246	0.9961066961054532	-633.8559469061246	18	true	1160
26	15	15	100	70600	729828	5838624	0	0	-326.3381903308168	-326.3381903308168	-44.9704583818536	-44.9704583818536	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1172.403334965829,-1172.403334965829,-1172.403334965829,-1172.403334965829,-1172.403334965829,-1172.403602836213,-1172.403602836213,-1172.403696775772,-1172.403696775772,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4038057545139,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4040611578713,-872.4042593205878,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-1178.1437468711165,-797.1541623545035,-810.9531842529178,-810.9531842529178,-510.95360475703217,-510.95360475703217,-418.49190181513256,-326.3381903308168,-326.3381903308168,-326.3381903308168,-326.3381903308168,-326.3381903308168,-326.3381903308168,-326.3381903308168,-326.3381903308168	0.9960270797844731	-326.3381903308168	18	true	913
27	15	15	100	72000	726660	5813280	0	0	-324.00195411920663	-324.00195411920663	-42.96119852248049	-42.96119852248049	-Infinity,-Infinity,-Infinity,-Infinity,-1170.2936179925025,-1170.2936179925025,-1170.2936179925025,-1170.2936179925025,-1170.2938240709464,-1170.2938240709464,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2939765422017,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-870.2941590653328,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-875.6246602750317,-490.3242613239578,-490.3242613239578,-494.6889753964549,-501.4623990016124,-508.6171674619561,-508.6171674619561,-324.00195411920663,-324.00195411920663,-324.00195411920663,-324.00195411920663,-324.00195411920663,-324.00195411920663,-324.00195411920663,-324.00195411920663,-324.00195411920663	0.9960270797844731	-324.00195411920663	18	true	916
28	16	16	100	70200	715176	5721408	0	0	-285.2861343419536	32.51029210038184	63.79942927675873	64.0570832513344	-Infinity,-Infinity,-Infinity,-267.4895125724998,-267.4895125724998,32.51029210038184,32.51029210038184,32.51029210038184,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.51024599343203,32.510169260353514,30.03434579085325,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,15.100612968051209,20.113163183186487,26.501334474834707,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,14.713788924967844,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536,-285.2861343419536	0.9958381646573722	32.51029210038184	11	true	691
29	16	16	100	71000	701316	5610528	0	0	-265.98775631867505	34.41200448263585	62.126041779947954	64.42163362093586	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,34.41200448263585,34.41200448263585,34.41200448263585,34.41200448263585,34.41200448263585,34.41200448263585,34.41200448263585,30.485815359872703,-69.51418957177412,-175.8450477720991,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-282.5395429035126,-274.0349714799938,-274.0349714799938,-272.6822670784604,-272.6822670784604,-272.6822670784604,-272.6822670784604,-272.6822670784604,-272.6822670784604,-272.6822670784604,-272.6822670784604,-272.68225145008853,-272.68225145008853,-272.68225145008853,-272.68225145008853,-272.68225145008853,-272.68225145008853,-272.68225145008853,-272.68225145008853,-272.68225145008853,-265.98775631867505	0.9954268136656409	34.41200448263585	12	true	907
30	18	18	100	73000	733788	5870304	0	0	46.240450480149676	46.240541858515925	70.60297180565952	70.60297180565952	-261.0849325300408,-261.0849325300408,-261.0849325300408,38.91498989533877,38.91498989533877,38.91498989533877,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,38.91491569200948,40.547908856902424,36.78317720053451,36.78317720053451,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,36.782862076193,-67.25367691352929,-67.25367691352929,-62.87954242265547,-59.01087496429427,-59.01087496429427,-57.79599713120635,-57.79599713120635,-57.79599713120635,46.240541858515925,46.240541858515925,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676,46.240450480149676	0.9952702129681755	46.240541858515925	10	true	777
31	18	18	100	58104	591624	4732992	0	0	48.068566384062194	48.167263081856035	69.91043451677571	70.16884227361079	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,32.108147705175966,46.44517735012711,46.44517735012711,46.44517735012711,46.44497920611873,48.167263081856035,48.167263081856035,48.167263081856035,48.167263081856035,48.167263081856035,48.167263081856035,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,40.459280121750815,40.459280121750815,40.459280121750815,40.459280121750815,40.459280121750815,40.459280121750815,40.459280121750815,40.459280121750815,40.459280121750815,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,44.6831198853787,48.068566384062194,48.068566384062194,48.068566384062194,48.068566384062194,48.068566384062194,48.068566384062194,48.068566384062194	0.9952147228050682	48.167263081856035	10	true	520
32	18	18	100	57939	588456	4707648	0	0	41.44134001805233	41.53042001535245	64.89747758720924	65.00791939873984	21.783916171290628,21.783916171290628,21.783916171290628,21.783916171290628,21.783874986923735,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.78381240265587,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,21.783745807711725,24.671234609532853,26.59206793113566,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,27.627306343187215,25.28830656502039,25.28830656502039,30.463153998168295,33.24582413839085,33.24582413839085,33.24582413839085,33.24582413839085,33.24582413839085,33.24582413839085,33.24582413839085,33.24582413839085,35.19048619849922,39.191420237185625,39.191420237185625,39.191420237185625,41.53042001535245,41.53042001535245,41.53042001535245,41.53042001535245,41.53042001535245,41.53042001535245,41.4746205940951,41.44134001805233,41.44134001805233,41.44134001805233,41.44134001805233,41.44134001805233	0.9948311168948906	41.53042001535245	12	true	624
33	19	19	100	59716	604692	4837536	0	0	28.117415441659347	28.117719943680683	65.73381764549272	65.73381764549272	4.455069002110633,4.455069002110633,4.455069002110633,4.455069002110633,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.454976048899837,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,4.45496262674412,11.387935873205862,13.591631046533308,13.591631046533308,13.591631046533308,13.591631046533308,13.591631046533308,13.591631046533308,13.591631046533308,18.979319030190155,18.979319030190155,23.86961798943952,23.86961798943952,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117719943680683,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347,28.117415441659347	0.9941695118474059	28.117719943680683	14	true	527
34	22	22	100	63020	620532	4964256	0	0	9.250930169065064	46.54726133840805	69.99529126483422	71.6389169798692	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,6.152387228422725,6.152387228422725,6.152387228422725,6.152387228422725,6.152387228422725,6.152387228422725,6.152387228422725,6.152387228422725,6.152387228422725,6.152214644952295,6.152214644952295,6.152214644952295,6.152214644952295,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,6.152028462713858,10.216516911711757,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682356510206972,15.682270466868346,15.682270466868346,15.682270466868346,15.682270466868346,21.68598179533975,31.917773618822856,36.14334139476461,36.14334139476461,36.14334139476461,46.54726133840805,46.54726133840805,46.54726133840805,46.54726133840805,46.54726133840805,43.818169947610585,33.75555386350226,27.17145164702926,27.17145164702926,27.17145164702926,27.17145164702926,27.17145164702926,27.17145164702926,27.17145164702926,27.17145164702926,27.17145164702926,23.03342623624186,23.03342623624186,17.295972148069666,17.295972148069666,17.295972148069666,17.295972148069666,17.295972148069666,17.295972148069666,17.295972148069666,17.295972148069666,17.295972148069666,9.250930169065064	0.993745695674107	46.54726133840805	12	true	657
