# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 21
# run: dd84f377-1664-486c-807f-286f7a1dc439
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	19	5039	9690	77520	0	0	-1653.0834554721844	-1653.0834554721844	-1653.0834554721844	-1653.0834554721844	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1655.050736570913,-1655.050736570913,-1653.0834554721844,-1653.0834554721844	0.9960270797844731	-1653.0834554721844	1	true	282
26	16	16	5	1312	2550	20400	0	0	-1644.203924137401	-1644.203924137401	-1644.203924137401	-1644.203924137401	-Infinity,-1645.9593414854658,-1645.9593414854658,-1644.203924137401,-1644.203924137401	0.9958381646573722	-1644.203924137401	0	true	28
27	16	16	16	4045	8160	65280	0	0	-1644.7182593339066	-1644.7182593339066	-1644.7182593339066	-1644.7182593339066	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1645.548208868388,-1645.548208868388,-1645.548208868388,-1645.548208868388,-1645.548208868388,-1645.548208868388,-1644.7182593339066,-1644.7182593339066	0.9954268136656409	-1644.7182593339066	0	true	33
28	16	16	5	1245	2550	20400	0	0	-1642.8850032082394	-1642.8850032082394	-1642.8850032082394	-1642.8850032082394	-Infinity,-Infinity,-Infinity,-1642.8850032082394,-1642.8850032082394	0.9954268136656409	-1642.8850032082394	0	true	25
29	18	18	26	6310	13260	106080	0	0	-851.4783198518502	-851.4783198518502	-851.4783198518502	-851.4783198518502	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-949.3008998842549,-949.3008998842549,-949.3008998842549,-949.2782596443117,-949.2782596443117,-949.2782596443117,-949.2782596443117,-949.2782596443117,-949.2782596443117,-949.2782596443117,-949.2782596443117,-851.4783198518502,-851.4783198518502	0.9952702129681755	-851.4783198518502	0	true	40
30	18	18	12	2856	6120	48960	0	0	-851.5913720388578	-851.5913720388578	-851.5913720388578	-851.5913720388578	-854.8215257357087,-853.669683509417,-853.669683509417,-853.669683509417,-853.1656568618615,-853.1656568618615,-853.1656568618615,-853.1656568618615,-852.3914247069199,-852.3914247069199,-851.5913720388578,-851.5913720388578	0.9948311168948906	-851.5913720388578	0	true	25
31	19	19	10	2245	5100	40800	0	0	-652.1062514560008	-652.1062514560008	-652.1062514560008	-652.1062514560008	-Infinity,-Infinity,-Infinity,-Infinity,-703.1052978811462,-704.0442968302647,-704.0442968302647,-654.044296945245,-652.1062514560008,-652.1062514560008	0.994524166368136	-652.1062514560008	0	true	26
32	21	21	10	2220	5100	40800	0	0	-649.845265547099	-649.845265547099	-649.845265547099	-649.845265547099	-654.910694615249,-653.5131539928766,-653.5131539928766,-653.5131539928766,-653.5131539928766,-652.2842024069382,-650.0232810382561,-650.0232810382561,-649.845265547099,-649.845265547099	0.9937941673185605	-649.845265547099	2	true	24
33	23	23	68	14287	34680	277440	0	0	-646.6008400967576	-646.6008400967576	-646.6008400967576	-646.6008400967576	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-648.2730974093191,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-647.524243733616,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.7741124170622,-646.6008400967576,-646.6008400967576	0.9930914746931229	-646.6008400967576	0	true	56
34	24	24	22	4620	11220	89760	0	0	-645.2929095751725	-645.2929095751725	-645.2929095751725	-645.2929095751725	-646.5268297741711,-646.5268297741711,-646.5268297741711,-646.5268297741711,-645.9582574434041,-645.9582574434041,-645.9582574434041,-645.9582574434041,-645.9582574434041,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.4841167372646,-645.2929095751725,-645.2929095751725	0.9927890204048807	-645.2929095751725	0	true	29
