# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 5
# run: de51f033-cfa7-45d9-8d02-da6e42f106df
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	75000	331848	2654784	0	0	-381.8811882187398	-381.8811882187398	-29.05010123972432	-29.05010123972432	-1169.1463155321762,-1169.1463155321762,-1169.1463155321762,-969.1467428410514,-969.1467862901144,-969.1467862901144,-970.4566480126755,-974.5251383726712,-974.5252717955519,-974.5252717955519,-974.5252717955519,-974.5252717955519,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-674.6749112791255,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-974.6750323699454,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-674.6751035888436,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-883.0901556891265,-873.3873761489034,-869.3629961555156,-869.3629961555156,-868.1026467854663,-868.1026467854663,-868.9761687390289,-868.9761687390289,-868.9761687390289,-868.9761687390289,-868.9761687390289,-777.2953933994947,-581.2060358085134,-476.81534478860823,-381.8811882187398,-381.8811882187398,-381.8811882187398,-381.8811882187398,-381.8811882187398,-381.8811882187398	0.9964541127788218	-381.8811882187398	5	true	872
26	15	15	100	74600	330660	2645280	0	0	-377.7069766192814	-377.7069766192814	-26.26333913717781	-26.26333913717781	-1167.1752260613878,-1167.1752260613878,-1167.1752260613878,-667.1755603733912,-667.1755939283945,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-667.1756329847135,-472.7217702138689,-472.7217702138689,-472.7217702138689,-472.7217702138689,-472.7217702138689,-472.7217702138689,-472.7217702138689,-377.7069766192814,-377.7069766192814,-377.7069766192814,-377.7069766192814,-377.7069766192814,-377.7069766192814,-377.7069766192814,-377.7069766192814,-377.7069766192814,-377.7069766192814	0.9963744964578416	-377.7069766192814	5	true	273
27	15	15	100	75800	330660	2645280	0	0	-376.5539246009131	-376.5539246009131	-25.09102403381533	-25.09102403381533	-1165.9602402753762,-1165.9602402753762,-1165.9602402753762,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-665.9605073108835,-566.6924912501302,-469.4296530205431,-471.5684896893317,-471.5684896893317,-471.5684896893317,-471.5684896893317,-471.5684896893317,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131,-376.5539246009131	0.9960270797844731	-376.5539246009131	5	true	273
28	15	15	100	77000	329472	2635776	0	0	-Infinity	-218.5057945659284	-Infinity	-58.55521524755177	-664.9462000927373,-664.9462000927373,-664.9462000927373,-664.9463486011493,-664.9463486011493,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-664.9467854382605,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-714.9470965347033,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-614.9474966368239,-615.0367652230698,-615.0367652230698,-615.0367652230698,-715.0365200765348,-717.0437050576456,-717.0437050576456,-717.0437050576456,-617.0434977083423,-317.04347755406263,-317.04347755406263,-317.04347755406263,-318.5054120664526,-318.5054120664526,-318.5054120664526,-318.5054120664526,-318.5054120664526,-318.5054120664526,-222.7364752720835,-222.7364752720835,-222.7364752720835,-222.7364752720835,-222.7364752720835,-222.7364752720835,-222.7364752720835,-218.5057945659284,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-218.5057945659284	4	true	357
29	16	16	100	80800	340164	2721312	0	0	-Infinity	-216.05353380546262	-Infinity	-157.66405005151447	-665.7857869138048,-665.7857869138048,-665.7857869138048,-665.78591814004,-665.7859453429768,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-665.7861854655595,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-715.7865218318503,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-615.7869169383383,-715.7866727073707,-715.7866727073707,-714.0182827744103,-414.0181689646684,-414.0181689646684,-414.0181689646684,-314.0179741219023,-314.0179741219023,-314.0179741219023,-314.0179741219023,-317.51418614309983,-317.51418614309983,-317.51418614309983,-317.51418614309983,-317.51418614309983,-317.51418614309983,-317.51418614309983,-217.51452636408953,-217.51452636408953,-217.51452636408953,-216.05353380546262,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-216.05353380546262	4	true	276
30	16	16	100	80800	339768	2718144	0	0	-365.1950102529409	-364.8420101443974	-9.00733297876278	-109.36325220459346	-668.1036656441765,-668.1036656441765,-668.1036656441765,-668.1036656441765,-668.1036656441765,-664.8418440217367,-664.8418440217367,-664.8418440217367,-664.8418440217367,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-364.8420101443974,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409,-365.1950102529409	0.9954268136656409	-364.8420101443974	4	true	268
31	17	17	100	79200	334224	2673792	0	0	-363.8560297028353	-363.0201609515727	-8.286732948057722	-8.286732948057722	-669.716639141303,-669.716639141303,-669.716639141303,-669.7167411682761,-669.7167411682761,-369.71683361686894,-369.71683361686894,-369.71683361686894,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.7168634448361,-369.71683361686894,-369.71683361686894,-369.71683361686894,-369.71683361686894,-369.71683361686894,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.2945645891109,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-473.29465994622615,-369.7169289739842,-369.7169289739842,-369.7169289739842,-369.7169289739842,-369.7169289739842,-369.7169289739842,-369.7169289739842,-369.7169289739842,-365.98813979593194,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.0201609515727,-363.8560297028353,-363.8560297028353,-363.8560297028353,-363.8560297028353,-363.8560297028353,-363.8560297028353,-363.8560297028353,-363.8560297028353	0.9952876130456717	-363.0201609515727	3	true	354
32	18	18	100	76000	339768	2718144	0	0	-275.9595124303469	-64.15222580849783	43.924252276522	43.92632894076087	-175.752462973978,-175.752462973978,-175.752462973978,-175.75288479897867,-175.75288479897867,-75.75295620941539,-75.75295620941539,-75.75295620941539,-75.75295620941539,-75.75295620941539,-79.10263711432226,-79.10263711432226,-79.10263711432226,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-79.10272942659724,-277.46998248491565,-277.46998248491565,-277.46998248491565,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-273.4230956991689,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-277.4915961208119,-177.491503808537,-177.491503808537,-177.491503808537,-73.42300338689401,-73.42300338689401,-73.42300338689401,-73.42300338689401,-73.42300338689401,-73.42300338689401,-73.42300338689401,-73.42300338689401,-73.42300338689401,-79.35274252411949,-79.35274252411949,-79.35274252411949,-79.35274252411949,-79.35274252411949,-75.55289583307756,-75.55289583307756,-75.55289583307756,-72.41995359133242,-72.41995359133242,-64.15222580849783,-64.15222580849783,-64.15222580849783,-64.15222580849783,-64.15222580849783,-64.15222580849783,-64.15222580849783,-64.15222580849783,-64.15222580849783,-162.99150187928936,-262.0305655388612,-262.0305655388612,-262.0305655388612,-262.0305655388612,-262.0305655388612,-262.0305655388612,-275.9595124303469,-275.9595124303469,-275.9595124303469,-275.9595124303469	0.9949686359947655	-64.15222580849783	3	true	280
33	18	18	100	76200	341352	2730816	0	0	-Infinity	32.09517281003082	20.39307580657197	38.18910184117908	-74.74207520289197,-74.74207520289197,-74.74207520289197,25.25746308810288,25.25746308810288,25.25737464452378,25.25737464452378,25.25737464452378,25.25737464452378,25.25737464452378,21.92321168203069,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.923155824710484,21.922798876506405,21.922798876506405,19.922611884564922,19.922611884564922,19.922611884564922,19.922611884564922,19.922611884564922,19.922611884564922,-178.2945306309639,-178.2945306309639,-373.27168739130434,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-474.05506806102755,-378.1228341768291,-378.1228341768291,-378.1228341768291,-378.12277831950894,-378.12277831950894,-278.1226287358135,-278.12309982067075,-280.52723380264956,-280.52723380264956,-280.5267627177924,-280.5267627177924,-280.5267627177924,-280.5268905153853,-280.5268905153853,-276.4591243995837,-276.4591243995837,-276.4591243995837,-276.4591243995837,-276.4591243995837,-276.4591243995837,-276.4591243995837,-272.6584372286304,-272.6584372286304,-272.6584372286304,-272.6584372286304,-Infinity,-269.5265945173981,-267.1698141981177,-267.1698141981177,-267.1698141981177,-267.1698141981177,-267.1698141981177,-267.1698141981177,-165.92702165376488,32.09517281003082,32.09517281003082,32.09517281003082,32.09517281003082,32.09517281003082,28.590723231945965,28.590723231945965,28.590723231945965,18.659649451966786,18.659649451966786,18.659649451966786,19.33845545696601,20.392601554567293,-Infinity,-Infinity	0.9947478816502295	32.09517281003082	2	true	276
34	18	18	100	76400	341748	2733984	0	0	-567.5504431911345	-74.43696449087274	30.553984826690094	27.229905437456893	-Infinity,-Infinity,-Infinity,-74.43696449087274,-74.43700106373429,-74.43700106373429,-74.43700106373429,-74.43700106373429,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74503811570263,-77.74549826667386,-77.74549826667386,-77.74549826667386,-77.74549826667386,-77.74549826667386,-77.74549826667386,-79.74566117767246,-79.74566117767246,-79.74566117767246,-79.74566117767246,-79.74566117767246,-79.74566117767246,-277.78439315043613,-277.78439315043613,-277.78439315043613,-475.50282509412426,-574.4693671649677,-574.4693671649677,-574.4693671649677,-574.4693671649677,-574.4693671649677,-574.4693671649677,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-480.3542120333095,-485.7267205717582,-485.7267205717582,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-480.8152712703909,-476.5154268215227,-476.5154268215227,-476.5154268215227,-476.5154268215227,-469.6670244231036,-469.6670244231036,-565.611878286091,-565.611878286091,-565.611878286091,-565.611878286091,-565.611878286091,-565.611878286091,-565.611878286091,-565.611878286091,-565.611878286091,-565.611878286091,-565.5808228258693,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345,-567.5504431911345	0.9943932271294993	-74.43696449087274	4	true	250
