# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 2
# run: df2e470e-1236-43d7-805f-d00bdf67ba6e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	21	5567	10710	85680	0	0	-1652.0698340421584	-1652.0698340421584	-1652.0698340421584	-1652.0698340421584	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1652.0698340421584,-1652.0698340421584	0.9961066961054532	-1652.0698340421584	1	true	335
26	15	15	8	2103	4080	32640	0	0	-1647.8583741855791	-1647.8583741855791	-1647.8583741855791	-1647.8583741855791	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.8583741855791,-1647.8583741855791	0.9960270797844731	-1647.8583741855791	1	true	35
27	15	15	6	1530	3060	24480	0	0	-1646.106581763517	-1646.106581763517	-1646.106581763517	-1646.106581763517	-Infinity,-Infinity,-Infinity,-Infinity,-1646.106581763517,-1646.106581763517	0.9960270797844731	-1646.106581763517	1	true	27
28	16	16	4	1004	2040	16320	0	0	-1642.093565167141	-1642.093565167141	-1642.093565167141	-1642.093565167141	-Infinity,-Infinity,-1642.093565167141,-1642.093565167141	0.9958381646573722	-1642.093565167141	0	true	27
29	16	16	15	3582	7650	61200	0	0	-1642.8654858305208	-1642.8654858305208	-1642.8654858305208	-1642.8654858305208	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1643.67474747012,-1643.67474747012,-1642.8654858305208,-1642.8654858305208	0.9954268136656409	-1642.8654858305208	0	true	30
30	18	18	32	7488	16320	130560	0	0	-849.9838053121267	-849.9838053121267	-849.9838053121267	-849.9838053121267	-1541.6634824832618,-1541.6634824832618,-1441.808267181826,-1342.6661421331623,-1342.6661421331623,-1342.6661421331623,-1342.6661421331623,-1244.7640489297314,-1244.7640489297314,-1145.7679040676085,-1047.7345096519834,-1047.7345096519834,-1047.7345096519834,-949.8452093322927,-949.0457390904818,-949.0457390904818,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-948.9037038182463,-849.9838053121267,-849.9838053121267	0.9952702129681755	-849.9838053121267	0	true	34
31	18	18	10	2261	5100	40800	0	0	-848.9647087924117	-848.9647087924117	-848.9647087924117	-848.9647087924117	-898.9646954898576,-898.9646954898576,-898.9646954898576,-898.9646954898576,-898.9646954898576,-898.9646954898576,-898.9646954898576,-898.9646954898576,-848.9647087924117,-848.9647087924117	0.9952147228050682	-848.9647087924117	0	true	23
32	18	18	29	6324	14790	118320	0	0	-650.2972919079161	-650.2972919079161	-650.2972919079161	-650.2972919079161	-Infinity,-851.4870770865781,-851.4870770865781,-851.4870770865781,-751.286041767622,-751.0998061150951,-751.0998061150951,-751.0998061150951,-751.0998061150951,-751.0998061150951,-651.5008404038779,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.3417602441493,-650.2972919079161,-650.2972919079161	0.9949686359947655	-650.2972919079161	0	true	30
33	19	19	7	1485	3570	28560	0	0	-652.2300414310432	-652.2300414310432	-652.2300414310432	-652.2300414310432	-656.0405223731534,-653.7906815513234,-653.7906815513234,-653.7906815513234,-653.7906815513234,-652.2300414310432,-652.2300414310432	0.9941695118474059	-652.2300414310432	2	true	20
34	22	22	6	1248	3060	24480	0	0	-643.5195821048148	-643.5195821048148	-643.5195821048148	-643.5195821048148	-648.1953345073001,-645.3657690653192,-645.3657690653192,-644.3299588458643,-643.5195821048148,-643.5195821048148	0.993745695674107	-643.5195821048148	0	true	42
35	23	23	17	3469	8670	69360	0	0	-642.3725796715767	-642.3725796715767	-642.3725796715767	-642.3725796715767	-647.7240190716514,-644.9109001115055,-644.9109001115055,-644.9109001115055,-644.9109001115055,-644.5725819621591,-643.8040958184522,-643.8040958184522,-643.8040958184522,-643.8040958184522,-643.8040958184522,-643.0550955021756,-643.0550955021756,-643.0550955021756,-643.0550955021756,-642.3725796715767,-642.3725796715767	0.9930914746931229	-642.3725796715767	0	true	26
36	24	24	33	6534	16830	134640	0	0	-642.0646249544063	-642.0646249544063	-642.0646249544063	-642.0646249544063	-643.3115331446791,-643.3115331446791,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.9807073562795,-642.0646249544063,-642.0646249544063	0.9925791228313874	-642.0646249544063	0	true	34
37	25	25	14	2716	7140	57120	0	0	-640.7281659750014	-640.7281659750014	-640.7281659750014	-640.7281659750014	-640.9269737099146,-640.9269737099146,-640.9269737099146,-640.9269737099146,-640.7684385019678,-640.7684385019678,-640.7684385019678,-640.7684385019678,-640.7684385019678,-640.7684385019678,-640.7684385019678,-640.7684385019678,-640.7281659750014,-640.7281659750014	0.9924535937008794	-640.7281659750014	0	true	23
38	27	27	13	2430	6630	53040	0	0	-639.4057958247938	-639.4057958247938	-639.4057958247938	-639.4057958247938	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-639.4057958247938,-639.4057958247938	0.9916867474283709	-639.4057958247938	0	true	36
39	29	29	12	2161	6120	48960	0	0	-437.37510260105574	-437.37510260105574	-437.37510260105574	-437.37510260105574	-438.69333610863816,-438.69333610863816,-438.1087915451382,-438.1087915451382,-438.1087915451382,-438.1087915451382,-438.1087915451382,-438.1087915451382,-438.1087915451382,-438.1087915451382,-437.37510260105574,-437.37510260105574	0.991200788121157	-437.37510260105574	0	true	26
40	31	31	8	1414	4080	32640	0	0	-438.1406897810954	-438.1406897810954	-438.1406897810954	-438.1406897810954	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-438.5106907436418,-438.1406897810954,-438.1406897810954	0.9908558937279299	-438.1406897810954	0	true	24
41	31	31	1	172	510	4080	0	0	-437.2301181234146	-437.2301181234146	-437.2301181234146	-437.2301181234146	-437.2301181234146	0.9904783193572204	-437.2301181234146	0	true	20
42	32	32	26	4265	13260	106080	0	0	-436.9396469173491	-436.9396469173491	-436.9396469173491	-436.9396469173491	-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-438.1063412900324,-437.3644642749158,-437.3644642749158,-437.3644642749158,-437.3644642749158,-437.3644642749158,-437.3644642749158,-437.3644642749158,-437.3644642749158,-436.9396469173491,-436.9396469173491	0.9900414531257993	-436.9396469173491	0	true	32
43	32	32	6	943	3060	24480	0	0	-435.5593143812065	-435.5593143812065	-435.5593143812065	-435.5593143812065	-Infinity,-Infinity,-Infinity,-Infinity,-435.5593143812065,-435.5593143812065	0.9900414531257993	-435.5593143812065	0	true	21
44	36	36	10	1640	5100	40800	0	0	-435.71315561258984	-435.71315561258984	-435.71315561258984	-435.71315561258984	-437.31308258035983,-437.31308258035983,-437.31308258035983,-436.5131316230766,-436.5131316230766,-436.5131316230766,-436.5131316230766,-436.5131316230766,-435.71315561258984,-435.71315561258984	0.9893836132211343	-435.71315561258984	0	true	25
45	37	36	2	328	1020	8160	0	0	-435.58943643042323	-435.58943643042323	-435.58943643042323	-435.58943643042323	-435.58943643042323,-435.58943643042323	0.9892006930787169	-435.58943643042323	0	true	21
46	40	39	27	4752	13770	110160	0	0	-435.76817794920447	-435.76817794920447	-435.76817794920447	-435.76817794920447	-Infinity,-Infinity,-Infinity,-Infinity,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-436.56851956319014,-435.76817794920447,-435.76817794920447	0.988526366966172	-435.76817794920447	0	true	35
47	44	41	14	2576	7140	57120	0	0	-436.66399800724304	-436.66399800724304	-436.66399800724304	-436.66399800724304	-Infinity,-Infinity,-Infinity,-Infinity,-438.55607854831914,-437.56085838715387,-437.56085838715387,-437.56085838715387,-437.56085838715387,-437.56085838715387,-437.56085838715387,-437.56085838715387,-436.66399800724304,-436.66399800724304	0.9878168385960039	-436.66399800724304	0	true	28
48	48	46	23	4692	11730	93840	0	0	-434.15546670101173	-434.15546670101173	-434.15546670101173	-434.15546670101173	-484.4630621184169,-484.4630621184169,-484.3610068487364,-484.3610068487364,-484.3610068487364,-484.3610068487364,-484.3610068487364,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.3610839127134,-434.15546670101173,-434.15546670101173	0.9867707503235098	-434.15546670101173	0	true	36
49	50	49	32	6912	16320	130560	0	0	-434.77453854021184	-434.77453854021184	-434.77453854021184	-434.77453854021184	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-487.39951073074036,-487.39951073074036,-486.6000453556104,-486.6000453556104,-486.6000453556104,-486.6000453556104,-486.6000453556104,-486.6000453556104,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-435.61180939962566,-434.77453854021184,-434.77453854021184	0.986053289565071	-434.77453854021184	0	true	40
50	52	47	6	1248	3060	24480	0	0	-436.81791168435694	-436.81791168435694	-436.81791168435694	-436.81791168435694	-Infinity,-Infinity,-Infinity,-Infinity,-436.81791168435694,-436.81791168435694	0.9857748152155632	-436.81791168435694	0	true	24
