# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 5
# run: dfeb2482-0c8f-4439-b2a9-ba4327328fcf
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	8	2112	1840	14720	0	0	-1165.0560288142715	-1165.0560288142715	-1165.0560288142715	-1165.0560288142715	-1365.1574896339432,-1265.162548682988,-1265.162548682988,-1265.162548682988,-1166.9976485344064,-1166.9976485344064,-1165.0560288142715,-1165.0560288142715	0.9964541127788218	-1165.0560288142715	0	true	138
26	15	15	1	262	230	1840	0	0	-1160.6554447669307	-1160.6554447669307	-1160.6554447669307	-1160.6554447669307	-1160.6554447669307	0.9963744964578416	-1160.6554447669307	0	true	17
27	15	15	1	256	230	1840	0	0	-1159.312081022033	-1159.312081022033	-1159.312081022033	-1159.312081022033	-1159.312081022033	0.9960270797844731	-1159.312081022033	0	true	12
28	15	15	6	1524	1380	11040	0	0	-1158.189446279611	-1158.189446279611	-1158.189446279611	-1158.189446279611	-1158.2964416664067,-1158.278006823241,-1158.278006823241,-1158.278006823241,-1158.189446279611,-1158.189446279611	0.9960270797844731	-1158.189446279611	0	true	19
29	16	16	9	2250	2070	16560	0	0	-1156.1517382357072	-1156.1517382357072	-1156.1517382357072	-1156.1517382357072	-1209.072549429228,-1208.255958016454,-1208.255958016454,-1208.255958016454,-1208.255958016454,-1208.255958016454,-1206.9408508881754,-1156.1517382357072,-1156.1517382357072	0.995805594344244	-1156.1517382357072	0	true	24
30	16	16	7	1736	1610	12880	0	0	-1155.3330603785203	-1155.3330603785203	-1155.3330603785203	-1155.3330603785203	-1156.9840663063546,-1156.9840663063546,-1156.9840663063546,-1156.9840663063546,-1156.9840663063546,-1155.3330603785203,-1155.3330603785203	0.9954268136656409	-1155.3330603785203	0	true	15
31	17	16	8	1920	1840	14720	0	0	-1155.1822528012606	-1155.1822528012606	-1155.1822528012606	-1155.1822528012606	-1260.447621694016,-1260.447621694016,-1260.447621694016,-1257.1816658344926,-1257.1816658344926,-1257.1816658344926,-1155.1822528012606,-1155.1822528012606	0.9953376199910808	-1155.1822528012606	0	true	15
32	18	17	19	4446	4370	34960	0	0	-1155.0799944279825	-1155.0799944279825	-1155.0799944279825	-1155.0799944279825	-1156.7459435074682,-1156.7459435074682,-1156.7459435074682,-1156.7459435074682,-1156.7459435074682,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.9691596899995,-1155.0799944279825,-1155.0799944279825	0.9950186429401746	-1155.0799944279825	0	true	21
33	18	17	1	232	230	1840	0	0	-1157.794065331127	-1157.794065331127	-1157.794065331127	-1157.794065331127	-1157.794065331127	0.9947978885956386	-1157.794065331127	0	true	9
34	18	18	7	1610	1610	12880	0	0	-1155.9457124243165	-1155.9457124243165	-1155.9457124243165	-1155.9457124243165	-1207.577167089826,-1207.577167089826,-1157.5771706020205,-1157.5771706020205,-1157.5771706020205,-1155.9457124243165,-1155.9457124243165	0.9943932271294993	-1155.9457124243165	0	true	23
35	22	21	32	7296	7360	58880	0	0	-1158.2465982048805	-1158.2465982048805	-1158.2465982048805	-1158.2465982048805	-1162.2836258278671,-1162.2836258278671,-1162.2836258278671,-1162.2836258278671,-1162.2836258278671,-1159.889238545243,-1159.889238545243,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1159.140394764687,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.9284210799026,-1158.2465982048805,-1158.2465982048805	0.9934181282488065	-1158.2465982048805	0	true	17
36	23	22	10	2220	2300	18400	0	0	-1057.662099124169	-1057.662099124169	-1057.662099124169	-1057.662099124169	-1155.3282258374506,-1155.3282258374506,-1155.3282258374506,-1155.3282258374506,-1155.3282258374506,-1155.3282258374506,-1155.3282258374506,-1155.3282258374506,-1057.662099124169,-1057.662099124169	0.9932403988858102	-1057.662099124169	0	true	11
