# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 27
# run: e047cacf-7e80-438e-9189-60540e71b895
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55760	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	13	true	941
26	16	16	100	55891	623304	4986432	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9958381646573722	-Infinity	9	true	733
27	16	16	100	55823	599544	4796352	0	0	-Infinity	-Infinity	-2499.0146837386187	-2499.0146837386187	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954268136656409	-Infinity	11	true	774
28	18	18	100	56280	588852	4710816	0	0	-Infinity	-Infinity	-2438.1218644209	-2438.1218644209	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	9	true	614
29	18	18	100	56087	573012	4584096	0	0	-2432.462290376208	-2432.462290376208	-2418.1954083704263	-2418.1954083704263	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208,-2432.462290376208	0.9952147228050682	-2432.462290376208	9	true	546
30	18	18	100	56201	553212	4425696	0	0	-1077.3085189423894	-1077.3085189423894	-1033.3048922758376	-1033.3048922758376	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1089.5348604580754,-1083.2584378653175,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894,-1077.3085189423894	0.9947478816502295	-1077.3085189423894	17	true	508
31	19	19	100	56345	520146	4161168	0	0	-662.5959966348692	-662.1412481739094	-633.549167577045	-633.549167577045	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-677.1619635618299,-684.771418015084,-684.771418015084,-684.771418015084,-684.771418015084,-684.771418015084,-684.771418015084,-684.771418015084,-684.771418015084,-684.1610352990714,-684.1610352990714,-684.1610352990714,-678.487165550185,-678.487165550185,-673.1454098322414,-673.1454098322414,-670.1692060793646,-670.1692060793646,-668.8674619681345,-668.8674619681345,-668.8674619681345,-668.8674619681345,-668.7797106762499,-668.7797106762499,-668.7797106762499,-662.1412481739094,-662.1412481739094,-662.1412481739094,-662.1412481739094,-662.1412481739094,-662.1412481739094,-662.1412481739094,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692,-662.5959966348692	0.9941695118474059	-662.1412481739094	15	true	470
32	21	21	100	56818	517374	4138992	0	0	-681.1574353658625	-673.1314732797438	-628.8192233861549	-628.9422088132499	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-688.300702908707,-688.300702908707,-688.300702908707,-688.300702908707,-688.300702908707,-688.300702908707,-688.300702908707,-688.300702908707,-688.300702908707,-683.1989268993111,-683.1989268993111,-683.1989268993111,-683.1989268993111,-680.5873125057495,-680.5873125057495,-680.5873125057495,-680.5873125057495,-680.5873125057495,-680.5873125057495,-680.5873125057495,-680.5999145403019,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-683.2239682874567,-680.5999145403019,-678.4050738463989,-678.4050738463989,-678.4050738463989,-677.0082630262024,-676.3487232909808,-676.3487232909808,-676.4020326538014,-676.4020326538014,-676.4020326538014,-676.4020326538014,-676.4020326538014,-674.1963545880678,-675.369570881769,-675.369570881769,-675.369570881769,-674.7560199274864,-674.7560199274864,-674.7560199274864,-673.1314732797438,-674.7881052677695,-677.2610226447791,-677.2610226447791,-677.2610226447791,-677.2610226447791,-677.2610226447791,-677.2610226447791,-680.6532521324502,-678.3745932664316,-680.609091251458,-682.4939683307704,-682.4939683307704,-682.4939683307704,-682.4939683307704,-686.1563373089998,-686.1563373089998,-686.1563373089998,-686.1563373089998,-686.1563373089998,-686.1563373089998,-686.1563373089998,-686.1563373089998,-681.1574353658625,-681.1574353658625,-681.1574353658625,-681.1574353658625,-681.1574353658625,-681.1574353658625	0.993575679370673	-673.1314732797438	17	true	544
33	23	23	100	57392	510642	4085136	0	0	-644.6461224732959	-641.9058783571924	-618.630550360357	-618.6307123302838	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-657.7809506472594,-657.7809506472594,-652.703923588062,-652.703923588062,-652.703923588062,-652.703923588062,-650.1325802742346,-649.4289452788666,-650.2368243123269,-650.2368243123269,-650.2368243123269,-650.2368243123269,-650.2368243123269,-650.2368243123269,-650.2368243123269,-650.2368243123269,-650.2368243123269,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-652.9534865306009,-648.0826061724401,-648.0826061724401,-641.9058783571924,-641.9058783571924,-641.9058783571924,-641.9058783571924,-642.1431949933891,-642.1431949933891,-642.1431949933891,-642.1431949933891,-642.1431949933891,-642.1431949933891,-642.1431949933891,-642.1431949933891,-642.1431949933891,-642.1431949933891,-644.4139296585008,-644.4139296585008,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-647.2560280980254,-644.4005996640685,-644.4005996640685,-644.4005996640685,-644.4005996640685,-644.4005996640685,-644.4005996640685,-644.6461224732959,-644.6461224732959,-644.6461224732959,-644.6461224732959,-644.6461224732959,-644.6461224732959,-644.6461224732959,-644.6461224732959,-644.6461224732959,-644.6461224732959	0.9930914746931229	-641.9058783571924	13	true	659
34	24	24	100	57594	501336	4010688	0	0	-640.212150067367	-640.212150067367	-618.5888573454301	-618.5888573454301	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-640.4283886656456,-640.4283886656456,-640.4283886656456,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367,-640.212150067367	0.9925791228313874	-640.212150067367	13	true	478
