# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 14
# run: e1b7e444-0e52-46b0-8d91-e2a18dce076e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	40	16626	15200	121600	0	0	-113.96737847648643	-113.96737847648643	-113.96737847648643	-113.96737847648643	-1369.1837890740862,-Infinity,-Infinity,-Infinity,-413.3976762526989,-413.3976762526989,-413.3976762526989,-413.3976762526989,-413.39361878871387,-413.39361878871387,-413.39361878871387,-413.39361878871387,-413.38345026145896,-313.38352560561225,-313.38352560561225,-313.38352560561225,-213.3836197959986,-114.07940415879418,-114.07940415879418,-114.07940415879418,-114.07940415879418,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.98239722359355,-113.96737847648643,-113.96737847648643	0.9968457241868389	-113.96737847648643	0	true	354
26	15	15	8	3216	3040	24320	0	0	-108.81661342807891	-108.81661342807891	-108.81661342807891	-108.81661342807891	-109.47720444612068,-109.47720444612068,-109.47720444612068,-109.47720444612068,-109.47720444612068,-109.47720444612068,-108.81661342807891,-108.81661342807891	0.9960270797844731	-108.81661342807891	0	true	49
27	15	15	1	408	380	3040	0	0	-107.4432537999884	-107.4432537999884	-107.4432537999884	-107.4432537999884	-107.4432537999884	0.9960270797844731	-107.4432537999884	0	true	19
28	15	15	22	9302	8360	66880	0	0	-106.38612778090585	-106.38612778090585	-106.38612778090585	-106.38612778090585	-206.4597248634281,-206.4597248634281,-206.4597248634281,-206.38611885016354,-206.38611885016354,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.84432364872436,-106.38612778090585,-106.38612778090585	0.9960270797844731	-106.38612778090585	0	true	80
29	16	16	22	8926	8360	66880	0	0	-55.98100800149506	-55.98100800149506	-55.98100800149506	-55.98100800149506	-57.6155604534337,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-56.798354605348315,-55.98100800149506,-55.98100800149506	0.995805594344244	-55.98100800149506	0	true	92
30	16	15	7	2812	2660	21280	0	0	-58.86214768231278	-58.86214768231278	-58.86214768231278	-58.86214768231278	-158.86156686757406,-108.86162556648299,-108.86162556648299,-108.86162556648299,-108.86162556648299,-58.86214768231278,-58.86214768231278	0.99547682061105	-58.86214768231278	0	true	31
31	17	16	23	9131	8740	69920	0	0	-55.29600634988299	-55.29600634988299	-55.29600634988299	-55.29600634988299	-57.70827645373991,-57.70827645373991,-57.70827645373991,-57.70827645373991,-57.70827645373991,-57.70827645373991,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-56.10634226497342,-55.29600634988299,-55.29600634988299	0.9953376199910808	-55.29600634988299	0	true	69
32	18	17	8	3200	3040	24320	0	0	45.0393800258292	45.0393800258292	45.0393800258292	45.0393800258292	44.26170528047882,44.26170528047882,44.26170528047882,44.26170528047882,44.26170528047882,44.26170528047882,45.0393800258292,45.0393800258292	0.995074133103282	45.0393800258292	0	true	33
33	18	18	1	405	380	3040	0	0	45.766876644738886	45.766876644738886	45.766876644738886	45.766876644738886	45.766876644738886	0.9949686359947655	45.766876644738886	0	true	25
34	18	18	9	3627	3420	27360	0	0	45.58503872131528	45.58503872131528	45.58503872131528	45.58503872131528	-6.0963025317562565,-6.0963025317562565,-6.0963025317562565,-5.295881280244734,-5.295881280244734,-5.295881280244734,-4.4149573912401205,45.58503872131528,45.58503872131528	0.9948311168948906	45.58503872131528	0	true	36
