# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 6
# run: e300519f-beb7-4d83-b1df-3010313f81b0
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	89600	932976	7463808	0	0	-Infinity	-Infinity	-107.36921032489848	-107.36921032489848	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9959945094713449	-Infinity	23	true	1659
26	16	16	100	72600	951786	7614288	0	0	-447.9474761389916	-383.23389766607164	13.86463363299491	16.474559209663457	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.23389766607164,-383.2341528639451,-383.2341528639451,-585.4242128608435,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-790.8693825733893,-390.8697516297234,-390.8697516297234,-390.8697516297234,-390.8697516297234,-390.8697516297234,-390.8697516297234,-390.8697516297234,-390.8697516297234,-390.8697516297234,-390.8697516297234,-391.6338026726103,-431.43418415138177,-431.43418415138177,-431.43418415138177,-431.43418415138177,-431.43418415138177,-447.9474761389916,-447.9474761389916,-447.9474761389916,-447.9474761389916,-447.9474761389916,-447.9474761389916,-447.9474761389916,-447.9474761389916,-447.9474761389916	0.995805594344244	-383.23389766607164	17	true	1255
27	17	17	100	73093	949806	7598448	0	0	-Infinity	-Infinity	-70.45630368145791	-70.45630368145791	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9954564961507815	-Infinity	21	true	962
28	18	18	100	90000	921492	7371936	0	0	-Infinity	-Infinity	-34.54710269522726	-34.54710269522726	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	17	true	929
29	18	18	100	75200	879912	7039296	0	0	18.764606214323557	18.764606214323557	70.08025261868488	70.08025261868488	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-22.805836407568364,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-30.562513538055068,-25.171357731110472,-20.2376409842037,-17.845127078970457,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-17.35009512046067,-0.9854870287321553,16.38541491588425,17.23176766740585,18.764606214323557,18.764606214323557,18.764606214323557	0.9947478816502295	18.764606214323557	19	true	972
30	18	18	100	74022	810216	6481728	0	0	40.62538356528436	40.62538356528436	72.98493788134675	72.98493788134675	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,23.149791047359237,1.2790266151762406,1.2790266151762406,1.2790266151762406,1.2790266151762406,1.2790266151762406,-20.97824451003617,-20.97824451003617,-20.97824451003617,-20.97824451003617,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-25.66386449822978,-15.558484959398749,-13.285445237565346,-12.923079739734067,-12.923079739734067,-12.923079739734067,-12.923079739734067,-8.237459751540458,-8.237459751540458,-8.237459751540458,-8.237459751540458,-8.237459751540458,-8.237459751540458,14.019811373671955,18.267536490347645,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,25.301836823145287,39.44084183790546,40.62538356528436,40.62538356528436	0.9947478816502295	40.62538356528436	17	true	870
31	22	22	100	72137	806058	6448464	0	0	59.7785787572482	59.7785787572482	83.25830849238268	83.25830849238268	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,40.48118962508759,40.48118962508759,40.48118962508759,40.48118962508759,40.48118962508759,40.48118962508759,40.48118962508759,40.48118962508759,40.48118962508759,44.00432532230585,45.82059948997918,46.39044888655985,45.789431971066286,45.789431971066286,45.789431971066286,45.789431971066286,45.789431971066286,50.31667336313732,55.42858729095891,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,54.041541487482185,55.75393342912573,55.464999823260264,53.17517299355148,56.629442217009036,58.80371408469477,58.80371408469477,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.352382709385246,59.7785787572482,59.7785787572482,59.7785787572482,59.7785787572482,59.7785787572482,59.7785787572482,59.7785787572482,59.7785787572482,59.7785787572482	0.993745695674107	59.7785787572482	13	true	1135
32	23	23	100	72724	802692	6421536	0	0	10.426468350556954	63.10463491845411	82.15331780017046	82.58561093993062	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,46.55886547001745,52.75623966439555,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,53.29843676243445,63.10463491845411,57.70231406245489,53.03259258226055,53.03259258226055,40.89079532376319,37.638268985655735,37.638268985655735,18.173119986815202,10.426468350556954,10.426468350556954,10.426468350556954	0.9931903919404012	63.10463491845411	13	true	1020
33	24	24	100	74032	793188	6345504	0	0	62.7238455909824	64.16234619356901	83.09635728888676	82.6323920691178	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,32.56810650678192,32.56810650678192,32.56810650678192,32.56810650678192,32.56810650678192,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,36.098474218020776,34.03388249443568,34.03388249443568,34.03388249443568,34.03388249443568,34.03388249443568,34.03388249443568,34.03388249443568,34.433925720713226,34.433925720713226,34.433925720713226,49.40953608422986,52.952932432307705,54.26279318337548,54.23120138163219,54.23120138163219,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,54.28994952026005,58.64481904786952,62.40670202810138,64.16234619356901,64.16234619356901,64.16234619356901,64.16234619356901,63.85701228722017,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824,62.7238455909824	0.9929675539731397	64.16234619356901	13	true	780
34	26	26	100	76361	795564	6364512	0	0	76.1538805477436	77.78651706706867	88.50744838401721	88.50966006897471	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,54.550648136542264,59.16224094636103,61.18450487775755,61.18450487775755,61.18450487775755,61.18450487775755,61.18450487775755,61.18450487775755,61.18450487775755,61.18450487775755,61.18450487775755,61.18450487775755,60.20362344434159,60.20362344434159,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,57.88960639465561,61.00033628493521,61.00033628493521,61.00033628493521,61.00033628493521,61.00033628493521,61.00033628493521,61.00033628493521,65.36418501115035,71.62997703361883,69.54096114966057,69.54096114966057,69.54096114966057,69.54096114966057,69.54096114966057,69.54096114966057,71.34554680030261,71.34554680030261,69.97784048632383,69.97784048632383,69.97784048632383,69.97784048632383,69.97784048632383,69.97784048632383,69.97784048632383,69.97784048632383,69.97784048632383,69.97784048632383,71.69401534659815,71.69401534659815,71.69401534659815,68.78040159373167,68.78040159373167,68.78040159373167,68.78040159373167,68.78040159373167,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.69401534659815,71.36823354912065,71.36823354912065,72.41946954001884,72.41946954001884,77.78651706706867,75.8280987502661,75.8280987502661,76.1538805477436,76.1538805477436,76.1538805477436	0.9923350099794561	77.78651706706867	9	true	845
