# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: e3762244-3d0a-4f8b-9380-396b64e6fcff
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	28	16619	116480	931840	0	0	-187.40028811552332	-187.40028811552332	-187.40028811552332	-187.40028811552332	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-189.69901956578403,-189.69901956578403,-189.69901956578403,-188.71300178482142,-188.71300178482142,-187.74365256686536,-187.74365256686536,-187.74365256686536,-187.40028811552332,-187.40028811552332	0.9960270797844731	-187.40028811552332	8	false	1691
26	15	15	14	7671	58240	465920	0	0	-75.73465849705559	-75.73465849705559	-75.73465849705559	-75.73465849705559	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-75.73465849705559,-75.73465849705559	0.9960270797844731	-75.73465849705559	8	false	666
27	16	16	31	16507	128960	1031680	0	0	-116.63718375416266	-116.63718375416266	-116.63718375416266	-116.63718375416266	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-117.11431439506825,-117.11431439506825,-117.11431439506825,-117.11431439506825,-117.11431439506825,-117.11431439506825,-117.11431439506825,-116.96096901523126,-116.96096901523126,-116.96096901523126,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.95824848477284,-116.63718375416266,-116.63718375416266	0.9958381646573722	-116.63718375416266	6	false	1327
28	16	16	11	5939	45760	366080	0	0	-66.74358338010336	-66.74358338010336	-66.74358338010336	-66.74358338010336	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-66.74358338010336,-66.74358338010336	0.9955956967707507	-66.74358338010336	6	false	459
29	17	17	32	16671	133120	1064960	0	0	-12.870535712434314	-12.870535712434314	-12.870535712434314	-12.870535712434314	-Infinity,-Infinity,-77.07991816628692,-77.07991816628692,-22.92087494950549,-18.8675169034763,-18.8675169034763,-18.8675169034763,-18.8675169034763,-18.8675169034763,-17.305602708853613,-17.305602708853613,-17.305602708853613,-16.32120668887144,-16.32120668887144,-16.32120668887144,-16.32120668887144,-15.756166187164194,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-13.862122886213044,-12.870535712434314,-12.870535712434314	0.9952876130456717	-12.870535712434314	5	false	1100
30	18	18	7	3514	29120	232960	0	0	-6.764969784398437	-6.764969784398437	-6.764969784398437	-6.764969784398437	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-6.764969784398437,-6.764969784398437	0.9952702129681755	-6.764969784398437	4	false	402
31	18	18	20	9644	83200	665600	0	0	85.67920105632706	85.67920105632706	85.67920105632706	85.67920105632706	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,85.67920105632706,85.67920105632706	0.9948854007501045	85.67920105632706	5	false	601
32	18	18	24	11181	99840	798720	0	0	34.254389549069366	34.254389549069366	34.254389549069366	34.254389549069366	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,34.254389549069366,34.254389549069366	0.9947478816502295	34.254389549069366	5	false	588
33	20	20	45	21835	187200	1497600	0	0	36.68250326727361	36.68250326727361	36.68250326727361	36.68250326727361	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,29.714343693891706,29.714343693891706,29.714343693891706,29.714343693891706,29.714343693891706,29.714343693891706,32.1647622304654,33.91369527377527,33.91369527377527,36.44070737724388,36.44070737724388,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.5788073789513,36.68250326727361,36.68250326727361	0.9940017253858359	36.68250326727361	5	false	1050
34	22	22	52	25429	216320	1730560	0	0	41.86914789974578	41.86914789974578	41.86914789974578	41.86914789974578	38.32962258702424,41.14554479531396,41.14554479531396,36.15335811598398,37.05650319026209,37.134763933068626,37.134763933068626,39.018109839092624,39.018109839092624,39.018109839092624,39.018109839092624,39.018109839092624,37.91090005434951,38.50689615650371,39.206525570758444,40.16635335974044,40.16635335974044,40.18274340684441,40.18274340684441,40.95923571260476,40.95923571260476,40.95923571260476,40.95923571260476,40.95923571260476,41.46963712411994,41.46963712411994,41.46963712411994,41.46963712411994,41.46963712411994,41.46963712411994,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.76888385287375,41.86914789974578,41.86914789974578	0.9933979500076767	41.86914789974578	2	true	1261
