# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 1
# run: e4772c8b-597e-4e7c-ad2b-bec366b43266
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	54400	319572	2556576	0	0	-1659.5553178030275	-1657.5138941929301	-1652.245023145119	-1652.8772428896712	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1673.163608977631,-1673.163608977631,-1673.163608977631,-1673.163608977631,-1673.163608977631,-1674.4778019137618,-1669.8828222031425,-1669.8828222031425,-1669.8828222031425,-1669.8828222031425,-1666.6526332933615,-1666.6526332933615,-1669.2954136938226,-1666.7020453809134,-1666.7020453809134,-1666.7020453809134,-1666.7020453809134,-1663.4328694382766,-1663.4328694382766,-1663.4328694382766,-1663.4328694382766,-1663.4328694382766,-1663.4328694382766,-1662.7032219476287,-1662.7032219476287,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1662.6670606545892,-1663.4481213263082,-1663.4481213263082,-1663.4481213263082,-1663.4481213263082,-1663.4481213263082,-1666.0927868749009,-1666.0927868749009,-1666.0927868749009,-1666.0927868749009,-1666.0927868749009,-1666.0927868749009,-1666.0927868749009,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1664.14118542234,-1659.531110920745,-1657.5138941929301,-1657.5138941929301,-1659.5553178030275,-1659.5553178030275,-1659.5553178030275	0.9968457241868389	-1657.5138941929301	3	true	933
26	15	15	100	54200	321750	2574000	0	0	-1644.4149639504828	-1644.4149639504828	-1644.4149639504828	-1644.4149639504828	-Infinity,-Infinity,-Infinity,-Infinity,-1651.1728493231524,-1651.1728493231524,-1651.1728493231524,-1651.1728493231524,-1651.1728493231524,-1651.1728493231524,-1651.1728493231524,-1651.1728493231524,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1648.0620454640855,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1646.165326697746,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828,-1644.4149639504828	0.9961066961054532	-1644.4149639504828	0	true	488
27	15	15	100	51200	311850	2494800	0	0	-1643.7569032604652	-1643.7569032604652	-1643.7569032604652	-1643.7569032604652	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1647.4578938930201,-1644.93121998406,-1644.93121998406,-1644.93121998406,-1644.93121998406,-1644.93121998406,-1644.93121998406,-1644.93121998406,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652,-1643.7569032604652	0.9960270797844731	-1643.7569032604652	0	true	286
28	15	15	100	50800	307890	2463120	0	0	-1642.112937674595	-1642.112937674595	-1642.112937674595	-1642.112937674595	-Infinity,-Infinity,-Infinity,-1654.3163113667529,-1654.3163113667529,-1654.3163113667529,-1654.3163113667529,-1654.3163113667529,-1654.3163113667529,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1645.936501360584,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1643.2999357202725,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595,-1642.112937674595	0.9960270797844731	-1642.112937674595	0	true	252
29	15	15	100	48000	299970	2399760	0	0	-1641.3091584073084	-1641.3091584073084	-1641.3091584073084	-1641.3091584073084	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1642.4972488069425,-1642.4972488069425,-1642.4972488069425,-1642.4972488069425,-1642.4972488069425,-1642.4972488069425,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084,-1641.3091584073084	0.9960270797844731	-1641.3091584073084	0	true	254
30	15	14	100	47400	289872	2318976	0	0	-857.4625463006979	-857.4625463006979	-852.1009927603022	-852.1009927603022	-874.0919020335751,-874.0919020335751,-868.8144264189336,-868.8144264189336,-863.5818572175651,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-865.079824491351,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-861.5649903105041,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-859.960577333175,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-858.2809749453148,-857.4625463006979	0.9958260650236511	-857.4625463006979	4	true	236
31	16	16	100	46200	286308	2290464	0	0	-845.511289150686	-845.511289150686	-842.0343071192287	-842.0343071192287	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-858.8743693539507,-858.8743693539507,-858.8743693539507,-858.8743693539507,-858.8743693539507,-858.8743693539507,-854.2619648779186,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-850.2479110656524,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-847.2401352555798,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686,-845.511289150686	0.9954593839787691	-845.511289150686	2	true	222
32	18	18	100	43200	284724	2277792	0	0	-644.6689813862234	-644.6689813862234	-642.87218791475	-642.87218791475	-656.0361005536577,-656.0361005536577,-654.0457463429528,-651.4460246880624,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-654.1425697417917,-650.1099620312598,-648.670977608425,-648.670977608425,-648.670977608425,-648.670977608425,-648.670977608425,-648.670977608425,-644.6689813862234,-644.6689813862234,-644.6689813862234,-644.6689813862234,-644.6689813862234,-644.6689813862234,-644.6689813862234,-644.6689813862234,-644.6689813862234,-644.6689813862234	0.9952702129681755	-644.6689813862234	1	true	276
33	18	18	100	43000	282744	2261952	0	0	-643.216363447497	-643.216363447497	-641.7530230965723	-641.7530230965723	-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-653.1991855555092,-649.035170445938,-647.4663595030801,-647.4663595030801,-647.4663595030801,-647.4663595030801,-644.6886565835737,-644.6886565835737,-644.6886565835737,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497,-643.216363447497	0.9952147228050682	-643.216363447497	1	true	236
34	18	18	100	42600	278784	2230272	0	0	-649.3723915414237	-649.3723915414237	-645.1505487141644	-645.1505487141644	-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-658.9137888729389,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.6798500739374,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-655.7247434366808,-654.9475308902527,-654.9475308902527,-655.5216516167986,-655.5216516167986,-655.5216516167986,-653.4437164536546,-650.76954227555,-650.76954227555,-650.76954227555,-650.76954227555,-650.76954227555,-650.76954227555,-650.76954227555,-650.76954227555,-650.7254494314599,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237,-649.3723915414237	0.9949686359947655	-649.3723915414237	3	true	211
