# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 2
# run: e61b22bf-e3d0-40a0-b415-5d4836f17221
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	38	19988	104728	837824	0	0	-237.13119061035934	-237.13119061035934	-237.13119061035934	-237.13119061035934	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-237.29592515231977,-237.29592515231977,-237.27620555941414,-237.27620555941414,-237.24685468728038,-237.24685468728038,-237.2379912015492,-237.2379912015492,-237.2379912015492,-237.2379912015492,-237.2379472566544,-237.2379472566544,-237.2379472566544,-237.2379472566544,-237.2379472566544,-237.2379472566544,-237.2379472566544,-237.13119061035934,-237.13119061035934	0.9961066961054532	-237.13119061035934	3	true	1773
26	15	15	2	999	5512	44096	0	0	-179.65111734243615	-179.65111734243615	-179.65111734243615	-179.65111734243615	-179.65111734243615,-179.65111734243615	0.9960270797844731	-179.65111734243615	3	true	163
27	15	15	11	5251	30316	242528	0	0	-176.3530874927798	-176.3530874927798	-176.3530874927798	-176.3530874927798	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-176.3530874927798,-176.3530874927798	0.9960270797844731	-176.3530874927798	3	true	375
28	16	16	8	3902	22048	176384	0	0	-169.74444792016436	-169.74444792016436	-169.74444792016436	-169.74444792016436	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-169.74444792016436,-169.74444792016436	0.9958381646573722	-169.74444792016436	1	true	279
29	16	16	5	2375	13780	110240	0	0	-123.72464459881607	-123.72464459881607	-123.72464459881607	-123.72464459881607	-Infinity,-Infinity,-Infinity,-123.72464459881607,-123.72464459881607	0.9954268136656409	-123.72464459881607	2	true	338
30	18	18	10	4781	27560	220480	0	0	-117.6184611718317	-117.6184611718317	-117.6184611718317	-117.6184611718317	-122.1516389906132,-123.7306309133906,-120.744663961178,-120.744663961178,-119.81499965437193,-118.74257687909495,-117.76537615898685,-117.76537615898685,-117.6184611718317,-117.6184611718317	0.9952702129681755	-117.6184611718317	0	true	315
31	18	18	26	12205	71656	573248	0	0	-115.47536555650092	-115.47536555650092	-115.47536555650092	-115.47536555650092	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-116.57025363704399,-115.47536555650092,-115.47536555650092	0.9952147228050682	-115.47536555650092	1	true	776
32	18	18	2	923	5512	44096	0	0	-71.49889423847102	-71.49889423847102	-71.49889423847102	-71.49889423847102	-71.49889423847102,-71.49889423847102	0.9948311168948906	-71.49889423847102	1	true	124
33	19	19	31	14554	85436	683488	0	0	-72.60450819471966	-72.60450819471966	-72.60450819471966	-72.60450819471966	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-123.34805275417345,-123.34805275417345,-123.34805275417345,-123.34805275417345,-123.34805275417345,-123.23107607538103,-123.23107607538103,-73.23108006390571,-73.23108006390571,-73.23108006390571,-73.23108006390571,-73.23108006390571,-73.23108006390571,-73.23108006390571,-73.23108006390571,-72.60450819471966,-72.60450819471966	0.9941695118474059	-72.60450819471966	1	true	728
34	21	21	7	3277	19292	154336	0	0	-16.225501911237423	-16.225501911237423	-16.225501911237423	-16.225501911237423	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-16.225501911237423,-16.225501911237423	0.9939532537413823	-16.225501911237423	0	true	198
35	22	21	37	16629	101972	815776	0	0	25.625282022501263	25.625282022501263	25.625282022501263	25.625282022501263	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.460596514559857,23.460596514559857,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.617803613020246,23.903464002096822,23.903464002096822,23.903464002096822,23.903464002096822,23.903464002096822,25.625282022501263,25.625282022501263	0.9933358799833313	25.625282022501263	0	true	897
