# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 25
# run: e6316b98-5e3c-4c22-ab28-05211f8c051e
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	54400	319572	2556576	0	0	-1659.553412822951	-1657.5035197630916	-1652.2368101841298	-1652.2368101841298	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1663.4243248052755,-1663.4243248052755,-1663.4243248052755,-1663.4243248052755,-1663.4243248052755,-1663.4243248052755,-1663.4243248052755,-1662.6949007130663,-1662.6949007130663,-1662.6949007130663,-1662.6949007130663,-1663.475820453229,-1663.475820453229,-1663.475820453229,-1663.475820453229,-1663.475820453229,-1663.475820453229,-1663.4406043011763,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1666.085264639971,-1664.1387780835773,-1657.5035197630916,-1657.5035197630916,-1657.5118427522245,-1659.553412822951,-1659.553412822951,-1659.553412822951,-1659.553412822951,-1659.553412822951,-1659.553412822951	0.9968457241868389	-1657.5035197630916	3	true	839
26	15	15	100	54200	321750	2574000	0	0	-1650.112995655244	-1650.112995655244	-1646.5161321598496	-1646.5161321598496	-Infinity,-Infinity,-Infinity,-Infinity,-1651.9389158576064,-1651.9389158576064,-1651.9389158576064,-1651.9389158576064,-1651.9389158576064,-1651.9389158576064,-1651.9389158576064,-1651.9389158576064,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244,-1650.112995655244	0.9963744964578416	-1650.112995655244	2	true	613
27	15	15	100	51200	311850	2494800	0	0	-1645.859660491766	-1644.8955531185713	-1644.104845532597	-1644.2000098813712	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1647.2327711212379,-1644.8955531185713,-1644.8955531185713,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766,-1645.859660491766	0.9960270797844731	-1644.8955531185713	1	true	406
28	15	15	100	51000	309870	2478960	0	0	-1644.1005535521867	-1643.3322261124208	-1642.4217641681546	-1642.6363630877925	-Infinity,-Infinity,-1654.3920946704359,-1654.3920946704359,-1654.3920946704359,-1649.8715895795651,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1645.9597272916844,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1643.3322261124208,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867,-1644.1005535521867	0.9960270797844731	-1643.3322261124208	1	true	337
29	15	15	100	48000	299970	2399760	0	0	-1645.3393266970572	-1644.5712205281022	-1643.6608834479339	-1643.8715607999832	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1650.8400904607095,-1650.8400904607095,-1650.8400904607095,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1648.2123485160862,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1644.5712205281022,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572,-1645.3393266970572	0.9959945094713449	-1644.5712205281022	1	true	430
30	16	16	100	47400	298188	2385504	0	0	-855.6062995237958	-855.6062995237958	-851.1141110590269	-851.1141110590269	-868.8467598549884,-868.8467598549884,-868.8467598549884,-868.8467598549884,-863.5886331994619,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-865.0827604866017,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-861.565907697633,-859.964891906554,-859.964891906554,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-856.3498863758861,-855.6062995237958,-855.6062995237958,-855.6062995237958,-855.6062995237958,-855.6062995237958,-855.6062995237958,-855.6062995237958	0.9954268136656409	-855.6062995237958	4	true	304
31	17	17	100	46200	290466	2323728	0	0	-648.4101837231048	-648.4101837231048	-647.5372083880117	-647.5372083880117	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-653.5935637947362,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-651.7902544357885,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-650.1589779552158,-649.0907620394293,-649.0907620394293,-649.0907620394293,-649.0907620394293,-649.0907620394293,-648.4101837231048	0.9952876130456717	-648.4101837231048	1	true	297
32	18	18	100	43400	286704	2293632	0	0	-659.8965985620641	-657.7504177781412	-650.7122139090822	-650.7406740603426	-669.1934568674299,-669.1934568674299,-669.1934568674299,-669.1934568674299,-669.1934568674299,-657.7504177781412,-657.7504177781412,-657.7504177781412,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641,-659.8965985620641	0.9949686359947655	-657.7504177781412	5	true	477
33	18	18	100	43000	282744	2261952	0	0	-655.5469429469731	-655.5469429469731	-649.7501429489663	-649.7501429489663	-657.5466427371067,-657.5466427371067,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731,-655.5469429469731	0.9948854007501045	-655.5469429469731	5	true	299
34	18	18	100	42800	280764	2246112	0	0	-653.2688925475961	-650.9138942446731	-647.3258994966427	-648.2398459060666	-658.742850374443,-658.742850374443,-658.742850374443,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-660.0322085497471,-661.0101564013555,-661.0101564013555,-661.0101564013555,-661.0101564013555,-661.0101564013555,-657.417946631845,-657.417946631845,-657.417946631845,-654.9331505766984,-654.9331505766984,-653.7336542074984,-653.7336542074984,-653.7336542074984,-653.7336542074984,-653.7336542074984,-653.7336542074984,-653.7336542074984,-653.7336542074984,-653.7336542074984,-650.9138942446731,-651.5293368729026,-651.5293368729026,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961,-653.2688925475961	0.9945946805477371	-650.9138942446731	3	true	307
