# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 6
# run: e91adf18-fb1c-4821-8e0c-7a68f11d8c8d
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	80	40812	220480	1763840	0	0	-241.1973941984527	-241.1973941984527	-241.1973941984527	-241.1973941984527	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-243.1918675157396,-243.1918675157396,-243.1918675157396,-243.1918675157396,-243.1918675157396,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.25061255436702,-242.21712716483648,-247.5189277964297,-247.80004239597133,-244.77555758588153,-243.43065103185975,-243.43065103185975,-243.43065103185975,-243.43065103185975,-243.43049997900076,-242.45315646974356,-242.45315646974356,-242.45315646974356,-241.50339619434598,-241.4625734184792,-241.4625734184792,-241.4625734184792,-241.4625734184792,-241.4625734184792,-241.4625734184792,-241.4625734184792,-241.4625734184792,-241.4625734184792,-241.26953384217651,-241.26953384217651,-241.26953384217651,-241.26953384217651,-241.26953384217651,-241.26953384217651,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.26394478544998,-241.1973941984527,-241.1973941984527	0.9959945094713449	-241.1973941984527	2	true	3081
26	16	16	5	2539	13780	110240	0	0	-228.35285670916733	-228.35285670916733	-228.35285670916733	-228.35285670916733	-Infinity,-Infinity,-Infinity,-228.35285670916733,-228.35285670916733	0.995805594344244	-228.35285670916733	1	true	532
27	17	17	6	3057	16536	132288	0	0	-224.32151346673314	-224.32151346673314	-224.32151346673314	-224.32151346673314	-Infinity,-Infinity,-Infinity,-Infinity,-224.32151346673314,-224.32151346673314	0.9954564961507815	-224.32151346673314	0	true	270
28	18	18	35	17481	96460	771680	0	0	-20.85325476844022	-20.85325476844022	-20.85325476844022	-20.85325476844022	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.93610489520949,-20.85325476844022,-20.85325476844022	0.9952702129681755	-20.85325476844022	0	true	1252
29	18	18	10	4882	27560	220480	0	0	-27.604436696268447	-27.604436696268447	-27.604436696268447	-27.604436696268447	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-27.604436696268447,-27.604436696268447	0.9947478816502295	-27.604436696268447	0	true	369
30	18	18	5	2349	13780	110240	0	0	-25.710137266974336	-25.710137266974336	-25.710137266974336	-25.710137266974336	-Infinity,-Infinity,-Infinity,-25.710137266974336,-25.710137266974336	0.9947478816502295	-25.710137266974336	0	true	206
31	22	22	25	12276	68900	551200	0	0	-17.696501934061462	-17.696501934061462	-17.696501934061462	-17.696501934061462	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-23.486297885588552,-23.486297885588552,-23.486297885588552,-19.575895767120812,-19.575895767120812,-18.383233482003956,-18.383233482003956,-18.383233482003956,-18.383233482003956,-18.383233482003956,-18.383233482003956,-18.383233482003956,-17.696572336998987,-17.696572336998987,-17.696501934061462,-17.696501934061462	0.993745695674107	-17.696501934061462	0	true	674
32	23	23	8	3969	22048	176384	0	0	-17.66673124715668	-17.66673124715668	-17.66673124715668	-17.66673124715668	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.66673124715668,-17.66673124715668	0.9931903919404012	-17.66673124715668	0	true	307
33	24	24	6	2978	16536	132288	0	0	32.88572383918424	32.88572383918424	32.88572383918424	32.88572383918424	-Infinity,-Infinity,-Infinity,-Infinity,32.88572383918424,32.88572383918424	0.9929675539731397	32.88572383918424	0	true	229
34	25	25	5	2468	13780	110240	0	0	36.02900620254128	36.02900620254128	36.02900620254128	36.02900620254128	-Infinity,-Infinity,-Infinity,36.02900620254128,36.02900620254128	0.9926321272691382	36.02900620254128	0	true	195
