# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 8
# run: e91d00ee-21f4-47c7-b083-cebfa354fa36
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	67587	772200	6177600	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	19	false	1481
26	16	16	100	67872	775170	6201360	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-Infinity	18	false	1121
27	16	16	100	67720	740520	5924160	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	16	false	884
28	17	17	100	67991	733590	5868720	0	0	-2941.7917482527805	-2941.7917482527805	-2916.0207296010317	-2916.0207296010317	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2941.7917482527805,-2941.7917482527805,-2941.7917482527805,-2941.7917482527805,-2941.7917482527805,-2941.7917482527805,-2941.7917482527805,-2941.7917482527805	0.9952876130456717	-2941.7917482527805	16	false	1026
29	18	18	100	68186	706860	5654880	0	0	-Infinity	-Infinity	-2951.1187373326793	-2951.1187373326793	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995024126157873	-Infinity	18	false	603
30	18	18	100	68281	662310	5298480	0	0	-765.6437909150316	-764.3051051672346	-731.3198101812794	-731.853839906802	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-814.1661619003258,-814.1661619003258,-814.1661619003258,-814.1661619003258,-811.1036692424492,-806.5846655198335,-806.5846655198335,-806.5846655198335,-802.4980957574288,-802.4980957574288,-802.4980957574288,-800.0741540624915,-800.0741540624915,-800.0741540624915,-800.0741540624915,-803.3364767638197,-805.7814399529706,-808.9742367454161,-808.9742367454161,-808.9742367454161,-808.9742367454161,-808.9742367454161,-808.9742367454161,-808.9742367454161,-808.9742367454161,-808.9742367454161,-808.9742367454161,-807.6006104182692,-807.6006104182692,-807.6006104182692,-807.6006104182692,-807.6006104182692,-807.6006104182692,-807.6006104182692,-807.6006104182692,-807.6006104182692,-800.6963717032144,-800.6963717032144,-789.6888727533461,-789.6888727533461,-789.6888727533461,-789.6888727533461,-789.6888727533461,-789.6888727533461,-789.6888727533461,-789.6888727533461,-783.6588076562874,-777.9361561785217,-777.9361561785217,-777.9361561785217,-772.5621253163055,-772.5621253163055,-764.3051051672346,-764.3051051672346,-764.3051051672346,-764.3051051672346,-764.3051051672346,-764.3051051672346,-764.3051051672346,-765.6437909150316,-765.6437909150316	0.9947478816502295	-764.3051051672346	20	false	783
31	20	20	100	69034	658350	5266800	0	0	-745.8077860954432	-745.8077860954432	-716.7358969730716	-716.7358969730716	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-762.4110572220313,-754.5575523184285,-754.5575523184285,-754.5575523184285,-754.5575523184285,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-746.5302029766355,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432,-745.8077860954432	0.9943563799065661	-745.8077860954432	17	true	782
32	22	22	100	69209	644490	5155920	0	0	-764.0525581674837	-764.0525581674837	-716.9756965509893	-716.9756965509893	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837,-764.0525581674837	0.9933681213033975	-764.0525581674837	22	true	680
33	23	22	100	69196	614790	4918320	0	0	-754.3793884629519	-753.7267221838352	-716.6303148125014	-715.6088280780427	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-785.9585974850654,-782.2215949291134,-782.2215949291134,-782.2215949291134,-782.2215949291134,-778.9693637632511,-775.9903559783993,-773.6012734053875,-772.2736520274482,-772.2736520274482,-772.2736520274482,-772.2736520274482,-772.2736520274482,-772.2736520274482,-770.8957628627494,-770.8957628627494,-770.8957628627494,-772.416627274888,-772.416627274888,-767.5174210350674,-763.6124475848562,-768.9282803179823,-774.6779076035378,-776.8931494493822,-776.8931494493822,-773.5251139735844,-777.5479073850879,-777.5479073850879,-772.0769501310058,-768.1662736207185,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-765.3135792015231,-762.0620357314505,-762.0620357314505,-762.0620357314505,-762.0620357314505,-762.0620357314505,-762.0620357314505,-762.0620357314505,-757.9171040280727,-757.9171040280727,-755.4186627813541,-754.0639020182149,-753.7267221838352,-754.3793884629519,-754.3793884629519,-754.3793884629519,-754.3793884629519,-754.3793884629519,-754.3793884629519,-754.3793884629519,-754.3793884629519	0.9932453337817388	-753.7267221838352	20	true	590
34	25	24	100	69605	605880	4847040	0	0	-751.3823163042147	-751.3823163042147	-707.6113259352304	-707.6113259352304	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147,-751.3823163042147	0.9928049948457754	-751.3823163042147	20	true	976
