# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 3
# run: ea2404c4-22cd-48f8-9a00-2c9c77576b0f
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	36	9655	77760	622080	0	0	-2991.3953927319826	-2991.3953927319826	-2991.3953927319826	-2991.3953927319826	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2994.91688850637,-2994.91688850637,-2994.91688850637,-2993.337978659697,-2993.218695254111,-2991.422691813235,-2991.422691813235,-2991.422691813235,-2991.3953927319826,-2991.3953927319826	0.9968457241868389	-2991.3953927319826	7	false	735
26	15	15	31	8124	66960	535680	0	0	-2978.231662784206	-2978.231662784206	-2978.231662784206	-2978.231662784206	-Infinity,-2983.463732037863,-2982.575626667988,-2982.575626667988,-2982.575626667988,-2979.4964835061924,-2979.4964835061924,-2979.4964835061924,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.4691513028993,-2978.405466760284,-2978.405466760284,-2978.405466760284,-2978.405466760284,-2978.405466760284,-2978.405466760284,-2978.405466760284,-2978.405466760284,-2978.405466760284,-2978.231662784206,-2978.231662784206	0.9964541127788218	-2978.231662784206	6	false	131
27	15	15	21	5306	45360	362880	0	0	-3027.623449485562	-3027.623449485562	-3027.623449485562	-3027.623449485562	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.630354692044,-3027.623449485562,-3027.623449485562	0.9960270797844731	-3027.623449485562	7	false	118
28	15	15	17	4183	36720	293760	0	0	-3022.6820759242537	-3022.6820759242537	-3022.6820759242537	-3022.6820759242537	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3022.6820759242537,-3022.6820759242537	0.9960270797844731	-3022.6820759242537	7	false	106
29	15	15	77	17121	166320	1330560	0	0	-1226.9764396212433	-1226.9764396212433	-1226.9764396212433	-1226.9764396212433	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1382.8702006728165,-1284.678984288715,-1235.1372615576483,-1232.0516400294,-1231.5912278154797,-1230.6425170137804,-1230.6425170137804,-1231.3932207083567,-1231.3932207083567,-1230.1163115199158,-1230.1163115199158,-1230.1163115199158,-1230.1163115199158,-1230.1163115199158,-1231.6385586956446,-1239.5845439250538,-1232.1490848079393,-1230.6776021689896,-1230.6776021689896,-1232.399586793355,-1231.3857855255314,-1230.6590643925153,-1230.6590643925153,-1230.6590643925153,-1230.6590643925153,-1230.6590643925153,-1229.56920033515,-1229.5476006555134,-1229.5476006555134,-1229.5476006555134,-1229.5476006555134,-1229.5476006555134,-1229.2855432511142,-1229.2855432511142,-1229.2855432511142,-1229.2855432511142,-1229.0735758263818,-1229.0716042977801,-1229.0716042977801,-1229.0716042977801,-1229.0716042977801,-1229.0716042977801,-1229.0716042977801,-1229.0716042977801,-1229.0716042977801,-1229.0716042977801,-1227.5747960031904,-1227.5747960031904,-1227.5465069788972,-1227.5465069788972,-1227.5465069788972,-1227.5465069788972,-1227.5465069788972,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1227.5436132364455,-1226.9764396212433,-1226.9764396212433	0.9960270797844731	-1226.9764396212433	8	false	264
30	16	16	22	4732	47520	380160	0	0	-1222.5623409306381	-1222.5623409306381	-1222.5623409306381	-1222.5623409306381	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1223.1162138613956,-1223.1162138613956,-1223.1162138613956,-1223.1162138613956,-1223.1162138613956,-1223.1162138613956,-1223.1162138613956,-1223.1162138613956,-1223.1162138613956,-1222.5623409306381,-1222.5623409306381	0.9956367112391343	-1222.5623409306381	7	false	110
31	16	14	13	2654	28080	224640	0	0	-1236.9036820193317	-1236.9036820193317	-1236.9036820193317	-1236.9036820193317	-1337.0655811295226,-1336.3516734833993,-1336.3516734833993,-1335.7266280715583,-1335.7125284419883,-1334.8646138241872,-1334.8646138241872,-1334.8646138241872,-1334.8646138241872,-1237.3337990446216,-1237.3337990446216,-1236.9036820193317,-1236.9036820193317	0.9954935992572072	-1236.9036820193317	11	false	85
32	17	17	11	2146	23760	190080	0	0	-1219.725383500469	-1219.725383500469	-1219.725383500469	-1219.725383500469	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1223.701574867755,-1221.0788336427822,-1219.7461897167868,-1219.725383500469,-1219.725383500469	0.9954094135881447	-1219.725383500469	5	false	76
33	18	18	36	6577	77760	622080	0	0	-1215.498601494484	-1215.498601494484	-1215.498601494484	-1215.498601494484	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1221.296739428099,-1221.296739428099,-1220.0470880359933,-1220.0470880359933,-1220.0470880359933,-1220.0470880359933,-1217.979639740359,-1217.979639740359,-1217.0706036629056,-1217.0706036629056,-1216.370131484887,-1216.370131484887,-1216.370131484887,-1216.370131484887,-1216.370131484887,-1216.370131484887,-1216.1643480046207,-1216.1585378942232,-1216.1585378942232,-1216.1585378942232,-1216.1585378942232,-1216.1585378942232,-1216.1585378942232,-1216.1585378942232,-1215.498601494484,-1215.498601494484	0.9949686359947655	-1215.498601494484	6	false	102
34	18	18	10	1747	21600	172800	0	0	-1314.0818574182151	-1314.0818574182151	-1314.0818574182151	-1314.0818574182151	-Infinity,-Infinity,-Infinity,-1314.0820231068167,-1314.0820231068167,-1314.0820231068167,-1314.0820231068167,-1314.0820231068167,-1314.0818574182151,-1314.0818574182151	0.9948311168948906	-1314.0818574182151	6	false	74
35	18	16	35	5687	75600	604800	0	0	-1280.0584169196622	-1280.0584169196622	-1280.0584169196622	-1280.0584169196622	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1281.1191708554927,-1282.7666827940077,-1292.77476871916,-1292.695337686952,-1287.5532334946724,-1287.5532334946724,-1286.634251923133,-1286.634251923133,-1283.5860468317117,-1282.9239900844316,-1282.9239900844316,-1281.9240425761577,-1281.9240425761577,-1281.5821752519405,-1281.444018018048,-1281.444018018048,-1281.444018018048,-1281.444018018048,-1281.444018018048,-1281.444018018048,-1281.4395346229578,-1281.4395346229578,-1281.4395346229578,-1281.4225638001633,-1280.3363596598708,-1280.3363596598708,-1280.0584169196622,-1280.0584169196622	0.9945159415415886	-1280.0584169196622	10	false	100
36	20	18	54	8427	116640	933120	0	0	-1324.428209087515	-1324.428209087515	-1324.428209087515	-1324.428209087515	-Infinity,-1327.0186470944086,-1327.1882968235134,-1327.0801436132112,-1326.2792446710152,-1326.2792446710152,-1326.2792446710152,-1326.2792446710152,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.50886903976,-1325.2369592580396,-1325.2369592580396,-1325.2369592580396,-1325.2369592580396,-1325.8020237194328,-1324.7015771169079,-1324.7015771169079,-1324.5877393965131,-1324.5877393965131,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.5153361527478,-1324.428209087515,-1324.428209087515	0.993746865427216	-1324.428209087515	7	false	119
37	22	19	29	4202	62640	501120	0	0	-1322.1843333067575	-1322.1843333067575	-1322.1843333067575	-1322.1843333067575	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1324.4680971966154,-1324.4680971966154,-Infinity,-Infinity,-1322.3225742821512,-1322.3225742821512,-1322.3225742821512,-1322.3225742821512,-1322.3225742821512,-1322.3225742821512,-1322.3225742821512,-1322.1843333067575,-1322.1843333067575	0.9935706713651752	-1322.1843333067575	7	false	87
38	22	21	37	4963	79920	639360	0	0	-812.8533880616452	-812.8533880616452	-812.8533880616452	-812.8533880616452	-Infinity,-819.2888106876047,-818.7787927774209,-818.7787927774209,-818.7787927774209,-816.0548747313396,-816.0548747313396,-816.0548747313396,-816.0548747313396,-816.0548747313396,-815.4084667766299,-820.8232465083603,-820.8232465083603,-820.8232465083603,-819.9033915163023,-819.9033915163023,-816.7922352838431,-814.5001121753376,-814.5001121753376,-813.7378266629918,-813.7378266629918,-813.7378266629918,-813.7378266629918,-813.1071397748279,-813.1071397748279,-813.1071397748279,-813.1071397748279,-813.1071397748279,-813.1071380610964,-813.1071380610964,-813.1071380610964,-813.1071380610964,-813.1071380610964,-813.1071380610964,-813.1071380610964,-812.8533880616452,-812.8533880616452	0.9934322749504683	-812.8533880616452	5	false	89
39	24	20	34	4286	73440	587520	0	0	-727.1747052907011	-727.1747052907011	-727.1747052907011	-727.1747052907011	-Infinity,-796.8558951759487,-790.8875264266516,-790.8875264266516,-790.8875264266516,-787.2027973655089,-787.2027973655089,-787.2027973655089,-786.3330760865416,-783.1592750678348,-781.141155722635,-781.141155722635,-781.141155722635,-780.3902836744862,-730.3905171365583,-729.575425376922,-729.575425376922,-729.575425376922,-729.575425376922,-729.575425376922,-729.5752809904159,-729.5752809904159,-729.5752809904159,-729.5752809904159,-729.5752809904159,-727.3121607071355,-727.1747158324197,-727.1747158324197,-727.1747158324197,-727.1747158324197,-727.1747158324197,-727.1747158324197,-727.1747052907011,-727.1747052907011	0.9929381639262762	-727.1747052907011	5	false	82
40	25	22	34	4318	73440	587520	0	0	-715.6886129108897	-715.6886129108897	-715.6886129108897	-715.6886129108897	-822.4350792466662,-822.0806033272911,-823.1828986820228,-819.4006065314026,-818.6750942907678,-817.4126880091904,-817.3819692225954,-817.3105134538893,-817.3105134538893,-767.3105439667941,-767.3105439667941,-767.3105439667941,-767.1360784053139,-765.9713914340158,-765.9713914340158,-765.9713914340158,-765.9713914340158,-765.8704756930134,-765.8704756930134,-765.8704756930134,-765.8704756930134,-765.8704756930134,-765.8704756930134,-715.8704774008838,-715.8704774008838,-715.8704774008838,-715.7886345823189,-715.7886345823189,-715.7886345823189,-715.7886345823189,-715.7886345823189,-715.7886345823189,-715.6886129108897,-715.6886129108897	0.992295969469444	-715.6886129108897	4	true	82
41	26	23	16	2096	34560	276480	0	0	-705.9824972990285	-705.9824972990285	-705.9824972990285	-705.9824972990285	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-705.9824972990285,-705.9824972990285	0.9920275111309318	-705.9824972990285	1	true	59
42	27	24	14	1890	30240	241920	0	0	-699.5566636745953	-699.5566636745953	-699.5566636745953	-699.5566636745953	-702.8750265578614,-702.8750265578614,-702.8750265578614,-702.8750265578614,-702.1720546827447,-702.1720546827447,-702.1720546827447,-701.2842863334741,-701.2842863334741,-700.4560165709721,-700.4560165709721,-700.4560165709721,-699.5566636745953,-699.5566636745953	0.9918820961975713	-699.5566636745953	1	true	55
43	27	23	11	1441	23760	190080	0	0	-705.8465911856609	-705.8465911856609	-705.8465911856609	-705.8465911856609	-708.2772103924086,-708.2772103924086,-707.2740435465731,-707.2740435465731,-707.2740435465731,-707.2740435465731,-707.2740435465731,-707.2740435465731,-707.2740435465731,-705.8465911856609,-705.8465911856609	0.9918528158150618	-705.8465911856609	3	true	52
44	28	23	8	1048	17280	138240	0	0	93.62828313433033	93.62828313433033	93.62828313433033	93.62828313433033	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,93.62828313433033,93.62828313433033	0.9914771057383698	93.62828313433033	3	true	43
45	28	22	5	635	10800	86400	0	0	92.71327327837767	92.71327327837767	92.71327327837767	92.71327327837767	91.85715358019378,91.85715358019378,91.85715358019378,92.71327327837767,92.71327327837767	0.9915131487560402	92.71327327837767	5	true	39
46	29	23	11	1441	23760	190080	0	0	95.31523045439442	95.31523045439442	95.31523045439442	95.31523045439442	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,95.31523045439442,95.31523045439442	0.9914686250283298	95.31523045439442	4	true	41
47	29	23	10	1310	21600	172800	0	0	-1.2154299732141993	-1.2154299732141993	-1.2154299732141993	-1.2154299732141993	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.2154299732141993,-1.2154299732141993	0.9914686250283298	-1.2154299732141993	4	true	43
48	29	21	11	1353	23760	190080	0	0	-106.22049158716771	-106.22049158716771	-106.22049158716771	-106.22049158716771	-Infinity,-Infinity,-Infinity,-Infinity,-109.40950920997399,-108.17329367864099,-108.17329367864099,-108.17329367864099,-108.17329367864099,-106.22049158716771,-106.22049158716771	0.991541771152426	-106.22049158716771	4	true	37
49	31	22	13	1651	28080	224640	0	0	-50.12516129427108	-50.12516129427108	-50.12516129427108	-50.12516129427108	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-50.12516129427108,-50.12516129427108	0.9915218853495735	-50.12516129427108	4	true	114
50	34	24	13	1755	28080	224640	0	0	112.56648736726784	112.56648736726784	112.56648736726784	112.56648736726784	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,112.56648736726784,112.56648736726784	0.9908162683413632	112.56648736726784	0	true	36
51	37	26	32	4576	69120	552960	0	0	119.1740202128339	119.1740202128339	119.1740202128339	119.1740202128339	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,116.51091237750877,116.51091237750877,116.51091237750877,117.19606541287266,117.19606541287266,117.19606541287266,117.19606541287266,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,118.2740684271036,119.1740202128339,119.1740202128339	0.9900853554221709	119.1740202128339	0	true	49
52	38	27	17	2499	36720	293760	0	0	123.03597127878609	123.03597127878609	123.03597127878609	123.03597127878609	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,123.03597127878609,123.03597127878609	0.9898483341984631	123.03597127878609	0	true	37
