# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 14
# run: eb1cea10-23f8-401d-8eaa-8a4d948e17ad
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-21-10-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	54400	319572	2556576	0	0	-1659.5480857056637	-1657.4975731520028	-1653.3512334538505	-1652.881492756254	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1674.4038120868643,-1673.1577741991373,-1673.1577741991373,-1673.1577741991373,-1673.1577741991373,-1673.1577741991373,-1675.0107608546982,-1675.0107608546982,-1669.9264517748143,-1669.9264517748143,-1673.0593770785604,-1667.975657923286,-1665.3823830025929,-1665.3823830025929,-1665.3823830025929,-1665.3823830025929,-1665.3823830025929,-1665.3823830025929,-1665.3823830025929,-1665.3823830025929,-1664.6526118383965,-1664.6526118383965,-1664.6526118383965,-1664.6526118383965,-1664.6526118383965,-1664.6526118383965,-1662.6620174822044,-1662.6620174822044,-1662.6620174822044,-1662.6620174822044,-1662.6620174822044,-1662.6620174822044,-1663.443156070349,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1666.0873213281752,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1664.133105852201,-1659.5228957356683,-1657.4975731520028,-1657.4975731520028,-1657.4975731520028,-1657.4975731520028,-1659.5480857056637,-1659.5480857056637	0.9968457241868389	-1657.4975731520028	3	true	850
26	15	15	100	54200	321750	2574000	0	0	-1650.2387576773774	-1650.2387576773774	-1646.5681597006073	-1646.5681597006073	-Infinity,-Infinity,-Infinity,-Infinity,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1652.0348226583128,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774,-1650.2387576773774	0.9960270797844731	-1650.2387576773774	2	true	518
27	15	15	100	51200	311850	2494800	0	0	-1646.0517345453738	-1646.0517345453738	-1644.1751650637711	-1644.1751650637711	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1647.4244587829248,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738,-1646.0517345453738	0.9960270797844731	-1646.0517345453738	1	true	313
28	15	15	100	51000	309870	2478960	0	0	-1644.456648262805	-1643.7889174068032	-1642.689538556984	-1643.093619542274	-Infinity,-Infinity,-Infinity,-1650.36911689145,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1646.4106662913075,-1643.7889174068032,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805,-1644.456648262805	0.9960270797844731	-1643.7889174068032	1	true	348
29	16	16	100	47800	302148	2417184	0	0	-1644.6209978886156	-1644.6209978886156	-1642.5487006510637	-1642.5487006510637	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1647.6877414621044,-1647.6877414621044,-1647.6877414621044,-1647.6877414621044,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156,-1644.6209978886156	0.995805594344244	-1644.6209978886156	2	true	295
30	16	16	100	47200	296208	2369664	0	0	-853.2010960819104	-853.2010960819104	-850.3129640238054	-850.3129640238054	-879.7553300491635,-879.7553300491635,-868.6244207974195,-868.6244207974195,-863.379314030714,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-864.8536228574939,-861.026758284023,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-861.3377425471793,-857.6485091773113,-857.6485091773113,-857.6485091773113,-857.6485091773113,-857.6485091773113,-857.6485091773113,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-854.7827677324192,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104,-853.2010960819104	0.9954268136656409	-853.2010960819104	3	true	282
31	17	16	100	46200	286308	2290464	0	0	-650.0023957420094	-650.0023957420094	-648.6102135693316	-648.6102135693316	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-652.4929920593144,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.8820559102277,-650.0023957420094,-650.0023957420094,-650.0023957420094,-650.0023957420094,-650.0023957420094	0.9953376199910808	-650.0023957420094	2	true	265
32	18	16	100	43400	278388	2227104	0	0	-660.272321305116	-660.272321305116	-653.4260309848067	-653.4260309848067	-675.333743178692,-675.333743178692,-675.3343528774293,-675.3343528774293,-675.3343528774293,-663.8142779771913,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-663.8973841342995,-662.6192589713777,-662.6192589713777,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-663.9113484912052,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116,-660.272321305116	0.995110980326215	-660.272321305116	5	true	254
33	18	16	100	42800	272448	2179584	0	0	-656.7109865533236	-656.7109865533236	-650.7625311283753	-650.7625311283753	-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-661.2337975001201,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236,-656.7109865533236	0.9950554901631077	-656.7109865533236	5	true	247
34	18	18	100	42600	278784	2230272	0	0	-658.2825979782573	-655.2021125627839	-647.8347231206085	-648.8866761448929	-660.0520120494868,-660.0520120494868,-660.0520120494868,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-661.3401382510132,-660.0520120494868,-660.0520120494868,-660.0520120494868,-660.0520120494868,-660.0520120494868,-660.0520120494868,-660.0520120494868,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-661.3307101310518,-658.4773494662924,-658.4773494662924,-658.4773494662924,-658.4773494662924,-658.4773494662924,-658.4773494662924,-658.4773494662924,-656.9410143164844,-656.9410143164844,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.8614995018538,-655.2021125627839,-655.2021125627839,-655.2021125627839,-656.994471776731,-656.994471776731,-656.994471776731,-656.994471776731,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573,-658.2825979782573	0.9947478816502295	-655.2021125627839	5	true	294
