# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 13
# run: eb2ce7c1-0190-45d5-9cad-382995581265
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-27-15-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	17	8574	29274	234192	0	0	-93.19369649116335	-93.19369649116335	-93.19369649116335	-93.19369649116335	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-98.21465345988847,-95.04956451982297,-95.04956451982297,-95.04956451982297,-95.04956451982297,-95.04956451982297,-95.04956451982297,-95.04956451982297,-93.19369649116335,-93.19369649116335	0.9960270797844731	-93.19369649116335	1	true	724
26	15	15	4	1847	6888	55104	0	0	-85.20574444424112	-85.20574444424112	-85.20574444424112	-85.20574444424112	-Infinity,-Infinity,-85.20574444424112,-85.20574444424112	0.9960270797844731	-85.20574444424112	1	true	135
27	16	16	13	5849	22386	179088	0	0	-80.15520706180912	-80.15520706180912	-80.15520706180912	-80.15520706180912	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-80.15520706180912,-80.15520706180912	0.9958381646573722	-80.15520706180912	0	true	363
28	16	16	4	1845	6888	55104	0	0	-131.8752520589258	-131.8752520589258	-131.8752520589258	-131.8752520589258	-Infinity,-Infinity,-131.8752520589258,-131.8752520589258	0.9955956967707507	-131.8752520589258	0	true	106
29	17	17	23	10040	39606	316848	0	0	-129.181716701145	-129.181716701145	-129.181716701145	-129.181716701145	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-129.181716701145,-129.181716701145	0.9952876130456717	-129.181716701145	0	true	474
30	18	18	3	1305	5166	41328	0	0	-77.02620773332379	-77.02620773332379	-77.02620773332379	-77.02620773332379	-77.16479688436078,-77.02620773332379,-77.02620773332379	0.9952702129681755	-77.02620773332379	0	true	87
31	18	18	18	6868	30996	247968	0	0	17.260698169643625	17.260698169643625	17.260698169643625	17.260698169643625	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,17.062373967933503,17.06252206206019,17.06252206206019,17.260698169643625,17.260698169643625	0.9948854007501045	17.260698169643625	0	true	268
32	18	18	8	3085	13776	110208	0	0	-34.598872843985156	-34.598872843985156	-34.598872843985156	-34.598872843985156	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-34.598872843985156,-34.598872843985156	0.9947478816502295	-34.598872843985156	0	true	137
33	20	20	20	7960	34440	275520	0	0	-31.522595468616974	-31.522595468616974	-31.522595468616974	-31.522595468616974	-33.49254507146402,-33.49254507146402,-33.49254507146402,-33.26431077076248,-32.225791873633085,-32.225791873633085,-33.445178159737495,-33.445178159737495,-33.445178159737495,-33.445178159737495,-33.445178159737495,-33.445178159737495,-33.445178159737495,-33.445178159737495,-33.445178159737495,-33.26431077076248,-33.26431077076248,-32.56111436574635,-31.522595468616974,-31.522595468616974	0.9940017253858359	-31.522595468616974	0	true	308
34	22	22	12	4884	20664	165312	0	0	17.843947450537787	17.843947450537787	17.843947450537787	17.843947450537787	14.410654966519399,14.410654966519399,14.410654966519399,14.410654966519399,16.049225146687053,17.843941020781475,17.843941020781475,17.843941020781475,17.843941020781475,17.843941020781475,17.843947450537787,17.843947450537787	0.9933979500076767	17.843947450537787	0	true	296
