# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 17
# run: eb681aa9-e2c0-4701-ab4a-530295a13b87
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	16	16	13	3432	2990	23920	0	0	-1164.2149287565194	-1164.2149287565194	-1164.2149287565194	-1164.2149287565194	-1365.1267909128203,-1365.1267909128203,-1363.1806276916711,-1363.1806276916711,-1363.1806276916711,-1363.1806276916711,-1363.1806276916711,-1263.1868571665025,-1263.1868571665025,-1263.1868571665025,-1263.1868571665025,-1164.2149287565194,-1164.2149287565194	0.995805594344244	-1164.2149287565194	0	true	174
26	16	16	9	2358	2070	16560	0	0	-1160.2147805486811	-1160.2147805486811	-1160.2147805486811	-1160.2147805486811	-1161.886559219026,-1161.886559219026,-1161.886559219026,-1161.886559219026,-1161.0236166265677,-1161.0236166265677,-1161.0236166265677,-1160.2147805486811,-1160.2147805486811	0.9955956967707507	-1160.2147805486811	0	true	24
27	17	17	12	3072	2760	22080	0	0	-1157.7165060943641	-1157.7165060943641	-1157.7165060943641	-1157.7165060943641	-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1158.5473908993383,-1157.7165060943641,-1157.7165060943641	0.9952876130456717	-1157.7165060943641	0	true	20
28	18	18	2	508	460	3680	0	0	-1156.7430325031282	-1156.7430325031282	-1156.7430325031282	-1156.7430325031282	-1156.7430325031282,-1156.7430325031282	0.995024126157873	-1156.7430325031282	0	true	12
29	18	18	8	2016	1840	14720	0	0	-1157.2258520041455	-1157.2258520041455	-1157.2258520041455	-1157.2258520041455	-1208.0631711836354,-1158.0631712440709,-1158.0631712440709,-1158.0631712440709,-1158.0631712440709,-1158.0631712440709,-1157.2258520041455,-1157.2258520041455	0.9947478816502295	-1157.2258520041455	0	true	16
30	20	20	14	3444	3220	25760	0	0	-1156.180055422277	-1156.180055422277	-1156.180055422277	-1156.180055422277	-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.5202128256008,-1156.180055422277,-1156.180055422277	0.9943563799065661	-1156.180055422277	0	true	18
31	22	22	20	4840	4600	36800	0	0	-1156.5250468017032	-1156.5250468017032	-1156.5250468017032	-1156.5250468017032	-1159.4604632298458,-1159.4604632298458,-1159.4604632298458,-1159.4604632298458,-1159.4604632298458,-1162.7749676254803,-1159.4858032274008,-1159.4858032274008,-1159.2875920100962,-1159.2875920100962,-1158.5173750886286,-1158.5173750886286,-1158.5173750886286,-1158.5173750886286,-1158.5173750886286,-1158.5173750886286,-1156.8192157819976,-1156.8192157819976,-1156.5250468017032,-1156.5250468017032	0.9933681213033975	-1156.5250468017032	0	true	18
32	23	23	1	236	230	1840	0	0	-1154.4054777621586	-1154.4054777621586	-1154.4054777621586	-1154.4054777621586	-1154.4054777621586	0.9931903919404012	-1154.4054777621586	0	true	10
33	25	25	35	8190	8050	64400	0	0	-1154.6365227204021	-1154.6365227204021	-1154.6365227204021	-1154.6365227204021	-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1155.4577692056948,-1154.6365227204021,-1154.6365227204021	0.992750053004438	-1154.6365227204021	0	true	23
34	26	26	9	2070	2070	16560	0	0	-1054.4195570576853	-1054.4195570576853	-1054.4195570576853	-1054.4195570576853	-1105.2510127212147,-1105.2510127212147,-1105.2510127212147,-1105.2510127212147,-1104.4195533693637,-1104.4195533693637,-1104.4195533693637,-1054.4195570576853,-1054.4195570576853	0.9921504448717292	-1054.4195570576853	0	true	11
35	28	28	1	228	230	1840	0	0	-1053.9127636202988	-1053.9127636202988	-1053.9127636202988	-1053.9127636202988	-1053.9127636202988	0.9911454807319727	-1053.9127636202988	0	true	10
36	29	29	1	226	230	1840	0	0	-1053.7889486549911	-1053.7889486549911	-1053.7889486549911	-1053.7889486549911	-1053.7889486549911	0.9911305663798331	-1053.7889486549911	0	true	12
37	30	30	1	222	230	1840	0	0	-1053.7106457239456	-1053.7106457239456	-1053.7106457239456	-1053.7106457239456	-1053.7106457239456	0.9909851514464726	-1053.7106457239456	0	true	8
38	32	32	25	5450	5750	46000	0	0	-558.4429563983789	-558.4429563983789	-558.4429563983789	-558.4429563983789	-954.8589452331671,-954.8589452331671,-855.9499001954398,-756.2421538440666,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-657.461778454495,-558.4429563983789,-558.4429563983789	0.9903938046950963	-558.4429563983789	0	true	17
39	33	33	1	216	230	1840	0	0	-557.5775543238303	-557.5775543238303	-557.5775543238303	-557.5775543238303	-557.5775543238303	0.9902148690242065	-557.5775543238303	0	true	9
