# solver: DSA
# max_time: 300000
# main_solver: DSA
# random.seed: 8
# run: ed6738a2-2fc2-4486-bb9a-7d9a59d974ed
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: official-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# dsa.probability: 0.1
# dsa.initial_target: last
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	46	12304	99360	794880	0	0	-2941.9179729809503	-2941.9179729809503	-2941.9179729809503	-2941.9179729809503	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2942.2876353436773,-2942.2876353436773,-2942.2876353436773,-2942.2876353436773,-2942.2876353436773,-2942.048009576329,-2942.048009576329,-2941.949851130935,-2941.949851130935,-2941.949851130935,-2941.949851130935,-2941.949851130935,-2941.9179729809503,-2941.9179729809503	0.9960270797844731	-2941.9179729809503	8	false	538
26	16	16	24	6306	51840	414720	0	0	-2976.092333655155	-2976.092333655155	-2976.092333655155	-2976.092333655155	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2977.799890358484,-2977.359996279266,-2977.359996279266,-2977.359996279266,-2977.359996279266,-2976.092333655155,-2976.092333655155	0.995805594344244	-2976.092333655155	6	false	135
27	16	16	6	1518	12960	103680	0	0	-3022.5851753045163	-3022.5851753045163	-3022.5851753045163	-3022.5851753045163	-Infinity,-Infinity,-Infinity,-Infinity,-3022.5851753045163,-3022.5851753045163	0.9955956967707507	-3022.5851753045163	6	false	112
28	17	17	20	4755	43200	345600	0	0	-3017.2614683174984	-3017.2614683174984	-3017.2614683174984	-3017.2614683174984	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3020.776006727728,-3020.776006727728,-3018.819577397045,-3018.819577397045,-3017.2614683174984,-3017.2614683174984	0.9952876130456717	-3017.2614683174984	5	false	112
29	18	18	18	4085	38880	311040	0	0	-2914.6549731884074	-2914.6549731884074	-2914.6549731884074	-2914.6549731884074	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2914.7759359382203,-2914.6598006167837,-2914.6598006167837,-2914.6598006167837,-2914.6598006167837,-2914.6598006167837,-2914.6598006167837,-2914.6598006167837,-2914.6550522412986,-2914.6550522412986,-2914.6549731884074,-2914.6549731884074	0.995024126157873	-2914.6549731884074	4	false	110
30	18	18	25	5390	54000	432000	0	0	-1233.663489746923	-1233.663489746923	-1233.663489746923	-1233.663489746923	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1431.195543966551,-1333.8525121305036,-1333.0247833527055,-1332.2438006583604,-1332.2438006583604,-1332.04536964287,-1332.04536964287,-1332.04536964287,-1332.04536964287,-1331.979126930641,-1331.979126930641,-1331.979126930641,-1233.663489746923,-1233.663489746923	0.9947478816502295	-1233.663489746923	10	false	118
31	20	20	9	1814	19440	155520	0	0	-1217.6571640987893	-1217.6571640987893	-1217.6571640987893	-1217.6571640987893	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1217.6571640987893,-1217.6571640987893	0.9943563799065661	-1217.6571640987893	3	true	175
32	22	22	24	4539	51840	414720	0	0	-1216.0373563524895	-1215.5420688748125	-1216.0373563524895	-1214.7424771274625	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1215.5420688748125,-1215.5420688748125,-1215.5420688748125,-1217.0678903290109,-1222.8026402158548,-1224.4825517568092,-1221.2258534991308,-1220.2935669948279,-1217.2562510342939,-1217.2298331198538,-1216.0373563524895,-1216.0373563524895	0.9933681213033975	-1215.5420688748125	4	true	105
33	23	23	42	7731	90720	725760	0	0	-1208.032815661679	-1208.032815661679	-1208.032815661679	-1208.032815661679	-Infinity,-1209.0248312993983,-1209.0248312993983,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032829136988,-1208.032815661679,-1208.032815661679	0.9931903919404012	-1208.032815661679	2	true	114
34	25	25	30	5253	64800	518400	0	0	-1203.3933063424174	-1203.3933063424174	-1203.3933063424174	-1203.3933063424174	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.393348506445,-1203.3933063424174,-1203.3933063424174	0.992750053004438	-1203.3933063424174	0	true	158
35	26	26	43	6811	92880	743040	0	0	-1200.1523448199225	-1200.1523448199225	-1200.1523448199225	-1200.1523448199225	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1201.0560324741894,-1200.1523448199225,-1200.1523448199225	0.9923350099794561	-1200.1523448199225	0	true	130
36	27	27	24	3744	51840	414720	0	0	-803.3659957495854	-803.3659957495854	-803.3659957495854	-803.3659957495854	-1006.0477304430217,-1006.0477304430217,-907.2714282679291,-808.4672098075857,-804.888488549532,-806.3271207744848,-805.9651982628458,-805.2648281996265,-804.4626970150925,-805.7111327080157,-805.7111327080157,-807.3183779543434,-806.215633199604,-804.475779869688,-803.5187938269778,-803.5187938269778,-803.5187938269778,-803.5187938269778,-803.5187938269778,-803.5187938269778,-803.5187938269778,-803.5187938269778,-803.3659957495854,-803.3659957495854	0.9914139390704847	-803.3659957495854	0	true	183
37	29	28	20	3020	43200	345600	0	0	-848.5192292720703	-848.5192292720703	-848.5192292720703	-848.5192292720703	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-849.6862958081956,-849.6862958081956,-849.6862958081956,-849.6862958081956,-849.2880363380702,-849.2880363380702,-849.2880363380702,-848.5192292720703,-848.5192292720703	0.9911805733252422	-848.5192292720703	0	true	86
38	30	29	19	2945	41040	328320	0	0	-843.831201136889	-843.831201136889	-843.831201136889	-843.831201136889	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-843.831201136889,-843.831201136889	0.9910019300926295	-843.831201136889	0	true	84
39	30	30	19	3021	41040	328320	0	0	-841.4461682423171	-841.4461682423171	-841.4461682423171	-841.4461682423171	-Infinity,-841.795435666007,-841.5476282555142,-841.5476282555142,-841.5476282555142,-841.5476282555142,-841.4462978605984,-841.4462978605984,-841.4462787366776,-841.4462787366776,-841.4462787366776,-841.4462787366776,-841.4462787366776,-841.4462787366776,-841.4462787366776,-841.4462787366776,-841.4462787366776,-841.4461682423171,-841.4461682423171	0.9909851514464726	-841.4461682423171	0	true	85
40	32	32	20	3340	43200	345600	0	0	14.276987027588131	14.276987027588131	14.276987027588131	14.276987027588131	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,14.276987027588131,14.276987027588131	0.9903527902267126	14.276987027588131	0	true	86
41	34	33	11	1881	23760	190080	0	0	16.153006578747675	16.153006578747675	16.153006578747675	16.153006578747675	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,14.403675171099245,14.403675171099245,16.153006578747675,16.153006578747675	0.9898024579437203	16.153006578747675	0	true	71
42	36	36	12	2196	25920	207360	0	0	20.17130134247957	20.17130134247957	20.17130134247957	20.17130134247957	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,19.833371384041026,19.962625991337216,19.962625991337216,20.17130134247957,20.17130134247957	0.9896949503220476	20.17130134247957	0	true	74
43	37	35	10	1790	21600	172800	0	0	17.448839487359685	17.448839487359685	17.448839487359685	17.448839487359685	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,15.232311613814176,16.089227774932148,16.089227774932148,17.448839487359685,17.448839487359685	0.9893766678120499	17.448839487359685	0	true	67
44	44	43	32	6752	69120	552960	0	0	20.982133835752826	20.982133835752826	20.982133835752826	20.982133835752826	-Infinity,16.91166936343866,17.193097315800447,17.193097315800447,17.753239711506385,17.753239711506385,17.753239711506385,17.753239711506385,17.779562342539496,17.779562342539496,17.90565683257654,17.90565683257654,17.90565683257654,17.90565683257654,17.90565683257654,18.70966302652221,19.498334341954976,19.498334341954976,19.498334341954976,20.243758799615783,20.243758799615783,20.243758799615783,20.243758799615783,20.243758799615783,20.243758799615783,20.24381482083698,20.982126794797914,20.982126794797914,20.982126794797914,20.982126794797914,20.982133835752826,20.982133835752826	0.9880060461613822	20.982133835752826	0	true	97
45	48	46	12	2676	25920	207360	0	0	23.288617649193753	23.288617649193753	23.288617649193753	23.288617649193753	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,23.288617649193753,23.288617649193753	0.9871347994238966	23.288617649193753	0	true	77
46	49	48	22	5082	47520	380160	0	0	25.148844039874238	25.148844039874238	25.148844039874238	25.148844039874238	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-25.667461590235124,24.332417976844223,-Infinity,24.332489246519284,24.332489246519284,25.148844039874238,25.148844039874238	0.9866424795841529	25.148844039874238	0	true	90
47	51	49	4	940	8640	69120	0	0	24.920244394133515	24.920244394133515	24.920244394133515	24.920244394133515	22.13391221338416,23.833723595053964,24.920244394133515,24.920244394133515	0.986086115761692	24.920244394133515	0	true	72
48	52	48	9	2079	19440	155520	0	0	20.581592005085835	20.581592005085835	20.581592005085835	20.581592005085835	14.358733261109446,14.358733261109446,16.156152747002864,16.156152747002864,18.887408402667276,19.11268605862797,19.11268605862797,20.581592005085835,20.581592005085835	0.9856147418135559	20.581592005085835	0	true	69
49	52	49	25	5875	54000	432000	0	0	-79.98008209857215	-79.98008209857215	-79.98008209857215	-79.98008209857215	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-82.48040282194262,-82.48040282194262,-82.48040282194262,-82.48040282194262,-81.68041630621374,-79.98008209857215,-79.98008209857215	0.9848666115907911	-79.98008209857215	0	true	95
50	54	51	13	3159	28080	224640	0	0	-280.06801697235045	-280.06801697235045	-280.06801697235045	-280.06801697235045	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-280.06801697235045,-280.06801697235045	0.9838846769653679	-280.06801697235045	0	true	73
51	55	52	8	1976	17280	138240	0	0	-425.7316883081993	-425.7316883081993	-425.7316883081993	-425.7316883081993	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-425.7316883081993,-425.7316883081993	0.9838343044721123	-425.7316883081993	0	true	195
52	58	54	22	5610	47520	380160	0	0	-376.92797211948243	-376.92797211948243	-376.92797211948243	-376.92797211948243	-Infinity,-Infinity,-Infinity,-Infinity,-381.8140776678123,-379.8141267263384,-379.8141267263384,-379.8141267263384,-379.8141267263384,-379.8141267263384,-379.8141267263384,-378.3706053961555,-378.3706053961555,-378.3706053961555,-378.3706053961555,-378.3706053961555,-377.5811848639247,-377.5811848639247,-377.5811848639247,-377.5811848639247,-376.92797211948243,-376.92797211948243	0.9834240501239203	-376.92797211948243	0	true	262
