# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 14
# run: ee7ab3bb-af96-44a9-a6a9-57bf07922975
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-15-5-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: yes
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	14	14	100	78400	319968	2559744	0	0	-381.88066495882924	-381.88066495882924	-29.040557309031314	-29.040557309031314	-1171.194215475688,-1171.194215475688,-1171.194215475688,-971.1946437414083,-971.1946876896898,-971.1946876896898,-972.5038121193733,-976.5723679707094,-976.5725008735377,-976.5725008735377,-976.5725008735377,-776.5725395006815,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-776.7215908457351,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-976.7217116003586,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-676.7217824867441,-779.6646396769454,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-885.1362546729208,-883.160122392065,-883.160122392065,-870.224848642381,-870.224848642381,-870.224848642381,-871.0978521067091,-871.0978521067091,-871.0978521067091,-871.0978521067091,-871.0978521067091,-872.0000047321365,-681.2661181977938,-486.25478680046797,-381.88066495882924,-381.88066495882924,-381.88066495882924,-381.88066495882924,-381.88066495882924,-381.88066495882924	0.9968457241868389	-381.88066495882924	5	true	915
26	15	15	100	78400	330660	2645280	0	0	-377.7738147577628	-377.7738147577628	-26.097273569761064	-26.097273569761064	-1167.243965443061,-1167.243965443061,-1167.243965443061,-667.2442998204593,-667.244332005036,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-765.8022049222346,-765.8022049222346,-667.2443707093948,-667.2443707093948,-667.2443707093948,-667.2443707093948,-472.7889474138383,-472.7889474138383,-472.7889474138383,-472.7889474138383,-472.7889474138383,-472.7889474138383,-472.7889474138383,-377.7738147577628,-377.7738147577628,-377.7738147577628,-377.7738147577628,-377.7738147577628,-377.7738147577628,-377.7738147577628,-377.7738147577628,-377.7738147577628,-377.7738147577628	0.9960270797844731	-377.7738147577628	5	true	342
27	15	15	100	80800	330660	2645280	0	0	-376.73910675884656	-376.73910675884656	-25.0601854431822	-25.0601854431822	-1166.148551280658,-1166.148551280658,-1166.148551280658,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-666.1488325030335,-469.61695382151737,-469.61695382151737,-471.75361764904255,-471.75361764904255,-471.75361764904255,-471.75361764904255,-471.75361764904255,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656,-376.73910675884656	0.9960270797844731	-376.73910675884656	5	true	300
28	15	15	100	82600	329472	2635776	0	0	-Infinity	-318.6815794889553	-Infinity	-24.455046453955468	-665.1384961570392,-665.1384961570392,-665.1384961570392,-665.1386743666268,-665.1386743666268,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-665.139627594028,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1399391265807,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-715.1400763179772,-615.1394396301063,-615.1394396301063,-615.1394396301063,-615.1394396301063,-615.1394396301063,-615.2135086959204,-615.2135086959204,-615.2135086959204,-615.2135086959204,-615.2135086959204,-615.2135086959204,-515.2133015117912,-515.2133015117912,-515.2133015117912,-515.2133015117912,-515.2133015117912,-318.6815794889553,-318.6815794889553,-318.6815794889553,-318.6815794889553,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-318.6815794889553	4	true	304
29	16	16	100	83600	340164	2721312	0	0	-Infinity	-314.09160461635537	-63.05275112239193	-59.18188737898681	-665.8792024934554,-665.8792024934554,-665.8792024934554,-665.8793562167006,-665.8793562167006,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-665.8796637741461,-615.8797208859136,-615.8797208859136,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-715.8799893263471,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-415.8800735537251,-414.0918730567887,-414.0918730567887,-414.0918730567887,-314.09160461635537,-314.09160461635537,-314.09160461635537,-314.09160461635537,-314.09160461635537,-314.09160461635537,-317.5868665024676,-317.5868665024676,-317.5868665024676,-317.5868665024676,-317.5868665024676,-417.5877205705035,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995805594344244	-314.09160461635537	3	true	261
30	16	16	100	83600	339768	2718144	0	0	-363.20124519654996	-363.20124519654996	-8.493834872694057	-8.493834872694057	-664.8735589608509,-664.8735589608509,-664.8735589608509,-664.8735589608509,-664.8735589608509,-664.8736330826132,-664.8736330826132,-664.8736330826132,-664.8736330826132,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-364.873807569844,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996,-363.20124519654996	0.9954268136656409	-363.20124519654996	3	true	300
31	16	16	100	78600	323532	2588256	0	0	-361.8197748193749	-361.8197748193749	-59.01869912417457	-59.01869912417457	-670.1321427100297,-670.1321427100297,-670.1321427100297,-670.132245129048,-670.132245129048,-670.132245129048,-370.13238286833314,-370.13238286833314,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.1324129643356,-370.13238286833314,-370.13238286833314,-370.13238286833314,-370.13238286833314,-370.13238286833314,-370.13238286833314,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.7099653049939,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-475.71006130993965,-370.13247887327884,-370.13247887327884,-370.13247887327884,-370.13247887327884,-370.13247887327884,-370.13247887327884,-370.13247887327884,-370.13247887327884,-363.42664809433643,-363.42664809433643,-363.42664809433643,-363.42664809433643,-363.42664809433643,-363.42664809433643,-363.42664809433643,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749,-361.8197748193749	0.9954268136656409	-361.8197748193749	2	true	308
32	18	18	100	74400	339768	2718144	0	0	-Infinity	33.95769951318272	8.899041281202143	43.70136474974504	-176.20461475422093,-176.20461475422093,-176.20461475422093,-176.20503251130688,-176.20503251130688,-76.20553427115316,-76.20553427115316,-76.20553427115316,-76.20553427115316,-76.20562632844089,-76.20562632844089,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-79.54887374214377,-278.0730820597038,-278.0730820597038,-475.1557167390347,-573.9395163487746,-573.9395163487746,-573.9395163487746,-573.9395163487746,-573.9395163487746,-573.9395163487746,-573.9395163487746,-573.9395163487746,-573.9395163487746,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-575.2765184031406,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-375.2764263458528,-275.27674565919745,-275.27674565919745,-271.4781638524888,-271.4781638524888,-271.4781638524888,-271.4781638524888,-271.4781638524888,-268.381543026536,33.95769951318272,-266.04245620264084,-266.04245620264084,-266.04245620264084,-263.7272545537557,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.995024126157873	33.95769951318272	3	true	335
33	18	18	100	75000	341352	2730816	0	0	-465.3884340997148	17.584610237605087	27.39464038849438	39.82181067275927	-79.09544184882803,-79.09544184882803,-79.09544184882803,-79.0955439548416,-79.09555286613865,-79.09556208419865,-79.09556208419865,-79.09564286867062,-79.09564286867062,-82.41519646222474,-82.41519646222474,-82.41519646222474,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584610237605087,17.584403124838982,17.584403124838982,17.584403124838982,17.584403124838982,17.584254470760893,17.584254470760893,17.584254470760893,-180.93772722395323,-180.93772722395323,-375.86566019240166,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493578375286,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-474.6493818601893,-470.84241043481353,-470.84241043481353,-470.84241043481353,-470.84241043481353,-470.84241043481353,-470.84241043481353,-467.72805375992573,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148,-465.3884340997148	0.9949686359947655	17.584610237605087	7	true	293
34	18	18	100	77400	341748	2733984	0	0	-786.2485246656603	23.214018051020695	35.99279397383117	27.947713538644614	-176.78587128414233,-176.78587128414233,-176.78587128414233,-76.78590128281553,23.214018051020695,23.214018051020695,23.214018051020695,23.214018051020695,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,23.213957667033903,21.21371806434599,21.21371806434599,21.21371806434599,21.21371806434599,21.21371806434599,-77.54697940686462,-177.82428382912227,-177.82428382912227,-177.82428382912227,-474.9548580969543,-474.9548580969543,-474.9548580969543,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-480.8387500012138,-486.2103238274636,-486.2103238274636,-486.2103238274636,-486.2103238274636,-486.2103238274636,-486.2103238274636,-486.2103238274636,-486.2103238274636,-486.2103238274636,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-481.2992304889017,-475.41533858464214,-475.41533858464214,-475.41533858464214,-468.9001314365972,-468.9001314365972,-566.5724133301404,-666.2539397078251,-664.1624391635131,-664.1624391635131,-765.8556791905067,-765.8556791905067,-791.3834472701068,-791.3834472701068,-791.3834472701068,-791.3834472701068,-791.3834472701068,-786.2485246656603,-786.2485246656603,-786.2485246656603,-786.2485246656603,-786.2485246656603	0.9947478816502295	23.214018051020695	5	true	299
