# solver: BinaryMaxSum
# max_time: 300000
# main_solver: BinaryMaxSum
# random.seed: 23
# run: ef2facf1-dc0a-4972-9020-cf0685260637
# experiment.start_time: 25
# experiment.end_time: 300
# kernel.agents.ignoreuntil: 3
# agent.only_assigned: true
# util.class: RSLBench.Helpers.Utility.ThirdUtilityFunction
# util.fire_brigade_area: 200
# util.trade_off: 10
# util.hysteresis: 1.1
# map.name: paris
# map.scenario: no-33-20-2013-rblockades.xml
# agent.search.class: RSLBench.Search.BreadthFirstSearch
# problem.prune: no
# problem.max_neighbors: 4
# agent.interteam: no
# util.blockade.fire_penalty: 100
# util.blockade.police_penalty: 50
# dcop.iterations: 100
# dcop.anytime: yes
# dcop.greedy_correction: no
# maxsum.damping: 0.9
time	nOnceBurned	nBurning	iterations	NCCCs	MessageNum	MessageBytes	OtherNum	OtherBytes	final	best	final_greedy	best_greedy	utilities	score	utility	violations	solvable	cpu_time
25	15	15	100	55489	620730	4965840	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9963744964578416	-Infinity	13	true	1091
26	15	15	100	55394	616770	4934160	0	0	-Infinity	-Infinity	-Infinity	-Infinity	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	11	true	605
27	15	15	100	55479	596970	4775760	0	0	-Infinity	-Infinity	-2497.9177194807207	-2497.9177194807207	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9960270797844731	-Infinity	11	true	720
28	16	16	100	55771	583704	4669632	0	0	-Infinity	-Infinity	-2497.5701771322556	-2497.5701771322556	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9955956967707507	-Infinity	11	true	689
29	16	16	100	55895	567864	4542912	0	0	-2433.4845328796036	-2433.4845328796036	-2424.7808649383705	-2424.7808649383705	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2451.908606169541,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2443.7900774700997,-2440.704633021696,-2440.704633021696,-2440.704633021696,-2440.704633021696,-2440.704633021696,-2436.8482860706777,-2433.4845328796036	0.9954268136656409	-2433.4845328796036	8	true	716
30	18	18	100	56107	553212	4425696	0	0	-Infinity	-Infinity	-1454.7837708862473	-1454.7837708862473	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity	0.9952702129681755	-Infinity	11	true	514
31	18	18	100	56195	525492	4203936	0	0	-1038.3570879533418	-1038.3570879533418	-1024.990764813186	-1024.990764813186	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1051.552771654177,-1042.9406458898961,-1042.9406458898961,-1042.9406458898961,-1042.9406458898961,-1043.08546120651,-1043.08546120651,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418,-1038.3570879533418	0.9949686359947655	-1038.3570879533418	10	true	566
32	18	18	100	55947	501732	4013856	0	0	-640.4446661158627	-637.8374573968331	-629.2414275162616	-629.1027549164749	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-689.1338722080351,-682.7412273244221,-682.7412273244221,-658.5121168782351,-658.5121168782351,-658.5121168782351,-658.5121168782351,-658.5121168782351,-658.5121168782351,-658.5121168782351,-658.5121168782351,-651.6809629738939,-651.6809629738939,-651.6809629738939,-651.6809629738939,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-651.6782213451135,-639.8122897396108,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8374573968331,-637.8590544253351,-640.4446661158627,-640.4446661158627	0.9947478816502295	-637.8374573968331	8	true	484
33	20	20	100	56584	495000	3960000	0	0	-642.1640547483792	-642.1640547483792	-624.749954968528	-624.749954968528	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-679.6798752043211,-679.6798752043211,-679.6798752043211,-679.6798752043211,-674.8884182424973,-674.8884182424973,-674.8884182424973,-674.8884182424973,-674.8884182424973,-669.5914760833798,-669.5914760833798,-669.5914760833798,-669.5914760833798,-669.5914760833798,-661.4454006672951,-660.2973277796539,-660.2973277796539,-660.2973277796539,-660.2973277796539,-660.2973277796539,-660.2973277796539,-657.4983810474923,-656.8642962927318,-656.8642962927318,-656.8642962927318,-656.8642962927318,-656.8642962927318,-656.8642962927318,-656.8642962927318,-656.8642962927318,-656.8642962927318,-656.8642962927318,-660.195888040809,-662.2901826051007,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-667.5896297741623,-662.9720617154729,-659.9558039849995,-659.9558039849995,-659.9558039849995,-659.9558039849995,-659.9558039849995,-659.9558039849995,-659.9558039849995,-659.9558039849995,-657.5693899907436,-657.5693899907436,-655.8241330337898,-655.8241330337898,-655.8241330337898,-655.8241330337898,-644.5458623176248,-644.5458623176248,-642.1640547483792,-642.1640547483792,-642.1640547483792,-642.1640547483792	0.9940017253858359	-642.1640547483792	11	true	553
34	23	22	100	56993	500148	4001184	0	0	-638.3666971671548	-638.3666971671548	-622.1706852724412	-622.1706852724412	-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-644.2581033392894,-641.6794193105311,-641.6794193105311,-641.6794193105311,-641.6794193105311,-641.6794193105311,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-640.6699662736022,-639.1511165403028,-639.1511165403028,-639.1511165403028,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-640.1914335979556,-638.3666971671548,-638.3666971671548,-638.3666971671548	0.9932071705865583	-638.3666971671548	13	true	731
